Sample Description,Sample #,Source,Path/Bank,Preset,Notes,Demo
"Research by: NEWER VGM Sound Sources sheet, Aged String",,,,,,
Table of Contents,,,,,,
,,,,,,
JUMP TO:,,Chocobo's Mysterious Dungeon,Final Fantasy Fables: Chocobo's Dungeon,,,
"(click the cell, and click the hyperlink",,Chocobo's Dungeon 2,Chocobo and The Magic Book,,,
that comes up),,Chocobo Racing,Chocobo Racing GP,,,
,,Dice de Chocobo,,,,
,,Chocobo Tales,,,,
"NOTE: This section is a work-in-progress. As a result, things may be incomplete or inaccurate for the time being.",,,,,,
,,,,,,
"Articulations/notes that were sampled are listed with brackets [ ], all samples in this game are converted to mono. There may also be more instruments in the tracks that we aren't aware of.",,,,,,
,,,,,,
59 samples are unknown for this game. Click here to listen to the samples whose sources have not been found and documented: ,,,,,,
,,,,,,
Section 1 - Chocobo's Mysterious Dungeon,,,,,,
Wave 1,Sample 0,,,,,
Square Synth,Sample 1,,,,,
Saw Synth,Sample 2,,,,,
Cat Meow,Sample 3,,,,,
Cuica,Sample 4,,,,,
Metallic Pad 2,Sample 5,,,,,
Metallic Pad,Sample 6,,,,,
Saw Synth 2,Sample 7,,,,,
Whip,Sample 8,,,,,
Noise sfx??,Sample 9,,,,,
Noise sfx??,Sample 10,,,,,
Noise sfx??,Sample 11,,,,,
Noise sfx,Sample 12,,,,,
Noise sfx,Sample 13,,,,,
Woodblock,Sample 14,,,,,
Trumpet,Sample 15,,,,,
Sine,Sample 16,,,,,
? (Percussion),Sample 17,,,,,
Sleigh Bell,Sample 18,,,,,
Sleigh Bell,Sample 19,,,,,
Castanet,Sample 20,,,,,
Snare,Sample 21,,,,,
Snare,Sample 22,,,,,
Choir,Sample 23,Roland - LCD1,"New Strings, E.Piano, Choir",Choir 4,,
High Pitched Choir,Sample 24,,,,,
Cymbal Crash,Sample 25,,,,,
Hi Hat,Sample 26,,,,,
Celesta,Sample 27,E-MU Systems - Classic Series Vol. 3,Celestes 8M,Stereo Celeste,,
Solo Violin,Sample 28,,,,,
Piano,Sample 29,,,,,
Piano,Sample 30,,,,,
Tambourine,Sample 31,Kurzweil - Orchestral ROM,Programs -> Percussion,978 Orch Percussion1,,
String Ensemble,Sample 32,Roland - LCD-1,Full String Section JP,Violin 1st,Samples F#3,
Orchestral Hit,Sample 33,,,,,
Acoustic Guitar,Sample 34,,,,,
Timpani,Sample 35,Roland - JV-1080,PR-D (GM),048 Timpani,,
Pizzicato String,Sample 36,Roland - JV-1080,PR-D (GM),046 PizzicatoStr,,
Guiro,Sample 37,,,,,
Oboe,Sample 38,,,,,
Trombone,Sample 39,,,,,
Slow String Ensemble,Sample 40,,,,,
Fast String Ensemble,Sample 41,E-MU ,,,,
Hard Snare,Sample 42,Alesis - DM5,Snare,64 Low Ring,,
Kick,Sample 43,,,,,
Tom,Sample 44,Alesis - DM5,Tom,1 Hero Mid,,
Hi Hat,Sample 45,,,,,
Hi Hat,Sample 46,,,,,
Vibraphone,Sample 47,,,,,
Brass Ensemble,Sample 48,,,,,
Oboe,Sample 49,,,,,
Oboe,Sample 50,,,,,
English Horn(? Could be an Oboe),Sample 51,,,,,
Brass Ensemble,Sample 52,,,,,
French Horn (pp),Sample 53,,,,,
Tubular Bell,Sample 54,,,,,
Finger Bass,Sample 55,,,,,
Upright Bass,Sample 56,,,,,
? (High pitched... something),Sample 57,,,,,
Harpsichord,Sample 58,,,,,
Organ,Sample 59,,,,,
Acoustic Guitar,Sample 60,,,,,
Cello,Sample 61,,,,,
Piano,Sample 62,,,,,
Oboe(?),Sample 63,,,,,
Flute,Sample 64,Roland - JV-1080,PR-D (GM),073 Flute,,
Choir,Sample 65,,,,,
Tinkle Bell,Sample 66,,,,,
,,,,,,
Section 2- Chocobo's Mysterious Dungeon 2/Chocobo's Dungeon 2,,,,,,
,,,,,,
1. Prelude -Premonitions of a New Journey-,,,,,,
,,,,,,
2.  Dungeon Discovered!,,,,,,
,,,,,,
3. Treasure Hunting!,,,,,,
,,,,,,
4. Shiroma's Theme,,,,,,
,,,,,,
5. Good Night,,,,,,
,,,,,,
6. Fat Chocobo's Theme,,,,,,
,,,,,,
7. I'm not Afraid!,,,,,,
,,,,,,
8. Skull Hammer,,,,,,
,,,,,,
9. I'm not Afraid!,,,,,,
,,,,,,
10. Skull Hammer ,,,,,,
,,,,,,
11. Monster Village (Version 1),,,,,,
,,,,,,
12. Enter Cid Tank!!,,,,,,
,,,,,,
13. Mechanical World,,,,,,
,,,,,,
14. Cid's Theme,,,,,,
,,,,,,
