Instrument,Source,Path/Bank,Preset,Notes,Demo
"Research by: NEWER VGM Sound Sources sheet, Mudstep, Onion, XHRIS",,,,,
"NOTE: This section is a work-in-progress. As a result, things may be incomplete or inaccurate for the time being.",,,,,
,,,,,
"Articulations/notes that were sampled are listed with brackets [ ], all samples in this game are converted to mono",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Section 1 - Before Crisis: Final Fantasy VII,,,,,
,,,,,
Tracks heard in-game,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Tracks heard in official soundtrack release,,,,,
,,,,,
,,,,,
Section 2 - Dirge of Cerberus: Final Fantasy VII,,,,,
,,,,,
There may be more instruments in the tracks that we aren't aware of. ,,,,,
,,,,,
,,,,,
Original Soundtrack,,,,,
1. Flicker,,,,,
Orchestra,Live Recording (Tokyo Philharmonic Orchestra),,,,
2. Calm Before the Storm,,,,,
Orchestra,Live Recording (Tokyo Philharmonic Orchestra),,,,
3. Trigger Situation,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"4. Prolouge to ""DIRGE OF CERBERUS""",,,,,
Brass and String Layer,Live Recording (Tokyo Philharmonic Orchestra),,,,
String Ensemble,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
Piano,,,,,
Harp,,,,,
,,,,,
5. Fragment of Memory,,,,,
Piano,Native Instruments - Akoustic Piano,Default,ConcertGrand,,
Violin,,,,,
String Ensemble,,,,,
6. Fearful Happening,,,,,
,,,,,
7. WRO March,,,,,
,,,,,
8. Azul the Cerulean,,,,,
,,,,,
"9. Fight Tune ""Arms of Shinra""",,,,,
,,,,,
10. Abhorrence Whirls,,,,,
Synth Pad,Native Instruments - Absynth,,,,
Breathy Pad,,,,,
Harmonic Pad,,,,,
Thunder FX,,,,,
String Ensemble,,,,,
,,,,,
,,,,,
11. Silent Edge,,,,,
,,,,,
12. Undulation,,,,,
,,,,,
13. Counteroffensive,,,,,
,,,,,
14. Ten Year Reunion,,,,,
,,,,,
"15. Fight Tune ""Girl Named Shelke""",,,,,
Violin,Live Recording (Yuichiro Goto),,,,
Flute,Live Recording (Mitsuru Soma),,,,
Glockenspiel,DS Soundware - Ultimate Orchestral Percussion,,,,
