Type,Brand Name,Product,Source / Proof,Date/ First Recorded Usage,Last Recorded Usage,Additional Notes,,,,,,,,,,,,,,,,,,,
"Welcome to the Composer Equipment tab. This part of the sheet aims to document the equipment used by various composers. 
This documentation exists to make research easier, offering a much clearer overview of what a certain artist could have used in their music.",,,,,,,,,,,,,,,,,,,,,,,,,
"Equipment Shared by Squaresoft in 1991-2000 (Nobuo Uematsu, Yasunori Mitsuda, Yoko Shimomura, Kenji Ito, Hiroki Kikuta, Junya Nakano, Masashi Hamauzu, Tsuyoshi Sekito, Hitoshi Sakimoto, Masaharu Iwata, Takahito Eguchi, Kenichiro Fukui)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
DAW,COME ON Music,Recomposer,Nakano,,,,,,,,,,,,,,,,,,,,,,
DAW,Digidesign (Avid),Pro Tools,Eguchi,,,,,,,,,,,,,,,,,,,,,,
DAW,Emagic,Logic Audio Platinum,"Nakano, Eguchi, Kikuta",,,,,,,,,,,,,,,,,,,,,,
DAW,Mark of the Unicorn (MOTU),Digital Performer,"Shimomura, Mitsuda, Iwata",,,,,,,,,,,,,,,,,,,,,,
Hardware,AKAI,S3000XL,Eguchi and Kikuta,,,,,,,,,,,,,,,,,,,,,,
Hardware,AKAI,CD3000XL,Uematsu and Shimomura,,,,,,,,,,,,,,,,,,,,,,
Hardware,AKAI,S3200 (or XL?),Shimomura and Mitsuda,,,,,,,,,,,,,,,,,,,,,,
Hardware,AKAI,S6000 v2,Shimomura and Hamauzu,,,256 MB RAM,,,,,,,,,,,,,,,,,,,
Hardware,Alesis,D4,Uematsu and Shimomura,Front Mission Gun Hazard (1996),,,,,,,,,,,,,,,,,,,,,
Hardware,Alesis,DM5,Basically everyone,Super Mario RPG (1996),,,,,,,,,,,,,,,,,,,,,
Hardware,Casio,CZ-1,Uematsu,,,,,,,,,,,,,,,,,,,,,,
Hardware,Clavia,Nord Rack 2,Eguchi,,,,,,,,,,,,,,,,,,,,,,
Hardware,Digidesign (Avid),SampleCell II,Eguchi and Mitsuda,,,,,,,,,,,,,,,,,,,,,,
Hardware,E-MU Systems,E4XT Ultra,"Mitsuda, Nakano, Shimomura",,,128 MB RAM,,,,,,,,,,,,,,,,,,,
Hardware,E-MU Systems,Carnaval,Shimomura,,,,,,,,,,,,,,,,,,,,,,
Hardware,E-MU Systems,Emulator III,Basically everyone,,,,,,,,,,,,,,,,,,,,,,
Hardware,E-MU Systems,Ultra Proteus,Shimomura (possibly Uematsu),,,,,,,,,,,,,,,,,,,,,,
Hardware,Emagic,Audiowerk 8,Eguchi,,,Interface,,,,,,,,,,,,,,,,,,,
Hardware,Ensoniq,ASR-10,Eguchi,,,,,,,,,,,,,,,,,,,,,,
Hardware,Ensoniq,EXP-1 World,Mitsuda,Xenogears (1998),,,,,,,,,,,,,,,,,,,,,
Hardware,Ensoniq,MR-Rack,Shimomura and Mitsuda,,,,,,,,,,,,,,,,,,,,,,
Hardware,Hammond,XB-2,Eguchi,,,,,,,,,,,,,,,,,,,,,,
Hardware,Kawai,K5000S,Iwata,,,,,,,,,,,,,,,,,,,,,,
Hardware,KORG,01/W,Eguchi,,,,,,,,,,,,,,,,,,,,,,
Hardware,KORG,1212 PCI,Eguchi,,,Interface,,,,,,,,,,,,,,,,,,,
Hardware,KORG,SDD-2000,Eguchi,,,Delay EFX,,,,,,,,,,,,,,,,,,,
Hardware,KORG,TR-Rack,Eguchi,,,,,,,,,,,,,,,,,,,,,,
Hardware,KORG,TRINITY ,Fukui,Einhander (1997),,,,,,,,,,,,,,,,,,,,,
Hardware,KORG,TRINITY ProX,Shimomura,Parasite Eve (1998),,,,,,,,,,,,,,,,,,,,,
Hardware,KORG,TRITON Rack,Shimomura,,,,,,,,,,,,,,,,,,,,,,
Hardware,Kurzweil,K1200,Uematsu,Final Fantasy IV (1991),,,,,,,,,,,,,,,,,,,,,
Hardware,Kurzweil,K2000 (?),Shimomura and Mitsuda,,,,,,,,,,,,,,,,,,,,,,
Hardware,Kurzweil,K2500R,Mitsuda,Xenogears (1998),,,,,,,,,,,,,,,,,,,,,
Hardware,Kurzweil,Orchestral ROM,"Shimomura, Uematsu, Mitsuda",Chrono Trigger (1995),,,,,,,,,,,,,,,,,,,,,
Hardware,Lexicon,PCM-80,Kikuta,,,Multi EFX,,,,,,,,,,,,,,,,,,,
Hardware,Lexicon,PCM-90,Kikuta,,,Multi EFX,,,,,,,,,,,,,,,,,,,
Hardware,Sony,DPS-V55,Eguchi,,,Multi EFX,,,,,,,,,,,,,,,,,,,
Hardware,Roland,A-90EX,Eguchi,,,Digital Piano,,,,,,,,,,,,,,,,,,,
Hardware,Roland,JD-990,Eguchi,,,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,JP-8000,Eguchi,,,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,JP-8080,Mitsuda,,,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,JV-880,Shimomura,Live a Live (1994),,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,JV-1080,"Eguchi, Uematsu and Shimomura",Final Fantasy VII (1997),,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,JV-2080,"Mitsuda, Nakano, Eguchi, Fukui",Xenogears (1998),,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,SOUND Canvas SC-55,Eguchi and Shimomura,Live a Live (1994),,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,SOUND Canvas SC-88,Uematsu and Shimomura,Super Mario RPG (1996),,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,SOUND Canvas SC-88 Pro,Nakano (possibly Uematsu),Final Fantasy VIII (1999),,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,SOUND Canvas SC-8820,Nakano and Uematsu,Final Fantasy IX (2000),,Nakano's is a gift from Uematsu's,,,,,,,,,,,,,,,,,,,
Hardware,Roland,SR-JV80-01,Mitsuda,Mario Party 1 (1998),,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,SR-JV80-02,"Uematsu, Mitsuda, Shimomura",Mario Party 1 (1998),,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,SR-JV80-04,Sakimoto,Terra Diver (1996),,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,SR-JV80-05,"Shimomura, Mitsuda, and Sakimoto",Mario Party 1 (1998),,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,SR-JV80-06,"Shimomura, and Sakimoto",Legend of Mana (1999),,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,SR-JV80-11,Shimomura,Parasite Eve (1998),,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,SR-JV80-12,Mitsuda,Mario Party 1 (1998),,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,XV-5080,"Iwata, Sakimoto",Final Fantasy XII (2006),,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,S-(5)50 / S-7xx,"Uematsu, Mitsuda and Shimomura",,,Likely an S-750,,,,,,,,,,,,,,,,,,,
Hardware,Yamaha,01V,Hamauzu,,,Mixer,,,,,,,,,,,,,,,,,,,
Hardware,Yamaha,EX5R,Eguchi and Mitsuda,,,,,,,,,,,,,,,,,,,,,,
Hardware,Yamaha,O2R,Shimomura,,,Mixer,,,,,,,,,,,,,,,,,,,
Hardware,Yamaha,SY-77,Kikuta,,,,,,,,,,,,,,,,,,,,,,
Sample Library,AKAI,CD-ROM Library Vol. 1,Shimomura,Super Mario RPG (1996),,Bundled with the CD3000XL,,,,,,,,,,,,,,,,,,,
Sample Library,AKAI,CD-ROM Library Vol. 2,-,,,Bundled with the CD3000XL,,,,,,,,,,,,,,,,,,,
Sample Library,Best Service,Advanced Orchestra,Mitsuda and Uematsu,Xenogears (1998),,,,,,,,,,,,,,,,,,,,,
Sample Library,Best Service,Classical Choir,Mitsuda,Chrono Trigger (1995),,,,,,,,,,,,,,,,,,,,,
Sample Library,Best Service,Hallelujah,"Fukui, Shimomura",Einhander (1997),,,,,,,,,,,,,,,,,,,,,
Sample Library,Best Service,Orchestral Colours,Mitsuda,Chrono Cross (1999),,,,,,,,,,,,,,,,,,,,,
Sample Library,Best Service,Science Fiction,Fukui,Einhander (1997),,,,,,,,,,,,,,,,,,,,,
Sample Library,Best Service,Voice Spectral,Fukui,Einhander (1997),,,,,,,,,,,,,,,,,,,,,
