Sample Description,Sample #,Source,Path/Bank,Preset,Notes,Demo,
"Research by: NEWER VGM Sound Sources sheet, Mudstep, Elezeid",,,,,,,
"NOTE: This section is a work-in-progress. As a result, things may be incomplete or inaccurate for the time being.",,,,,,,
,,,,,,,
"Articulations/notes that were sampled are listed with brackets [ ], all samples in this game are converted to mono. There may be more instruments in the tracks that we aren't aware of.",,,,,,,
,,,,,,,
,,,,,,,
Section 1 - Final Fantasy Crystal Chronicles,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Section 2 - Final Fantasy Crystal Chronicles: Rings of Fate,,,,,,,
,,,,,,,
7. One-on-One Battle!,,,,,,,
Cello Spiccato,SWAV 0,,,,,,
Cello Spiccato,SWAV 1,,,,,,
Flute,SWAV 2,,,,,,
Flute,SWAV 3,,,,,,
Flute,SWAV 4,,,,,,
Flute,SWAV 5,,,,,,
Flute,SWAV 6,,,,,,
Tambourine,SWAV 7,,,,,,
Snare,SWAV 8,,,,,,
Viola Spiccato,SWAV 9,,,,,,
Viola Spiccato,SWAV 10,,,,,,
Violin Spiccato,SWAV 11,,,,,,
Violin Spiccato,SWAV 12,,,,,,
Cello Ensemble,SWAV 13,,,,,,
Cello Ensemble,SWAV 14,,,,,,
Viola Ensemble,SWAV 15,,,,,,
Viola Ensemble,SWAV 16,,,,,,
Violin Ensemble,SWAV 17,,,,,,
Violin Ensemble,SWAV 18,,,,,,
Timpani,SWAV 19,,,,,,
Timpani,SWAV 20,,,,,,
Trumpet Ensemble,SWAV 21,,,,,,
Trumpet Ensemble,SWAV 22,,,,,,
Trumpet Ensemble,SWAV 23,,,,,,
Trumpet Ensemble,SWAV 24,,,,,,
37. Temple of the Moon,,,,,,,
Flute,SWAV 0,,,,,,
Flute,SWAV 1,,,,,,
Flute,SWAV 2,,,,,,
Flute,SWAV 3,,,,,,
Flute,SWAV 4,,,,,,
Flute,SWAV 5,,,,,,
Flute,SWAV 6,,,,,,
Flute,SWAV 7,,,,,,
Orchestra Hit Minor,SWAV 8,Roland - SR-JV80-02 Orchestral,XP-X,184 Min Hit 2,,,
Orchestra Hit Minor,SWAV 9,Roland - SR-JV80-02 Orchestral,XP-X,184 Min Hit 2,,,
Orchestra Hit Minor,SWAV 10,Roland - SR-JV80-02 Orchestral,XP-X,184 Min Hit 2,,,
Orchestra Hit Minor,SWAV 11,Roland - SR-JV80-02 Orchestral,XP-X,180 Min Hit 1,,,
Shaker,SWAV 12,Roland - SR-JV80-05 World,XP-X,,,,
Snare Roll,SWAV 13,DS Soundware - Ultimate Orchestral Percussion,Orchestral Snare,Orchestral Snare,,,
Snare,SWAV 14,DS Soundware - Ultimate Orchestral Percussion,Orchestral Snare,Orchestral Snare,,,
String Staccato,SWAV 15,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,Sampled in Octaves,,
