Instrument,Source,Path/Bank,Preset,Notes,Demo,
"Research by: NEWER VGM Sound Sources sheet, ",,,,,,
"NOTE: This section is a work-in-progress. As a result, things may be incomplete or inaccurate for the time being.",,,,,,
,,,,,,
There may be more instruments in the tracks that we aren't aware of.,,,,,,
,,,,,,
,,,,,,
Section 1 - Dissidia Final Fantasy,,,,,,
,,,,,,
"1.  ""DISSIDIA - opening -"" from DISSIDIA FINAL FANTASY",,,,,,
Trombone Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trombones -> 5 Keysw,4TB KS Master,,,
Trumpet Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trumpets -> 5 Keysw,4TP KS Master,,,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,,
Flute,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute,CHECK,,,
Cymbal,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,,
Timpani,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,,
Bass Ensemble,EastWest - Symphonic Orchestra,Strings -> 9 Double Basses -> 5 Keysw,CBS KS Master,,,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,,,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,,,
Harp,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,,
Percussion Loop,Spectrasonics - Stylus RMX,CHECK,CHECK,,,
Tom Loop,Spectrasonics - Stylus RMX,CHECK,CHECK,,,
String Ensemble ,Sonic Implants - Symphonic String Collection,,,,,
Piano,UNKNOWN,,,,,
"2. ""Prelude - menu -"" from DISSIDIA FINAL FANTASY",,,,,,
,,,,,,
"3. ""DISSIDIA - menu -"" from DISSIDIA FINAL FANTASY",,,,,,
Trombone Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trombones -> 5 Keysw,4TB KS Master,,,
Trumpet Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trumpets -> 5 Keysw,4TP KS Master,,,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,,
Cymbal,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,,
Timpani,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,,
Snare,EastWest - Symphonic Orchestra,Perc -> Drums,CHECK,,,
Bass Ensemble,EastWest - Symphonic Orchestra,Strings -> 9 Double Basses -> 5 Keysw,CBS KS Master,,,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,,,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,,,
Toms,UNKNOWN,,,,,
"4.  ""The Order That Must be Protected"" from DISSIDIA FINAL FANTASY",,,,,,
,,,,,,
"5. ""Cosmos"" from DISSIDIA FINAL FANTASY",,,,,,
,,,,,,
"6. ""Victory Fanfare - Cosmos -"" from DISSIDIA FINAL FANTASY",,,,,,
,,,,,,
"7. ""Main Theme - arrange -"" from FINAL FANTASY I",,,,,,
,,,,,,
"8. ""Battle Scene - arrange -"" from FINAL FANTASY I",,,,(Arranged by Tsuyoshi Sekito),,
Cymbals,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbal,Orchestral Cymbal,,,
Acoustic Guitar,,,,,,
Tubular Bells,,,,,,
French Horn Ensemble,,,,,,
Trombone Ensemble,ProjectSam - SAM Trombones,Main (Close) -> Keyswitches Only,SAM Tbn. KEY All Special (c),,,
Bass Ensemble,,,,,,
Cello Ensemble,,,,,,
Viola Ensemble,,,,,,
Violin Ensemble,,,,,,
Tubular Bells,,,,,,
Trumpet Ensemble,,,,,,
Bass Guitar,,,,,,
Timpani,,,,,,
Synth Attack,,,,,,
Acoustic Guitar,,,,,,
Modulating Synth Pad,,,,,,
Synth Pad,,,,,,
Panned Shaker,,,,,,
