Instrument,Source,Path/Bank,Preset,Notes,Demo
"Research by: NEWER VGM Sound Sources sheet, Aged String, Seshpai, Toshinou",,,,,
Table of Contents,,,,,
,,,,,
JUMP TO:,Type-0,,,,
"(click the cell, and click the hyperlink",XIII-2,,,,
that comes up),Lightning Returns,,,,
,,,,,
,,,,,
,,,,,
"NOTE: This section is a work-in-progress. As a result, things may be incomplete or inaccurate for the time being.",,,,,
,,,,,
There may be more instruments in the tracks that we aren't aware of. ,,,,,
,,,,,
,,,,,
Section 1 - Final Fantasy Type-0,,,,,
,,,,,
,,,,,
Bump of Chicken - Zero (Omitted in OST),,,,,
Vocals,,,,,
Glockenspiel,,,,,
Tubular Bells,EastWest - Symphonic Orchestra,Perc -> Metals,Orch chimes,,
1. Tempus Bellum,,,,,
Orchestra,Live Recording (Sydney Symphony Orchestra),,,,
Choir,Live Recording (Cantillation),,,,
,,,,,
2. We Have Come,,,,,
Orchestra,Live Recording (Sydney Symphony Orchestra),,,,
Choir,Live Recording (Cantillation),,,,
3.  Guided Conclusion,,,,,
Orchestra,Live Recording (Sydney Symphony Orchestra),,,,
Choir,Live Recording (Cantillation),,,,
4. Three Hours That Changed the World,,,,,
Electric Guitar,,,,,
Choir,EastWest - Symphonic Choir,,,,
Trombone Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trombones -> 5 Keysw,4TB KS Master,,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,
Trumpet Crescendo,EastWest - Symphonic Orchestra,Brass -> 4 Trumpets -> 5 Keysw,4TP 1Sec Cres,,
Trumpet Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trumpets -> 5 Keysw,4TP KS Master,,
Cymbals,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
Timpani,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,
Tubular Bells,EastWest - Symphonic Orchestra,Perc -> Metal,Orch Chimes,,
Xylophone,EastWest - Symphonic Orchestra,Perc -> Wood,Xylophone,,
Bass Ensemble,EastWest - Symphonic Orchestra,Strings -> 9 Double Basses -> 5 Keysw,CBS KS Master,,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,,
Harp,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
Synth Riser,,,,,
Scratch Loop,,,,,
Percussion Loop,Spectrasonics - Stylus RMX,CHECK,CHECK,,
Percussion Loop,Spectrasonics - Stylus RMX,CHECK,CHECK,,
Fast Drum Loop,,,,,
Kick,,,,,
Snare,,,,,
Saw Synth,,,,,
Synth Riser,,,,,
Distorted Synth Pad,,,,,
"""Tuh Tuh Tuh"" Shout",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
5.  Wings of Fire,,,,,
Choir,EastWest - Symphonic Choir,,,,
Trombone Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trombones -> 5 Keysw,4TB KS Master,,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,
Trumpet Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trumpets -> 5 Keysw,4TP KS Master,,
Cymbals,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
Timpani,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,
