Sample Description,Sample #,Source,Path/Bank,Preset,Notes,Songs Featured In,Demo
"Research by: NEWER VGM Sound Sources sheet, Aged String, Alice Grimaude",,,,,,,
"Articulations/notes that were sampled are listed with brackets [ ], all samples in this game are converted to mono",,,,,,,
,,,,,,,
Section 1 - Playstation 1,,,,,,,
,,,,,,,
4. Prelude,,,,,,,
Harp,---,Roland - XV-5050,PC (Preset C Group),050 Harp,,,
9. Town,,,,,,,
Flute,---,Roland - JV-1080,PR-D,074 Flute,,,
,,,,,,,
Section 2 - GBA Music,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
[Notes],,,,,,,
[Notice],,,,,,,
[Notice],,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
[Notes],,,,,,,
,,,,,,,
