Sample Description,Sample #,Source,Path/Bank,Program,Notes,Demo
Research by: NEWER VGM Sound Sources sheet,,,,,,
"Articulations/notes that were sampled are listed with brackets [ ], all samples in this game are converted to mono",,,,,,
,,,,,,
Section 1 - Nintendo DS,,,,,,
,,,,,,
1. Memory of the Wind ~Legend of the Eternal Wind~,,,,,,
String Ensemble,---,Live Recording (Hitoshi Konno Strings),,,,
Piccolo,---,Live Recording (Noriko Nishida),,,,
Flute,---,Live Recording (Hideyo Takakuwa / Kazuhiro Iwasa),,,,
Oboe,---,Live Recording (Satoshi Shoji /  Takahiro Kase),,,,
Clarinet,---,Live Recording (Kimio Yamane / Hideo Kikuchi),,,,
Bassoon,---,Live Recording (Masashi Maeda),,,,
Trumpet Ensemble,---,Live Recording (Sho Okumura / Mamiko Ando),,,,
Trombone Ensemble,---,Live Recording (Satoshi Sano),,,,
Bass Trombone Ensemble,---,Live Recording (Taro Kiyooka),,,,
French Horn Ensemble,---,Live Recording (Otohiko Fujita / Yukihiro Nakazawa),,,,
Tuba,---,Live Recording (Momo Sato),,,,
Percussion,---,Live Recording (Tamao Fujii / Kumiko Takara),,,,
Piano,---,Live Recording (Takehiko Yamada),,,,
Harp,---,Live Recording (Tomoyuki Asakawa),,,,
2. Prelude,,,,,,
Harp,SWAV 0,UNKNOWN,,,,
Harp,SWAV 1,UNKNOWN,,,,
Harp,SWAV 2,UNKNOWN,,,,
Harp,SWAV 3,UNKNOWN,,,,
Harp,SWAV 4,UNKNOWN,,,,
Harp,SWAV 5,UNKNOWN,,,,
Harp,SWAV 6,UNKNOWN,,,,
Harp,SWAV 7,UNKNOWN,,,,
Harp,SWAV 8,UNKNOWN,,,,
Harp,SWAV 9,UNKNOWN,,,,
Harp,SWAV 10,UNKNOWN,,,,
Harp,SWAV 11,UNKNOWN,,,,
Harp,SWAV 12,UNKNOWN,,,,
Harp,SWAV 13,UNKNOWN,,,,
Harp,SWAV 14,UNKNOWN,,,,
Harp,SWAV 15,UNKNOWN,,,,
Harp,SWAV 16,UNKNOWN,,,,
Harp,SWAV 17,UNKNOWN,,,,
Harp,SWAV 18,UNKNOWN,,,,
Harp,SWAV 19,UNKNOWN,,,,
Harp,SWAV 20,UNKNOWN,,,,
Harp,SWAV 21,UNKNOWN,,,,
Harp,SWAV 22,UNKNOWN,,,,
Harp,SWAV 23,UNKNOWN,,,,
Harp,SWAV 24,UNKNOWN,,,,
Harp,SWAV 25,UNKNOWN,,,,
3. Into the Crystal Cave,,,,,,
Synth Vox,SWAV 0,UNKNOWN,,,,
Synth Vox,SWAV 1,UNKNOWN,,,,
Celesta,SWAV 2,EastWest - Symphonic Orchestra,Perc -> Metals,Celesta,,
Celesta,SWAV 3,EastWest - Symphonic Orchestra,Perc -> Metals,Celesta,,
Harp,SWAV 4,UNKNOWN,,,,
Harp,SWAV 5,UNKNOWN,,,,
Harp,SWAV 6,UNKNOWN,,,,
Harp,SWAV 7,UNKNOWN,,,,
Harp,SWAV 8,UNKNOWN,,,,
Flute,SWAV 9,UNKNOWN,,,,
Glockenspiel Layer,(cont),UNKNOWN,,,,
Flute,SWAV 10,UNKNOWN,,,,
Glockenspiel Layer,(cont),UNKNOWN,,,,
Flute,SWAV 11,UNKNOWN,,,,
Glockenspiel Layer,(cont),UNKNOWN,,,,
Flute,SWAV 12,UNKNOWN,,,,
Glockenspiel Layer,(cont),UNKNOWN,,,,
Oboe,SWAV 13,EastWest - Symphonic Orchestra,Woodwinds -> Solo Oboe -> 5 Keysw,SOB KS Master,,
Oboe,SWAV 14,EastWest - Symphonic Orchestra,Woodwinds -> Solo Oboe -> 5 Keysw,SOB KS Master,,
Synth Bell,SWAV 15,UNKNOWN,,,,
Synth Bell,SWAV 16,UNKNOWN,,,,
4. Battle 1,,,,,,
Picked Bass,SWAV 0,UNKNOWN,,,probably Apple,
Picked Bass,SWAV 1,UNKNOWN,,,probably Apple,
Picked Bass,SWAV 2,UNKNOWN,,,probably Apple,
Clarinet Staccato,SWAV 3,Apple - EXS24,Orchestral -> Woodwinds,Clarinet Solo Staccato,,
Clarinet Staccato,SWAV 4,Apple - EXS24,Orchestral -> Woodwinds,Clarinet Solo Staccato,,
Clarinet Staccato,SWAV 5,Apple - EXS24,Orchestral -> Woodwinds,Clarinet Solo Staccato,,
Clarinet Staccato,SWAV 6,Apple - EXS24,Orchestral -> Woodwinds,Clarinet Solo Staccato,,
Flute,SWAV 7,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 8,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 9,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 10,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Harp,SWAV 11,UNKNOWN,,,,
Harp,SWAV 12,UNKNOWN,,,,
Percussion Hit,SWAV 13,UNKNOWN,,,,
Percussion Hit,(cont),UNKNOWN,,,,
Percussion Hit,(cont),UNKNOWN,,,,
Percussion Hit,SWAV 14,UNKNOWN,,,,
Percussion Hit,(cont),UNKNOWN,,,,
Timpani Roll,SWAV 15,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,
Timpani Roll & Hit,SWAV 16,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,
Timpani Roll & Hit,(cont),UNKNOWN,,,,
Snare,SWAV 17,DS Soundware - Ultimate Orchestral Percussion,Orchestra Snare Drum,Orchestra Snare Drum,,
Snare Roll,SWAV 18,DS Soundware - Ultimate Orchestral Percussion,Orchestra Snare Drum,Orchestra Snare Drum,,
Snare Roll,SWAV 19,DS Soundware - Ultimate Orchestral Percussion,Orchestra Snare Drum,Orchestra Snare Drum,,
String Ensemble,SWAV 20,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 21,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 22,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 23,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 24,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
Trumpet Ensemble,SWAV 25,EastWest - Symphonic Orchestra,Brass -> 4 Trumpets -> 5 Keysw,4TP KS Master,,
Trumpet Ensemble,SWAV 26,EastWest - Symphonic Orchestra,Brass -> 4 Trumpets -> 5 Keysw,4TP KS Master,,
5. Victory,,,,,,
String Staccato,SWAV 0,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,
String Staccato,SWAV 1,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,
String Staccato,SWAV 2,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,
String Staccato,SWAV 3,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,
Harp,SWAV 4,UNKNOWN,,,,
Harp,SWAV 5,UNKNOWN,,,,
Harp,SWAV 6,UNKNOWN,,,,
Harp,SWAV 7,UNKNOWN,,,,
French Horn Ensemble,SWAV 8,ProjectSAM - SAM Horns,SAM Horns 1. Main (far),SAM H KEY - Basic A (f),,
French Horn Ensemble,SWAV 9,ProjectSAM - SAM Horns,SAM Horns 1. Main (far),SAM H KEY - Basic A (f),,
French Horn Ensemble,SWAV 10,ProjectSAM - SAM Horns,SAM Horns 1. Main (far),SAM H KEY - Basic A (f),,
Snare,SWAV 11,DS Soundware - Ultimate Orchestral Percussion,Orchestra Snare Drum,Orchestra Snare Drum,,
Snare Crescendo,SWAV 12,DS Soundware - Ultimate Orchestral Percussion,Orchestra Snare Drum,Orchestra Snare Drum,,
Snare,SWAV 13,DS Soundware - Ultimate Orchestral Percussion,Orchestra Snare Drum,Orchestra Snare Drum,,
Snare Crescendo,SWAV 14,DS Soundware - Ultimate Orchestral Percussion,Orchestra Snare Drum,Orchestra Snare Drum,,
String Staccato,SWAV 15,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,
String Staccato,SWAV 16,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,
String Staccato,SWAV 17,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,
String Staccato,SWAV 18,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,
String Staccato,SWAV 19,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,
String Staccato,SWAV 20,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,
String Staccato,SWAV 21,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,
String Staccato,SWAV 22,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,
Cymbal Crash,SWAV 23,UNKNOWN,,,,
Cymbal Crash,SWAV 24,UNKNOWN,,,,
Tom,SWAV 25,UNKNOWN,,,,
Tom,SWAV 26,UNKNOWN,,,,
Tom,SWAV 27,UNKNOWN,,,,
String Ensemble,SWAV 28,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 29,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 30,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 31,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 32,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 33,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 34,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 35,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
Trumpet Ensemble,SWAV 36,EastWest - Symphonic Orchestra,Brass -> 4 Trumpets -> 5 Keysw,4TP KS Master,,
Trumpet Ensemble,SWAV 37,EastWest - Symphonic Orchestra,Brass -> 4 Trumpets -> 5 Keysw,4TP KS Master,,
Trumpet Ensemble,SWAV 38,EastWest - Symphonic Orchestra,Brass -> 4 Trumpets -> 5 Keysw,4TP KS Master,,
Trumpet Ensemble,SWAV 39,EastWest - Symphonic Orchestra,Brass -> 4 Trumpets -> 5 Keysw,4TP KS Master,,
6. Crystal Room,,,,,,
Electric Piano,SWAV 0,UNKNOWN,,,,
Electric Piano,SWAV 1,UNKNOWN,,,,
Electric Piano,SWAV 2,UNKNOWN,,,,
Electric Piano,SWAV 3,UNKNOWN,,,,
Electric Piano,SWAV 4,UNKNOWN,,,,
Electric Piano,SWAV 5,UNKNOWN,,,,
7. Opening Theme,,,,,,
Bass Drum,SWAV 0,DS Soundware - Ultimate Orchestral Percussion,,,,
Cymbal Crash,SWAV 1,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Cymbal Sustain,SWAV 2,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Flute,SWAV 3,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 4,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 5,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 6,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 7,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Snare,SWAV 8,DS Soundware - Ultimate Orchestral Percussion,Orchestra Snare Drum,Orchestra Snare Drum,,
String Ensemble,SWAV 9,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 10,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 11,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 12,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 13,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 14,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 15,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 16,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 17,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 18,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 19,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
Trombone Ensemble,SWAV 20,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),,
Trombone Ensemble,SWAV 21,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),,
Trombone Ensemble,SWAV 22,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),,
Trombone Ensemble,SWAV 23,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),,
8. Hometown of Ur,,,,,,
Flute,SWAV 0,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,3FL KS Master,,
Flute,SWAV 1,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,3FL KS Master,,
Flute,SWAV 2,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,3FL KS Master,,
Flute,SWAV 3,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,3FL KS Master,,
Flute,SWAV 4,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,3FL KS Master,,
Flute,SWAV 5,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,3FL KS Master,,
Harp,SWAV 6,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
Harp,SWAV 7,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
Harp,SWAV 8,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
Harp,SWAV 9,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
String Ensemble,SWAV 10,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 11,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 12,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 13,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 14,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 15,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 16,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
9. Eternal Wind,,,,,,
Bassoon,SWAV 0,Apple - EXS24,Orchestral -> Woodwinds,Bassoon Solo Legato,,
Bassoon,SWAV 1,Apple - EXS24,Orchestral -> Woodwinds,Bassoon Solo Legato,,
Bassoon,SWAV 2,Apple - EXS24,Orchestral -> Woodwinds,Bassoon Solo Legato,,
Bassoon,SWAV 3,Apple - EXS24,Orchestral -> Woodwinds,Bassoon Solo Legato,,
Flute,SWAV 4,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 5,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 6,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 7,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Harp,SWAV 8,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
Harp,SWAV 9,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
Harp,SWAV 10,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
Harp,SWAV 11,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
Pizzicato Strings,SWAV 12,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,
Pizzicato Strings,SWAV 13,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,
Pizzicato Strings,SWAV 14,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,
Pizzicato Strings,SWAV 15,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,
Pizzicato Strings,SWAV 16,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,
String Ensemble,SWAV 17,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 18,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 19,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 20,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
10. Jinn's Curse,,,,,,
Pizzicato Strings,SWAV 0,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,
Pizzicato Strings,SWAV 1,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,
Clavinet,SWAV 2,,,,,
Clavinet,SWAV 3,,,,,
Flute,SWAV 4,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,,
Flute,SWAV 5,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,,
Flute,SWAV 6,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,,
Flute,SWAV 7,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,,
Flute,SWAV 8,EastWest - Symphonic Orchestra,,,,
Flute,SWAV 9,EastWest - Symphonic Orchestra,,,,
String Ensemble,SWAV 10,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 11,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 12,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 13,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 14,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
