Sample Description,Sample #,Source,Path/Bank,Preset,Notes,Songs Featured In,Demo
"Research by: NEWER VGM Sound Sources sheet, Mudstep, OKayDoKay",,,,,,,
"Articulations/notes that were sampled are listed with brackets [ ], all samples in this game are converted to mono",,,,,,,
,,,,,,,
4 samples are unknown for this game. Click here to listen to the samples whose sources have not been found and documented: ,,,,,,,
,,,,,,,
,,,,,,,
Section 1: SNES,,,,,,,
,,,,,,,
Samples,,,,,,,
Strings,$01,Roland - U-220,Tone,F-067: Strings 2 [A5] ,,-Used Frequently-,
Piano High,$02,Roland - U-220,Tone,F-007: Acoustic Piano 7 [B5],100% Velocity,Cry in Sorrow,
Piano Low,$03,Roland - U-220,Tone,F-007: Acoustic Piano [B3],100% Velocity,Mt. Ordeals,
Harp,$04,Roland - SN-U110-05 Orchestral Strings,,F-010: Harp 1 [A5],,The Prelude,
Pipe Organ,$05,UNKNOWN,,,,"Golbez, Clad in Dark",
Trumpet,$06,Roland - U-220,Tone,F-081: Soft Trumpet 1 [B4],,-Used Frequently-,
Flute,$07,Roland - U-220,Tone,F-092: Flute 1 [B5],,Theme of Love,
Marimba,$08,Kurzweil - K1200,000 Bank,27 Bright Marimba [A4],100% Velocity,Chocobo ~ Chocobo,
Fingered Bass,$09,Kurzweil - K1200,000 Bank,36 Dual Bass [A2],<85% Velocity,Fight 1,
Timpani,$0A,Roland - SN-U110-06 Orchestral Winds,,F-034: Timpani 1 [A2],,Hello! Big Chocobo!,
Electric Piano,$0B,UNKNOWN,,,Also used in Radical Dreamers,The Lunarians,
Snare,$0C,Kurzweil - K1200,100 Bank,8 16 Kit/Roll/Perc [D4],100% Velocity,Fight 1,
Kick Drum,$0D,Kurzweil - K1200,000 Bank,37 Clean Kit 1 [C3],100% Velocity,Fight 1,
Hard Snare,$0E,Kurzweil - K1200,100 Bank,8 16 Kit/Roll/Perc [C3],100% Velocity,Main Theme,
Hard Kick,$0F,Kurzweil - K1200,100 Bank,8 16 Kit/Roll/Perc [C2],100% Velocity,Main Theme,
Crash Cymbal,$10,E-MU Systems - Proteus 1,Bank 0,14 Rock Drums,Note to editor: add keys,Red Wings,
HiHat,$11,Kurzweil - K1200,000 Bank,37 Clean Kit 1 [C4],100% Velocity,Main Theme,
Agogo,$12,E-MU Systems - Proteus 1,,46 Latin Percussion [G6],,Samba de Chocobo!,
Shaker,$13,UNKNOWN,,,,Samba de Chocobo!,
Cuica,$14,UNKNOWN,,,"https://freewavesamples.com/high-cuica, Match in Yamaha RX5",Samba de Chocobo!,
Timbale,$15,E-MU Systems - Proteus 1,,30 Latin Drums [G6],,Samba de Chocobo!,
Whistle,$16,UNKNOWN,,,Match in Yamaha RX5,Samba de Chocobo!,
Section 2 - GBA Music,,,,,,,
,,,,,,,
Section 3 - DS Remake,,,,,,,
,,,,,,,
Section 4 - The After Years,,,,,,,
,,,,,,,
Section 5 - Sounds Plus,,,,,,,
,,,,,,,
Section 6 - Pixel Remaster,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
[Notes],,,,,,,
Try to list files in order of their in-game index.,,,,,,,
