Sample Description,Sample #,Source,Path/Bank,Preset,Notes,Demo
,,,,,,
"Research by: NEWER VGM Sound Sources sheet, Mudstep, Thorndust, Alice Grimaude, Aged String",,,,,,
There may be more instruments in the tracks that we aren't aware of. ,,,,,,
,,,,,,
Section 1 - Original Soundtrack,,,,,,
,,,,,,
1. A Place to Call Home,,,,,,
,,,,,,
2. Memories Erased by a Storm,,,,,,
,,,,,,
3. The Meeting,,,,,,
,,,,,,
4. Sky of Alexandria,,,,,,
,,,,,,
5. Vivi's Theme,,,,,,
,,,,,,
6. Swords of Fury,,,,,,
String Ensemble,Sample 0,KORG - X5D,Bank G,G49 Marcato,,
String Ensemble,Sample 1,KORG - X5D,Bank G,G49 Marcato,,
String Ensemble,Sample 2,KORG - X5D,Bank G,G49 Marcato,,
String Ensemble,Sample 3,KORG - X5D,Bank G,G49 Marcato,,
String Ensemble,Sample 4,KORG - X5D,Bank G,G49 Marcato,,
String Ensemble,Sample 5,KORG - X5D,Bank G,G49 Marcato,,
String Ensemble,Sample 6,KORG - X5D,Bank G,G49 Marcato,,
Bass Drum,Sample 7,,,,,
Snare,Sample 8,Best Service - Advanced Orchestra,CD 5 -> Partition C -> 08 SN HITS,SN FF TO PP,,
Cymbal Crash,Sample 9,,,,,
Timpani,Sample 10,,,,,
Trumpet,Sample 11,Best Service - Advanced Orchestra,CD 4 -> Parition A -> 01 TR LG FF,TR LONG FF,,
Trumpet,Sample 12,Best Service - Advanced Orchestra,CD 4 -> Parition A -> 01 TR LG FF,TR LONG FF,,
Trumpet,Sample 13,Best Service - Advanced Orchestra,CD 4 -> Parition A -> 01 TR LG FF,TR LONG FF,,
Tambourine,Sample 14,,,,,
Triangle,Sample 15,,,,,
Flute,Sample 16,,,,,
Flute,Sample 17,,,,,
Flute,Sample 18,,,,,
French Horn,Sample 19,Best Service - Advanced Orchestra,CD 4 -> Partition F -> 12 FH LG FF,FH LONG FF,,
French Horn,Sample 20,Best Service - Advanced Orchestra,CD 4 -> Partition F -> 12 FH LG FF,FH LONG FF,,
French Horn,Sample 21,Best Service - Advanced Orchestra,CD 4 -> Partition F -> 12 FH LG FF,FH LONG FF,,
7. Vamo' alla Flamenco,,,,,,
Acoustic Guitar,Sample 0,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRSFT1,,
Acoustic Guitar,Sample 1,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRSFT1,,
Acoustic Guitar,Sample 2,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRSFT1,,
Acoustic Guitar,Sample 3,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRSFT1,,
Acoustic Guitar,Sample 4,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRSFT1,,
Acoustic Guitar,Sample 5,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRSFT1,,
Acoustic Guitar,Sample 6,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRSFT1,,
Acoustic Guitar,Sample 7,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRSFT1,,
Castanet,Sample 8,,,,,
Castanet,Sample 9,,,,,
String Ensemble,Sample 10,,,,,
String Ensemble,Sample 11,,,,,
String Ensemble,Sample 12,,,,,
String Ensemble,Sample 13,,,,,
String Ensemble,Sample 14,,,,,
Trumpet,Sample 15,Roland - SOUND CANVAS SC-8820,SC-8820 Map,057 000 Trumpet,,
Trumpet,Sample 16,Roland - SOUND CANVAS SC-8820,SC-8820 Map,057 000 Trumpet,,
Trumpet,Sample 17,Roland - SOUND CANVAS SC-8820,SC-8820 Map,057 000 Trumpet,,
Trumpet,Sample 18,Roland - SOUND CANVAS SC-8820,SC-8820 Map,057 000 Trumpet,,
Trumpet,Sample 19,Roland - SOUND CANVAS SC-8820,SC-8820 Map,057 000 Trumpet,,
Trumpet,Sample 20,,,,,
Trumpet,Sample 21,,,,,
Trumpet,Sample 22,,,,,
Trumpet,Sample 23,,,,,
Trumpet,Sample 24,,,,,
Upright Bass,Sample 25,,,,,
Upright Bass,Sample 26,,,,,
Upright Bass,Sample 27,,,,,
Upright Bass,Sample 28,,,,,
Upright Bass,Sample 29,,,,,
French Horn,Sample 30,Best Service - Advanced Orchestra,CD 4 -> Partition F -> 12 FH LG FF,FH LONG FF,,
French Horn,Sample 31,Best Service - Advanced Orchestra,CD 4 -> Partition F -> 12 FH LG FF,FH LONG FF,,
"""Vamo' Alla Flamenco!"" sample",Sample 32,Discovery Firm - Alma Flamenco,Voces -> Male,Voces M Vamo' alla flamenco_118.2,,
Finger Snap,Sample 33,Discovery Firm - Alma Flamenco,Factory Stacks,340 Finger Snap,,
Finger Snap,Sample 34,,,,,
Crowd Cheer,Sample 35,,,,,
Crowd Cheer,Sample 36,,,,,
8. Find the Princess,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
9. Court Jesters,,,,,,
,,,,,,
10. Steiner's Theme,,,,,,
,,,,,,
11. Prima Vista Orchestra,,,,,,
,,,,,,
12. Eye to Eye,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
13. The Fateful Hour,,,,,,
,,,,,, 
14. Thy Warmth,,,,,,
,,,,,, 
15. Tragic Love,,,,,,
,,,,,, 
16. The Evil Within,,,,,,
,,,,,, 
17. Danger in the Forest,,,,,,
,,,,,, 
18. Battle 1,,,,,,
,,,,,, 
19. Fanfare,,,,,,
,,,,,,
20. Distant Memory,,,,,,
,,,,,, 
21. Battle 2,,,,,,
Cymbal Crash,Sample 0,Miroslav Vitous - Classical Percussion & Harp,Partition B -> VOLUME 001,CYM STD,,
Bass Drum,Sample 1,,,,,
Snare,Sample 2,,,,,
Tambourine,Sample 3,,,,,
Timpani,Sample 4,Roland - SOUND Canvas SC-8820,SC-8820 Map,,,
Synth Bass,Sample 5,,,,,
Piano,Sample 6,,,,,
Piano,Sample 7,,,,,
Piano,Sample 8,,,,,
Charang Synth,Sample 9,Roland - SOUND Canvas SC-8820,SC-8820 Map,085 005 Rock Lead,,
String Ensemble,Sample 10,Roland - SOUND Canvas SC-8820,SC-88Pro Map,049 000 Strings :,,
String Ensemble,Sample 11,Roland - SOUND Canvas SC-8820,SC-88Pro Map,049 000 Strings :,,
String Ensemble,Sample 12,Roland - SOUND Canvas SC-8820,SC-88Pro Map,049 000 Strings :,,
String Ensemble,Sample 13,Roland - SOUND Canvas SC-8820,SC-88Pro Map,049 000 Strings :,,
String Ensemble,Sample 14,Roland - SOUND Canvas SC-8820,SC-88Pro Map,049 000 Strings :,,
French Horn,Sample 15,Roland - SOUND Canvas SC-8820,SC-8820 Map,061 000 French Horns,,
French Horn,Sample 16,Roland - SOUND Canvas SC-8820,SC-8820 Map,061 000 French Horns,,
French Horn,Sample 17,Roland - SOUND Canvas SC-8820,SC-8820 Map,061 000 French Horns,,
French Horn,Sample 18,Roland - SOUND Canvas SC-8820,SC-8820 Map,061 000 French Horns,,
Trumpet,Sample 19,Roland - SOUND Canvas SC-8820,SC-8820 Map,057 000 Trumpet,,
Trumpet,Sample 20,Roland - SOUND Canvas SC-8820,SC-8820 Map,057 000 Trumpet,,
Trumpet,Sample 21,Roland - SOUND Canvas SC-8820,SC-8820 Map,057 000 Trumpet,,
Trumpet,Sample 22,Roland - SOUND Canvas SC-8820,SC-8820 Map,057 000 Trumpet,,
Trumpet,Sample 23,Roland - SOUND Canvas SC-8820,SC-8820 Map,057 000 Trumpet,,
Trumpet,Sample 24,Roland - SOUND Canvas SC-8820,SC-8820 Map,057 000 Trumpet,,
Flute,Sample 25,Roland - SOUND Canvas SC-8820,SC-8820 Map,,,
Flute,Sample 26,Roland - SOUND Canvas SC-8820,SC-8820 Map,,,
Flute,Sample 27,Roland - SOUND Canvas SC-8820,SC-8820 Map,,,
