Sample Description,Sample #,Source,Path/Bank,Preset,Notes,Songs Featured In,Demo
"Research by: NEWER VGM Sound Sources sheet, Mudstep",,,,,,,
"Articulations/notes that were sampled are listed with brackets [ ], all samples in this game are converted to mono",,,,,,,
,,,,,,,
7 samples are unknown for this game. Click here to listen to the samples whose sources have not been found and documented: ,,,,,,,
,,,,,,,
,,,,,,,
Section 1: SNES,,,,,,,
,,,,,,,
Samples,,,,,,,
Kick,$01,Roland - L-CD701 Rhythm Section Vol. 1,KIK:Natural Kick -> KIK:Natural,KIK:Sun K1,,-Used throughout the soundtrack-,
Snare,$02,E-MU Systems - Proteus 1,Bank 0,14 Rock Drums [A3],Pitched up 3 semitones,-Used throughout the soundtrack-,
Hard Snare,$03,E-MU Systems - Proteus 1,Bank 0,14 Rock Drums [D2],Pitched up 5 semitones,-Used throughout the soundtrack-,
Crash Cymbal,$04,Optical Media International - Universe of Sounds Vol. 1,Machine Set,Machine [D5],Pitched up 1 semitones,-Used throughout the soundtrack-,
Tom,$05,Optical Media International - Universe of Sounds Vol. 2,Stereo Drums 2,DBL TOMS * [D#5],,-Used throughout the soundtrack-,
Closed HiHat,$06,Optical Media International - Universe of Sounds Vol. 1,Hats & Rides,Hi-Hats [E5],,-Used throughout the soundtrack-,
Open HiHat,$07,Optical Media International - Universe of Sounds Vol. 1,Hats & Rides,Hi-Hats [C4],,-Used throughout the soundtrack-,
Timpani,$08,Optical Media International - Universe of Sounds Vol. 1,Orchestral Percussions #2,P9 Timpani [A5],May be something else (Roland or E-MU),Sealed Away,
Glockenspiel,$09,Roland - L-CD1 ,Mallet Vol. 1,P6 J.Wind Bell1 [A4],,Hurry! Hurry!!,
Marimba,$0A,Optical Media International - Universe of Sounds Vol. 1,Marimba 2,Marimba [B4],,Moogles' Theme,
Strings,$0B,Roland - L-CD702 Orchestral Family Vol. 1,CMB:Combos,CMB:RadicalRosin,,-Used throughout the soundtrack-,
Choir,$0C,Roland - L-CD1 ,"New Strings, E.Piano, Choir",Choir 4 [A5],,Sealed Book,
Harp,$0D,Optical Media International - Universe of Sounds Vol. 1,Harp Plucks,Harp [E5],,-Used throughout the soundtrack-,
Trumpet,$0E,Club50 - Foundations,BRS:*Trumpets 1 -> BRS:*Trumpets 1,BRS:*Trumpet 1aS [A4],,-Used throughout the soundtrack-,
Oboe,$0F,Roland - L-CD1 ,Woodwind #2,P2 Oboe 1 [B4],,Main Theme of Final Fantasy V,
Flute,$10,Roland - L-CD1 ,Flute & Piccolo JP,P1 Flute V-sw [A5],,-Used throughout the soundtrack-,
Organ,$11,Roland - L-CD1 ,Electric Organ #1,P4 E.Organ [A4],,Clash On the Big Bridge,
Dulcimer,$12,Optical Media International - Universe of Sounds Vol. 2,Hammer Dulcimer,P1 DULCIMER 1 [A4],,"Home, Sweet Home",
Picked Bass,$13,UNKNOWN,,,Likely Roland,,
Fingered Bass,$14,Optical Media International - Universe of Sounds Vol. 1,Kool Bass,P1 Kool Bass 1 [F#1],,-Used throughout the soundtrack-,
Grand Piano,$15,Kurzweil - K1200,,Bass Piano,,Cursed Lands,
Music Box,$16,Roland - L-CD1 ,Effects #1,P6 Music Box [A5],,Lenna's Theme,
Hoo! Chant,$17,UNKNOWN,,,,Mambo de Chocobo!,
Metal Pad,$18,UNKNOWN,,,,,
Synth Chord,$19,UNKNOWN,,,May be in Club50 - Foundations,To The North Mountain,
Distortion Guitar,$1A,Club50 - Foundations,GTR:*Power Chds1 -> GTR:*Metal Chds1 ,GTR:*Power Chds1 [A4],,Clash On the Big Bridge,
Clavinet,$1B,UNKNOWN,,,,Sealed Away,
French Horn,$1C,Roland - L-CD1 ,Brass Section #1,P7 French Hornz [B4],,The Castle of Dawn,
Lute,$1D,Optical Media International - Universe of Sounds Vol. 1,Bozouki,P1 Bozouki [A3],Also in FFVI,Pirates Ahoy,
Steel Drum,$1E,Optical Media International - Universe of Sounds Vol. 1,Steel Drums,P1 Steel Drums,Note to editor: add keys,Mambo de Chocobo!,
Conga,$1F,Roland - L-CD1 ,Latin Percussion #2,P1 Latin Perc 2 [D#4],"Pitched up 1 semitone, also in FFVI",Mambo de Chocobo!,
Shaker,$20,Roland - L-CD1 ,Latin Percussion #2,P1 Latin Perc 2 [A4],Also in FFVI,Mambo de Chocobo!,
Claves,$21,Roland - L-CD1 ,Latin Percussion #2,P1 Latin Perc 2 [D#5],"Pitched up 6.5 whole steps, first part of sample cut, also in FFVI",Mambo de Chocobo!,
Guiro,$22,Roland - L-CD1 ,Latin Percussion #2,P1 Latin Perc 2 [D6],"Pitched up 6.5 semitones, first part of sample cut, also in FFVI",Mambo de Chocobo!,
Clap,$23,Optical Media International - Universe of Sounds Vol. 2,F3 Perc,Human Perc [G#2],,Harvest,
Section 2 - GBA Music,,,,,,,
,,,,,,,
Section 3 - Pixel Remaster,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
[Notes],,,,,,,
Try to list files in order of their in-game index.,,,,,,,
