Sample Description,Sample #,Source,Path/Bank,Preset,Notes,Demo
"Research by: NEWER VGM Sound Sources sheet, Mudstep",,,,,,
"Articulations/notes that were sampled are listed with brackets [ ], all samples in this game are converted to mono",,,,,,
,,,,,,
30 samples are unknown for this game. Click here to listen to the samples whose sources have not been found and documented: ,,,,,,
,,,,,,
,,,,,,
Section 1: SNES,,,,,,
,,,,,,
Samples,,,,,,
Acoustic Guitar,$01,InVision Interactive - Lightware Vol. 4 - Symphonic II,Classical Guitar,Classical Gtr [G2],,
Fingered Bass,$02,Kurzweil - K1200,000 Bank,36 Dual Bass [E2],<85% Velocity,
Pan Flute,$03,Roland - L-CD1 ,Pan Pipes / Shakuhachi,P1 Pan Pipes 1 [E5],,
Banjo,$04,UNKNOWN,,,Also in Club 50 - Master Performance Series Vol. 1,
Cello,$05,Roland - L-CD1 ,Cello (Solo),P1 Cello [E3],,
Choir,$06,Roland - L-CD1 ,"New Strings, E.Piano, Choir",P3 Choir 4 [E5],,
Flute,$07,Roland - L-CD1 ,Flute & Piccolo JP,P1 Flute V-sw [B5],,
French Horn,$08,Optical Media International - Universe of Sounds Vol. 2,FRENCH HORN,FR HORN SOFT [A6],,
Square Synth,$09,UNKNOWN,,,,
Oboe,$0A,Roland - L-CD1 ,Woodwind #2,P2 Oboe 1 [E5],,
Rock Organ,$0B,UNKNOWN,,,,
Grand Piano,$0C,Roland - L-CD1 ,Grand Piano #3 Upper,P1 UpperGrand1 [A6],,
Strings,$0D,Roland - L-CD1 ,Midi Stack #1,P2 Strings 2 [E5],,
Trumpet,$0E,Roland - SN-U110-12 Trombones and Saxes,Factory,F020 Trumpet-Trombone FF [B4],Likely Roland - L-CD702 Orchestral Family Vol. 2 instead,
Closed HiHat,$0F,Roland - L-CD1 ,GT Drums,GT Drums [G#2],Pitched down 4.5 semitones,
Jaw Harp,$10,UNKNOWN,,,A very similar shorter sample is in Universe of Sounds Vol. 2,
Open HiHat,$11,Roland - L-CD1 ,GT Drums,GT Drums [F#2],Pitched down 6.5 semitones,
Crash Cymbal,$12,EastWest - Bob Clearmountain Drums 1,Partition H -> GATE REV KIT,GR #2AB 15.7 [C#3],,
Wind Sound,$13,Best Service - Voice Spectral,Track 29 - Electronics -> TS 0:23,"(pro.vox) ""Atmen""",,
Snare,$14,Roland - L-CD701 Rhythm Section Vol. 1,SNR:Snares 1 -> SNR:Sn Modules 1,SNR:LA Fat Sn1,,
Snap,$15,UNKNOWN,,,,
Timpani,$16,Roland - L-CD1 ,Orchestral Percussions #2,P9 Timpani [A5],May be something else (Roland or E-MU),
Toms,$17,Roland - SOUND Canvas SC-55,Capital,118 Melo Tom 1 [D4],,
Upright Bass,$18,Fairlight - CMI III,Bass,BassAcc11,Likely sampled from a CD that sampled the CMI,
Pizzicato Strings,$19,UNKNOWN,,,,
Trombone,$1A,UNKNOWN,,,"Might be ""Big"" from LCD-1 Suspense Orchestra, check",
Harp,$1B,Fairlight - CMI III,Plucked Instruments,HarpSolo [E5],Likely sampled from a CD that sampled the CMI,
Synth Bass,$1C,Club50 - Foundations,BS:*SynthBass -> BS:*Moog Basses,BS:*Moog Bs 2 [A3],,
Lute,$1D,Optical Media International - Universe of Sounds Vol. 1,Bozouki,P1 Bozouki [A3],Also in FFV,
Distortion Guitar,$1E,Roland - L-CD1 ,Guitar & Stick,P3 Gate Guitar1 [F#5],,
Whistle,$1F,Fairlight - CMI III,Keyboards,Martenot11,Probably not it,
Glockenspiel,$20,UNKNOWN,,,,
Hard Snare,$21,UNKNOWN,,,,
Kick,$22,Fairlight - CMI III,Drums,Kicks11 [D3],Likely sampled from a CD that sampled the CMI,
Cowbell,$23,UNKNOWN,,,,
Tubular Bells,$24,UNKNOWN,,,,
Pipe Organ,$25,Roland - L-CD1 ,Pipe Organ & Choir JP,P3 Church Organ,,
Cuica,$26,UNKNOWN,,,Could be Kurzweil Bank 300,
"""Cho"" Vox",$27,UNKNOWN,,,Likely recorded in-house,
"""Co"" Vox",$28,UNKNOWN,,,Likely recorded in-house,
"""Bo"" Vox",$29,UNKNOWN,,,Likely recorded in-house,
Finger Snap,$2A,E-MU Systems - Proteus 1,,62 Radical Drum [D4],,
Rimshot,$2B,UNKNOWN,,,,
Synth Strings,$2C,UNKNOWN,,,,
Guiro,$2D,Roland - L-CD1 ,Latin Percussion #2,P1 Latin Perc 2 [D6],"Pitched up 7 semitones, also in FFV",
Conga,$2E,Roland - L-CD1 ,Latin Percussion #2,P1 Latin Perc 2 [D#4],"Pitched up 1 semitone, also in FFV",
Shaker,$2F,Roland - L-CD1 ,Latin Percussion #2,P1 Latin Perc 2 [A4],Also in FFV,
Claves,$30,Roland - L-CD1 ,Latin Percussion #2,P1 Latin Perc 2 [D#4],"Pitched up 6.5 semitones, first part of sample cut, also in FFV",
Dulcimer,$31,Optical Media International - Universe of Sounds Vol. 2,Hammer Dulcimer,P1 DULCIMER 1 [A4],,
Acoustic Guitar,$32,InVision Interactive - Lightware Vol. 4 - Symphonic II,Classical Guitar,Classical Gtr [G2],,
Bagpipe,$33,Roland - SOUND Canvas SC-55,Capital,110 Bag Pipe [D#4],Also in Club 50 - Master Performance Series Vol. 1,
Shakuhachi,$34,Roland - L-CD1 ,Shakuhachi #1,P2 Shaku Vib [A5],,
Ocarina,$35,UNKNOWN,,,,
Bottle Blow?,$36,UNKNOWN,,,,
Sleigh Bells,$37,Roland - L-CD1 ,Effects #1,P1 Medley 1 [C6],,
Tenor Vocalist,$38,UNKNOWN,,,,
Tenor Vocalist,$39,UNKNOWN,,,,
Alto Vocalist,$3A,UNKNOWN,,,Could be Club 50 - Foundations,
Pipe Organ,$3B,UNKNOWN,,,Could be Kurzweil Bank 300,
Metal Hit,$3C,UNKNOWN,,,,
Metal Thrash,$3D,UNKNOWN,,,,
Marimba,$3E,Kurzweil - K1200,000 Bank,27 Bright Marimba [E5],100% Velocity,
Crowd,$3F,UNKNOWN,,,Could be Roland - SN-U110-11 Sound Effects,
Section 2 - GBA Music,,,,,,
,,,,,,
Section 3 - Pixel Remaster,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
[Notes],,,,,,
Try to list files in order of their in-game index.,,,,,,
