Instrument,Source,Path/Bank,Preset,Notes
"Research by: NEWER VGM Sound Sources sheet, Mudstep, Onion, synamax, Aged String, Seshpai, GreatGospelGamer, Toshinou",,,,
"NOTE: This section is a work-in-progress. As a result, things may be incomplete or inaccurate for the time being.",,,,
,,,,
There may be more instruments in the tracks that we aren't aware of. ,,,,
,,,,
,,,,
,,,,
Section 1 - Final Fantasy VII Remake,,,,
,,,,
1. The Prelude - Reunion,,,,(Arranged by Yoshitaka Suzuki)
,,,,
"2. Midgar, City of Mako",,,,(Arranged by Shotaro Shima & Tsutomu Narita)
,,,,
3. Bombing Mission,,,,
,,,,
4. Let the Battles Begin! - Ex-SOLDIER,,,,
,,,,
5. Mako Reactor 1,,,,
High String Ensemble (Spiccato),Orchestral Tools - Metropolis Ark 1,District I - Orchestra,01 Finckenstein High Strings,
Low String Ensemble (Spiccato),Orchestral Tools - Metropolis Ark 1,District I - Orchestra,02 Wolfenstein Low Strings,
Piano,,,,
Church Bell,,,,
6. Mako Reactor 1 - Battle Edit,,,,
,,,,
7. Scorpion Sentinel,,,,
Trombone Ensemble,Orchestral Tools - Metropolis Ark 1,District I - Orchestra,08 Friedrich Bass Trombones a3,
8. Getaway,,,,(Arranged by Yoshitaka Suzuki)
,,,,
9. Shinra's Theme,,,,
,,,,
10. Those Chosen by the Planet,,,,
,,,,
11. The Promised Land - Cycle of Souls,,,,
,,,,
12. Chance Meeting in Sector 8,,,,
,,,,
13. Let the Battles Begin! - Break Through,,,,
,,,,
14. A Close Call,,,,(Arranged by Shotaro Shima)
,,,,
15. Shinra Creed,,,,(Arranged by Shotaro Shima)
Drum Kit,Heavyocity - Damage,Main Percussion,PERC Studio Drum Kit,
Triangle,Native Instruments - Kontakt Factory Library,Orchestral -> 4 - VSL Percussion,Triangle 1,
Claves,Native Instruments - Kontakt Factory Library,Orchestral -> 5 - Orchestral Percussion,All Percussion,
Piano,UNKNOWN,,,Piano w/ tight delay
Xylophone,Native Instruments - Kontakt Factory Library,Orchestral -> 4 - VSL Percussion,Xylophone,
