Sample Description,Sample #,Source,Path/Bank,Preset,Notes,Demo
"Research by: NEWER VGM Sound Sources sheet, Mudstep",,,,,,
"NOTE: This section is a work-in-progress. As a result, things may be incomplete or inaccurate for the time being.",,,,,,
,,,,,,
"Articulations/notes that were sampled are listed with brackets [ ], all samples in this game are converted to mono",,,,,,
,,,,,,
60 samples are unknown for this game. Click here to listen to the samples whose sources have not been found and documented: ,,,,,,
,,,,,,
Section 1 - Main Game Music,,,,,,
,,,,,,
Samples,,,,,,
Wave 1 (Sine),Sample 0,UNKNOWN,,,,
Wave 2,Sample 1,UNKNOWN,,,,
Wave 3,Sample 2,UNKNOWN,,,,
Wave 4,Sample 3,UNKNOWN,,,,
Creepy Atmosphere,Sample 4,Northstar - The Wizard,FLOURESCENCE,A#3 FLOUR00,Check note,
Noise,Sample 5,UNKNOWN,,,,
Suspended Cymbal,Sample 6,UNKNOWN,,,,
Machine Gun?,Sample 7,UNKNOWN,,,,
Wave 5,Sample 8,UNKNOWN,,,,
Weird Bell Synth,Sample 9,UNKNOWN,,,,
Train SFX,Sample 10,UNKNOWN,,, ,
Wave 6,Sample 11,UNKNOWN,,,,
Wave 7,Sample 12,UNKNOWN,,,,
Wave 8,Sample 13,UNKNOWN,,,,
Screechy Synth 1,Sample 14,"UNKNOWN, SAME SOURCE AS SAMPLES 15, 23, 24, 25",,,,
Screechy Synth 2,Sample 15,"UNKNOWN, SAME SOURCE AS SAMPLES 14, 23, 24, 25",,,,
Tambourine,Sample 16,AMG & Hit Music - JJ Jeczalik's Art of Sampling,Track 27 -> Sample 1,Ambient Tambourine Hit,"Used for the ""clang"" in the Those Who Fight",
Bass Drum,Sample 17,UNKNOWN,,,,
Electric Piano,Sample 18,Kurzweil - K1200,100 Bank,3 Chorused E Piano [G#5],<85% Velocity,
Wave 9 (Square),Sample 19,UNKNOWN,,,,
Wave 10 (Saw),Sample 20,UNKNOWN,,,,
Wave 11 (Triangle),Sample 21,UNKNOWN,,,,
Wave 12 ,Sample 22,UNKNOWN,,,,
Screechy Synth 3,Sample 23,"UNKNOWN, SAME SOURCE AS SAMPLES 14, 15, 24, 25",,,,
Screechy Synth 4,Sample 24,"UNKNOWN, SAME SOURCE AS SAMPLES 14, 15, 23, 25",,,,
Screechy Synth 5,Sample 25,"UNKNOWN, SAME SOURCE AS SAMPLES 14, 15, 23, 24",,,,
Orchestral Cymbal,Sample 26,InVision Interactive - Lightware Vol. 1 - Instruments & Percussions,Partition B -> ORCH.PERC. 2,ORCH.CYMBALS ,,
Nylon Guitar,Sample 27,InVision Interactive - Lightware Vol. 1 - Instruments & Percussions,Partition A - AC 6-STRING,AC.GUITAR 1 [B2],,
Synth Bass,Sample 28,UNKNOWN,,,Likely Roland,
Noisy Kick,Sample 29,Alesis - D4,EFX,09 Door Slam,,
Industrial Perc,Sample 30,Alesis - D4,EFX,19 Trq Wrench,Pitched up 150 cents,
Oboe,Sample 31,Best Service - Gigapack,CD 2 -> BRA:Brass&Woods1 -> BRA:Oboe,BRA:Oboe,,
Bassoon,Sample 32,E-MU Systems - Classic Series Vol. 1,OrchestralComp#1,Bassoon,Check Note,
Trombone,Sample 33,E-MU Systems - Classic Series Vol. 1,Solo Trombone 4M,Hard Trombone,Also in Emulator III Factory Sounds Vol. 1,
French Horn,Sample 34,E-MU Systems - Classic Series Vol. 3,Solo Fr Horns 8M,ff St Fr Horn,,
Tuba,Sample 35,E-MU Systems - Classic Series Vol. 3,Solo Tuba&Bones,St Tuba,Check Note,
Snare Drum 1,Sample 36,InVision Interactive - Lightware Vol. 1 - Instruments & Percussions,Partition B -> SNARES ONE,SNARES MAP 1 [A1 note],Pitched up 300 cents,
Closed HiHat,Sample 37,"InVision Interactive - Lightware Vol. 6 - Ethnic, Guitar, Synth & Percussion",Partition B -> VOLUME 005,T1 DRUMS,,
Open HiHat,Sample 38,"InVision Interactive - Lightware Vol. 6 - Ethnic, Guitar, Synth & Percussion",Partition B -> VOLUME 005,T1 DRUMS,,
Orchestral Hit,Sample 39,UNKNOWN,,,,
Low Grand Piano,Sample 40,AKAI - CD-ROM Sound Library Vol. 2,Partition A -> STEREO G.PF1,STW GRAND PF,May be something else. This sample is in a lot of things.,
Clicky Perc,Sample 41,Alesis - D4,EFX,23 Thrash Lid,,
Strings,Sample 42,Kurzweil - K1200,000 Bank,73 Fast Strings [F5],100% Velocity,
Horn + Strings,Sample 43,UNKNOWN,,,,
Choir Ahs,Sample 44,Best Service - Classical Choir,Partition C -> AHH SL 16 MB,Ahh 3R,Likely Classical Choir Extended instead,
Timpani,Sample 45,InVision Interactive - Lightware Vol. 1 - Instruments & Percussions,Parition B -> ORCH.PERC. 2,ORCH.PERC.#2 [C3 note],,
Flute,Sample 46,E-MU Systems - Classic Series Vol. 1,OrchestralComp#1,Flute,Also in Emulator III Factory Sounds Vol. 1,
Harp,Sample 47,Best Service - Gigapack,CD 2 -> STR:Orchestral -> STR:Harp,STR:Harp,,
Clarinet,Sample 48,Fairlight - CMI III,Reeds,Clarinet12,Likely sampled from a CD that sampled the CMI,
Trumpet,Sample 49,ILIO - Synclavier Brass and Winds,Partition A -> 010 1.7MB,TPT SOLO FF,,
Tubular Bells,Sample 50,E-MU Systems - Classic Series Vol. 14 ,4M General Midi,Tubular Bells,"Likely Proteus/2 instead. Same sample, more likely source.",
Pizzicato Strings,Sample 51,ILIO - Synclaiver Strings,Partition F -> 087 3.8MB,VLN SEC PZ 1,,
High Grand Piano,Sample 52,Digidesign - SampleCell II CD-ROM Library #2,Big Pianos,Yamaha C5 Stereo 1,"Correct sample, may be from something else",
Toms,Sample 53,Alesis - D4,TOMS,01 Hi Power,,
Snare Roll,Sample 54,UNKNOWN,,,Might be Lightware 1 ORCH.PERC.#2?,
FM Bass,Sample 55,UNKNOWN,,,,
Upright Bass,Sample 56,Fairlight - CMI III,Bass,BassAcc11,Likely sampled from a CD that sampled the CMI,
Banjo,Sample 57,Fairlight - CMI III,Plucked Instruments,Banjo11,Likely sampled from a CD that sampled the CMI,
Fiddle,Sample 58,InVision Interactive - Lightware Vol. 1 - Instruments & Percussions,Partion B -> FIDDLE ONE,FIDDLE ONE,,
Mandolin,Sample 59,Ensoniq InVision - CDR-9 Ethnic,STRINGED -> ETHNIC+MISC,MANDOLIN,,
Synth Pad 1,Sample 60,InVision Interactive - Lightware Vol. 1 - Instruments & Percussions,Partion B -> WAVESYNTH,WRM.SYNSTRINGS,I think these are something different. Also probably just strings.,
Synth Pad 2,Sample 61,InVision Interactive - Lightware Vol. 1 - Instruments & Percussions,Partion B -> WAVESYNTH,WRM.SYNSTRINGS,I think these are something different. Also probably just strings.,
Synth Pad 3,Sample 62,InVision Interactive - Lightware Vol. 1 - Instruments & Percussions,Partion B -> WAVESYNTH,WRM.SYNSTRINGS,I think these are something different. Also probably just strings.,
Synth Pad 4,Sample 63,InVision Interactive - Lightware Vol. 1 - Instruments & Percussions,Partion B -> WAVESYNTH,WRM.SYNSTRINGS,I think these are something different. Also probably just strings.,
Kick Drum,Sample 64,Alesis - D4,KICKS,11 Foot,Pitched up 200 cents,
Crash Cymbal,Sample 65,Alesis - D4,CYMBALS,44 Medium,,
Snare Drum 2,Sample 66,Alesis - D4,SNARES,70 Bad Punch,Pitched down 100 cents,
Synth Pad 5,Sample 67,UNKNOWN,,,,
Classical Guitar,Sample 68,InVision Interactive - Lightware Vol. 4 - Symphonic II,Classical Guitar,Classical Gtr,,
Taikos 1,Sample 69,UNKNOWN,,,,
Taikos 2,Sample 70,UNKNOWN,,,,
Guitar Fret,Sample 71,UNKNOWN,,,,
Ride Cymbal,Sample 72,UNKNOWN,,,,
Chorus Electric Guitar,Sample 73,UNKNOWN,,,,
Drawbar Organ,Sample 74,UNKNOWN,,,,
Snare Drum 3,Sample 75,UNKNOWN,,,sounds E-MU,
Guitar Mutes,Sample 76,Zero-G - Ethnic,FILL IN,Track 78,"originally sampled from ""Perfidia"" by The Ventures",
Chocobo SFX,Sample 77,UNKNOWN,,,,
Electric Bass,Sample 78,UNKNOWN,,,Could be Proteus 1 -> Buzzy Frets,
Side Stick,Sample 79,UNKNOWN,,,,
Lo Conga,Sample 80,UNKNOWN,,,,
Hi Conga,Sample 81,UNKNOWN,,,,
Shaker,Sample 82,UNKNOWN,,,,
Strings 2,Sample 83,Kurzweil - K1200,000 Bank,73 Fast Strings [C5],100% Velocity (Likely another note),
Strings 2 (soft),Sample 84,Kurzweil - K1200,000 Bank,73 Fast Strings [C5],50% Velocity  (Likely another note),
Yahoo SFX,Sample 85,Warner Bros. Sound Effects Library,"CARTOON, YELL"," 'YAHOO', COWBOY",,
Distortion Guitar,Sample 86,Spectrasonics - Hans Zimmer Guitars Vol. 1,Partition A -> PRS LEAD,PRS LEAD B [A2],,
Percussive Organ,Sample 87,E-MU Classic Series - Vol. 8,Tone Wheel Organ,Rock Percussion,,
Snap,Sample 88,AMG & Hit Music - JJ Jeczalik's Art of Sampling,Track 29 -> Sample 28,FILL IN,"Used for the ""clang"" in the Those Who Fight",
Pop,Sample 89,Alesis - D4,EFX,07 Lip Pop,Pitched up 800 cents,
Wood Block,Sample 90,Alesis - D4,PERC,38 Hi Wood,,
Dulcimer,Sample 91,E-MU Classic Series - Vol. 5,Hmrd Dulcimer,Short Dulcimer,,
Vocal Grunt,Sample 92,UNKNOWN,,,,
Demo Samples,,,,,,
Wave 4,Sample 0,UNKNOWN,,,Same as final,
Creepy Atmosphere,Sample 1,UNKNOWN,,,Same as final,
Noise,Sample 2,UNKNOWN,,,Same as final,
Suspended Cymbal,Sample 3,UNKNOWN,,,Same as final,
Machine Gun?,Sample 4,UNKNOWN,,,Same as final,
Wave 5,Sample 5,UNKNOWN,,,Same as final,
