Sample Description,Sample #,Source,Path/Bank,Preset,Notes,Demo
"Research by: NEWER VGM Sound Sources sheet, Mudstep, Alice Grimaude",,,,,,
"Articulations/notes that were sampled are listed with brackets [ ], all samples in this game are converted to mono. Sample #'s are listed by (Sample Collection)-(Sample #)",,,,,,
,,,,,,
,,,,,,
,,,,,,
Section 1 - Main Game Music,,,,,,
,,,,,,
1. Liberi Fatali,,,,,,
Soprano Choir,---,"Live Recording (Komaki Miyabe, Matsue Hamauzu)",,,,
Alto Choir,---,"Live Recording (Chie Sasakura, Hitomi Kaga)",,,,
Tenor Choir,---,"Live Recording (Hirokazu Takiguchi, Jun Suzuki)", ,,,
Bass Choir,---,"Live Recording (Katsuyuki Nakanishi, Takeshi Yamagami)",,,,
Orchestra,---,Live Recording (Tokyo Philharmonic Orchestra),,,,
2. Balamb GARDEN,,,,,,
String Ensemble,05-00,E-MU Systems - Classic Series Vol. 1,Stereo Strings,Full Strings 88,,
String Ensemble,2025-05-01 00:00:00,E-MU Systems - Classic Series Vol. 1,Stereo Strings,Full Strings 88,,
String Ensemble,2025-05-02 00:00:00,E-MU Systems - Classic Series Vol. 1,Stereo Strings,Full Strings 88,,
String Ensemble,2025-05-03 00:00:00,E-MU Systems - Classic Series Vol. 1,Stereo Strings,Full Strings 88,,
String Ensemble,2025-05-04 00:00:00,E-MU Systems - Classic Series Vol. 1,Stereo Strings,Full Strings 88,,
String Ensemble,2025-05-05 00:00:00,E-MU Systems - Classic Series Vol. 1,Stereo Strings,Full Strings 88,,
String Ensemble,2025-05-06 00:00:00,E-MU Systems - Classic Series Vol. 1,Stereo Strings,Full Strings 88,,
String Ensemble,2025-05-07 00:00:00,E-MU Systems - Classic Series Vol. 1,Stereo Strings,Full Strings 88,,
String Ensemble,2025-05-08 00:00:00,E-MU Systems - Classic Series Vol. 1,Stereo Strings,Full Strings 88,,
String Ensemble,2025-05-09 00:00:00,E-MU Systems - Classic Series Vol. 1,Stereo Strings,Full Strings 88,,
String Ensemble,2025-05-10 00:00:00,E-MU Systems - Classic Series Vol. 1,Stereo Strings,Full Strings 88,,
String Ensemble,2025-05-11 00:00:00,E-MU Systems - Classic Series Vol. 1,Stereo Strings,Full Strings 88,,
Electric Piano,1D-00,UNKNOWN,,,,
Electric Piano,1D-01,UNKNOWN,,,,
Electric Piano,1D-02,UNKNOWN,,,,
Electric Piano,1D-03,UNKNOWN,,,,
Electric Piano,1D-04,UNKNOWN,,,,
Electric Piano,1D-05,UNKNOWN,,,,
Acoustic Guitar,1D-06,UNKNOWN,,,,
Acoustic Guitar,1D-07,UNKNOWN,,,,
Acoustic Guitar,1D-08,UNKNOWN,,,,
Acoustic Guitar,1D-09,UNKNOWN,,,,
Harmonica,1D-10,Roland - SOUND Canvas SC-88Pro,SC-88 Map,023 000 Harmonica,,
Harmonica,1D-11,Roland - SOUND Canvas SC-88Pro,SC-88 Map,023 000 Harmonica,,
Harmonica,1D-12,Roland - SOUND Canvas SC-88Pro,SC-88 Map,023 000 Harmonica,,
Harp,1D-13,Roland - SOUND Canvas SC-88Pro,SC-88 Map,047 000 Harp,,
Harp,1D-14,Roland - SOUND Canvas SC-88Pro,SC-88 Map,047 000 Harp,,
Harp,1D-15,Roland - SOUND Canvas SC-88Pro,SC-88 Map,047 000 Harp,,
Glockenspiel,1D-16,UNKNOWN,,,,
Triangle,1D-17,UNKNOWN,,,,
Oboe,1D-18,Miroslav Vitous - Woodwind & Brass Ensembles 2.0,Wood Winds -> Oboes,Oboes *,"Unsure, check Best Service Advanced Orchestra",
Oboe,1D-19,Miroslav Vitous - Woodwind & Brass Ensembles 2.0,Wood Winds -> Oboes,Oboes *,"Unsure, check Best Service Advanced Orchestra",
Flute,1D-20,Miroslav Vitous - Woodwind & Brass Ensembles 2.0,Wood Winds -> Flutes,Flutes Lite,,
Flute,1D-21,Miroslav Vitous - Woodwind & Brass Ensembles 2.0,Wood Winds -> Flutes,Flutes Lite,,
3. Blue Fields,,,,,,
Pizzicato Strings,2F-00,UNKNOWN,,,,
Pizzicato Strings,2F-01,UNKNOWN,,,,
Pizzicato Strings,2F-02,UNKNOWN,,,,
Pizzicato Strings,2F-03,UNKNOWN,,,,
Steel Drum,2F-04,UNKNOWN,,,,
Steel Drum,2F-05,UNKNOWN,,,,
