Sample Description,Sample #,Source,Path/Bank,Program,Notes,Demo
,,,,,,
"Research by: NEWER VGM Sound Sources sheet, Mudstep",,,,,,
Section 1 - Final Fantasy X-2,,,,,,
,,,,,,
1. Kuon - Memories of Wave and Light,,,,,,
,---,,,,,
2. Real Emotion,,,,,,
Vocals (JP),---,Live Recording (Koda Kumi),,,"Also sings it in English on her single ""Come With Me""",
Vocals (EN),---,Live Recording (Jade Valerie),,,,
,---,,,,,
"3. YuRiPa, Fight! No. 1",,,,,,
Kick,Sample 0,,,,,
Kick,Sample 1,,,,,
Snare,Sample 2,,,,,
Hi Hat,Sample 3,,,,,
Closed Hi Hat,Sample 4,,,,,
Synth Riser,Sample 5,e-LAB - XTc Files of Techno,FB10_construction_kit_138bpm,FB1001_demo,,
Synth Riser,Sample 6,e-LAB - XTc Files of Techno,FB10_construction_kit_138bpm,FB1001_demo,,
Synth Bass,Sample 7,,,,,
Synth Bass,Sample 8,,,,,
Synth Bass,Sample 9,,,,,
Guitar Wahs,Sample 10,,,,,
Guitar Wahs,Sample 11,,,,,
Guitar Wahs,Sample 12,,,,,
Synth Lead,Sample 13,,,,,
Synth Lead,Sample 14,,,,,
Synth Lead,Sample 15,,,,,
Synth Lead,Sample 16,,,,,
Synth Bass,Sample 17,,,,,
Synth Bass,Sample 18,,,,,
Synth Bass,Sample 19,,,,,
Synth Bass Fall,Sample 20,,,,,
Brass Shorts Phrase,Sample 21,Zero-G - Phantom Horns,RIFFS -> JB_SOUL_RIFFS,JB RF32 132,,
Brass Shorts Phrase,Sample 22,Zero-G - Phantom Horns,RIFFS -> JB_SOUL_RIFFS,JB RF32 132,,
Brass Phrase,Sample 23,Zero-G - Phantom Horns,JBR3-110BPM,J24D110B,,
Brass Phrase,Sample 24,Zero-G - Phantom Horns,JBR3-110BPM,J24D110B,,
Reverse Cymbal,Sample 25,,,,,
Synth Riser,Sample 26,,,,,
Synth Bass Phrase,Sample 27,,,,,
Metallic Pad,Sample 28,e-LAB - XTc Files of Techno,FB02_construction_kit_135bpm,F0203_swoosh,,
Percussion Hit,Sample 29,,,,,
Orchestral Hit,Sample 30,Roland - SR-JV80-12 Hip Hop Collection,XP-X,176 Lo-Fi Hits,,
Cymbal Crash,Sample 31,Korg - Triton,CHECK,CHECK,,
Synth Bass,Sample 32,,,,,
Synth FX,Sample 33,,,,,
Wah Guitar,Sample 34,,,,,
Wah Guitar,Sample 35,,,,,
Synth Phrase,Sample 36,,,,,
Synth Phrase,Sample 37,,,,,
Synth Pad,Sample 38,,,,,
4. Yuna's Theme,,,,,,
,Sample 0,,,,,
"5. YuRiPa, Fight! No. 2",,,,,,
,Sample 0,,,,,
6. Mission Complete,,,,,,
,Sample 0,,,,,
7. We're the Gullwings!,,,,,,
Kick,Sample 0,,,,,
Fretless Bass,Sample 1,,,,,
Fretless Bass,Sample 2,,,,,
Fretless Bass,Sample 3,,,,,
Fretless Bass,Sample 4,,,,,
Hit(?),Sample 5,,,,,
Clavinet,Sample 6,,,,,
Clavinet,Sample 7,,,,,
Clavinet,Sample 8,,,,,
Jazz Guitar,Sample 9,Best Service - ProSamples (CHECK),,,"Sounds similar to what is known as ""Electric GTR. (Jazz)"" in EastWest Goliath. Their pitch bends match too.",
Jazz Guitar,Sample 10,Best Service - ProSamples (CHECK),,,"Sounds similar to what is known as ""Electric GTR. (Jazz)"" in EastWest Goliath. Their pitch bends match too.",
Jazz Guitar,Sample 11,Best Service - ProSamples (CHECK),,,"Sounds similar to what is known as ""Electric GTR. (Jazz)"" in EastWest Goliath. Their pitch bends match too.",
Jazz Guitar,Sample 12,Best Service - ProSamples (CHECK),,,"Sounds similar to what is known as ""Electric GTR. (Jazz)"" in EastWest Goliath. Their pitch bends match too.",
Cymbal Crash,Sample 13,,,,,
Reverse Cymbal,Sample 14,,,,,
Djembe Loop,Sample 15,,,,,
Drum Loop,Sample 16,,,,,
Drum Loop,Sample 17,,,,,
Brass Phrase,Sample 18,Zero-G - Phantom Horns,CHECK,CHECK,,
Brass Phrase,Sample 19,Zero-G - Phantom Horns,CHECK,CHECK,,
Brass Gliss. Phrase,Sample 20,Zero-G - Phantom Horns,RIFFS -> JB_SOUL_RIFFS,JB RF18 120,,
Vibraphone,Sample 21,Roland - SR-JV80-02 Orchestral,XP-X,207 Vibes,,
Vibraphone,Sample 22,Roland - SR-JV80-02 Orchestral,XP-X,207 Vibes,,
Vibraphone,Sample 23,Roland - SR-JV80-02 Orchestral,XP-X,207 Vibes,,
