Sample Description,Sample #,Source,Path/Bank,Preset,Notes,Demo,,
"Research by: NEWER VGM Sound Sources Sheet, Subtrot, Glacie, Thorndust, Aged String",,,,,,,,
Over 100 samples are unknown for this game. Click here to listen to the samples whose sources have not been found and documented: ,,,,,,,,
,,,,,,,,
"NOTE: This section is a work-in-progress. As a result, things may be incomplete or inaccurate for the time being.",,,,,,,,
,,,,,,,,
"Articulations/notes that were sampled are listed with brackets [ ], all samples in this game are converted to mono. There may be more instruments in the tracks that we aren't aware of.",,,,,,,,
,,,,,,,,
Section 1 - Original Soundtrack,,,,,,,,
,,,,,,,,
"1. ""Listen to My Story""",,,,,,,,
Voice,---,Live Recording (Masakazu Morita),,,,,,
2. Zanarkand,,,,,,,,
(Arranged by Nobuo Uematsu),,,,,,,,
Acoustic Piano,Sample 0,Live Recording: Yoko Mori,,,,,,
Acoustic Piano,Sample 1,Live Recording: Yoko Mori,,,,,,
Acoustic Piano,Sample 2,Live Recording: Yoko Mori,,,,,,
Acoustic Piano,Sample 3,Live Recording: Yoko Mori,,,,,,
Acoustic Piano,Sample 4,Live Recording: Yoko Mori,,,,,,
Acoustic Piano,Sample 5,Live Recording: Yoko Mori,,,,,,
Acoustic Piano,Sample 6,Live Recording: Yoko Mori,,,,,,
Acoustic Piano,Sample 7,Live Recording: Yoko Mori,,,,,,
Acoustic Piano,Sample 8,Live Recording: Yoko Mori,,,,,,
Acoustic Piano,Sample 9,Live Recording: Yoko Mori,,,,,,
Acoustic Piano,Sample 10,Live Recording: Yoko Mori,,,,,,
Acoustic Piano,Sample 11,Live Recording: Yoko Mori,,,,,,
Acoustic Piano,Sample 12,Live Recording: Yoko Mori,,,,,,
Acoustic Piano,Sample 13,Live Recording: Yoko Mori,,,,,,
Acoustic Piano,Sample 14,Live Recording: Yoko Mori,,,,,,
Acoustic Piano,Sample 15,Live Recording: Yoko Mori,,,,,,
Acoustic Piano,Sample 16,Live Recording: Yoko Mori,,,,,,
Acoustic Piano,Sample 17,Live Recording: Yoko Mori,,,,,,
Acoustic Piano,Sample 18,Live Recording: Yoko Mori,,,,,,
Acoustic Piano,Sample 19,Live Recording: Yoko Mori,,,,,,
3. Prelude,,,,,,,,
(Arranged by Hirosato Noda),,,,,,,,
,Sample 0,,,,,,,
4. Tidus's Theme,,,,,,,,
(Arranged by Nobuo Uematsu),,,,,,,,
Steel Guitar,Sample 0,UNKNOWN,,,,,,
Steel Guitar,Sample 1,UNKNOWN,,,,,,
Steel Guitar,Sample 2,UNKNOWN,,,,,,
Steel Guitar,Sample 3,UNKNOWN,,,,,,
Steel Guitar,Sample 4,UNKNOWN,,,,,,
Steel Guitar,Sample 5,UNKNOWN,,,,,,
Steel Guitar,Sample 6,UNKNOWN,,,,,,
Steel Guitar,Sample 7,UNKNOWN,,,,,,
Steel Guitar,Sample 8,UNKNOWN,,,,,,
Steel Guitar,Sample 9,UNKNOWN,,,,,,
Harmonica,Sample 10,Roland - SOUND Canvas SC-8820,SC-8820 Map,023 000 Harmonica,,,,
Harmonica,Sample 11,Roland - SOUND Canvas SC-8820,SC-8820 Map,023 000 Harmonica,,,,
Harmonica,Sample 12,Roland - SOUND Canvas SC-8820,SC-8820 Map,023 000 Harmonica,,,,
Harmonica,Sample 13,Roland - SOUND Canvas SC-8820,SC-8820 Map,023 000 Harmonica,,,,
String Ensemble,Sample 14,Roland - SOUND Canvas SC-8820,,,,,,
String Ensemble,Sample 15,Roland - SOUND Canvas SC-8820,,,,,,
String Ensemble,Sample 16,Roland - SOUND Canvas SC-8820,,,,,,
String Ensemble,Sample 17,Roland - SOUND Canvas SC-8820,,,,,,
Fretless Bass,Sample 18,Roland - SOUND Canvas SC-8820,SC-8820 Map,036 000 Fretless Bs.,,,,
Fretless Bass,Sample 19,Roland - SOUND Canvas SC-8820,SC-8820 Map,036 000 Fretless Bs,,,,
Fretless Bass,Sample 20,Roland - SOUND Canvas SC-8820,SC-8820 Map,036 000 Fretless Bs.,,,,
Fretless Bass,Sample 21,Roland - SOUND Canvas SC-8820,SC-8820 Map,036 000 Fretless Bs,,,,
Fretless Bass,Sample 22,Roland - SOUND Canvas SC-8820,SC-8820 Map,036 000 Fretless Bs.,,,,
Nylon Guitar,Sample 23,Roland - SOUND Canvas SC-8820,,,,,,
Nylon Guitar,Sample 24,Roland - SOUND Canvas SC-8820,,,,,,
Nylon Guitar,Sample 25,Roland - SOUND Canvas SC-8820,,,,,,
French Horn,Sample 26,Roland - SOUND Canvas SC-8820,SC-8820 Map,061 000 French Horns,,,,
French Horn,Sample 27,Roland - SOUND Canvas SC-8820,SC-8820 Map,061 000 French Horns,,,,
French Horn,Sample 28,Roland - SOUND Canvas SC-8820,SC-8820 Map,061 000 French Horns,,,,
French Horn,Sample 29,Roland - SOUND Canvas SC-8820,SC-8820 Map,061 000 French Horns,,,,
French Horn,Sample 30 ,Roland - SOUND Canvas SC-8820,SC-8820 Map,061 000 French Horns,,,,
5. Otherworld,,,,,,,,
(Arranged by Nobuo Uematsu),,,,,,,,
Vocals,---,"Live Recording (Bill ""Xtillidiex"" Muir)",,,,,,
Guitar,---,Live Recording (Shigekazu Kamaki),,,,,,
Drums,---,Live Recording (Chihiro Tabe),,,,,,
Bass,---,Live Recording (Fumiaki Hirayama),,,,,,
Harp,---,Roland - SOUND Canvas SC-8820,SC-8820 Map,,,,,
Synth Pad,---,UNKNOWN,,,,,,
6. Run!!,,,,,,,,
(Arranged by Junya Nakano),,,,,,,,
Ethnic percussion(?),Sample 0,UNKNOWN,,,,,,
