Sample Description,Sample #,Source,Path/Bank,Preset,Notes,Demo,
"Research by: NEWER VGM Sound Sources sheet, Mudstep, ShoHidari, Seshpai, Aged String, Alice Grimaude, SlyHikari03, AstraProc",,,,,,,
Table of Contents,,,,,,,
,,,,,,,
JUMP TO:,,Base Game,Rhapsondies of Vana'diel,,,,
"(click the cell, and click the hyperlink",,Rise of the Zilart,The Voracious Resurgence,,,,
that comes up),,Chains of Promathia,Add-On Battlefields,,,,
,,Treasures of Aht Urhgan,,,,,
,,Wings of the Goddess,,,,,
,,Seekers of Adoulin,,,,,
There may be more instruments in the tracks that we aren't aware of,,,,,,,
,,,,,,,
Section 1 - Base Game,,,,,,,
,,,,,,,
"1.  ""FFXI Opening Theme"" ~ Legend-The Crystal Theme, Memory of the People, Memoro de la S^tono, Memory of the Wind ~",,,,,,,
Acoustic Guitar,,Live Recording (Masayuki Chiyo),,,,,
Harp,,Live Recording (Tomoyuki Asakawa),,,,,
String Ensemble,,Live Recording (Masatsugu Shinozaki Group),,,,,
Flute,,Live Recording (Takashi Asahi),,,,,
Oboe,,Live Recording (Masakazu Ishibashi),,,,,
Clarinet,,Live Recording (Tadashi Hoshino),,,,,
Bassoon,,Live Recording (Masashi Maeda),,,,,
French Horn,,Live Recording (Otohiko Fujita),,,,,
Trumpet,,Live Recording (Masahiko Sugasaka),,,,,
Trombone ,,Live Recording (Osamu Matsumoto),,,,,
Tuba,,Live Recording (Kiyoshi Sato),,,,,
Piano,,Live Recording (Masato Matsuda),,,,,
Percussion,,Live Recording (Midori Takada and Tomoko Kusakari),,,,,
2. Vana'diel March,,,,,,,
String Spiccato,Sample 0,Best Service - Advanced Orchestra,CD 1 -> Partition H -> 03 BA SHDT 1,BA DETACHE 1,,,
String Spiccato,Sample 1,Best Service - Advanced Orchestra,CD 1 -> Partition H -> 03 BA SHDT 1,BA DETACHE 1,,,
String Spiccato,Sample 2,Best Service - Advanced Orchestra,CD 1 -> Partition H -> 03 BA SHDT 1,BA DETACHE 1,,,
String Spiccato,Sample 3,Best Service - Advanced Orchestra,CD 1 -> Partition H -> 03 BA SHDT 1,BA DETACHE 1,,,
String Spiccato,Sample 4,Best Service - Advanced Orchestra,CD 1 -> Partition H -> 03 BA SHDT 1,BA DETACHE 1,,,
String Spiccato,Sample 5,Best Service - Advanced Orchestra,CD 1 -> Partition H -> 03 BA SHDT 1,BA DETACHE 1,,,
String Spiccato,Sample 6,Best Service - Advanced Orchestra,CD 1 -> Partition H -> 03 BA SHDT 1,BA DETACHE 1,,,
String Spiccato,Sample 7,Best Service - Advanced Orchestra,CD 1 -> Partition H -> 03 BA SHDT 1,BA DETACHE 1,,,
String Ensemble,Sample 8,Best Service - Advanced Orchestra,CD 1 -> CHECK,CHECK,,,
String Ensemble,Sample 9,Best Service - Advanced Orchestra,CD 1 -> CHECK,CHECK,,,
String Ensemble,Sample 10,Best Service - Advanced Orchestra,CD 1 -> CHECK,CHECK,,,
String Ensemble,Sample 11,Best Service - Advanced Orchestra,CD 1 -> CHECK,CHECK,,,
String Ensemble,Sample 12,Best Service - Advanced Orchestra,CD 1 -> CHECK,CHECK,,,
String Ensemble,Sample 13,Best Service - Advanced Orchestra,CD 1 -> CHECK,CHECK,,,
String Ensemble,Sample 14,Best Service - Advanced Orchestra,CD 1 -> CHECK,CHECK,,,
String Ensemble,Sample 15,Best Service - Advanced Orchestra,CD 1 -> CHECK,CHECK,,,
String Ensemble,Sample 16,Best Service - Advanced Orchestra,CD 1 -> CHECK,CHECK,,,
String Ensemble,Sample 17,Best Service - Advanced Orchestra,,,,,
String Ensemble,Sample 18,Best Service - Advanced Orchestra,,,,,
String Ensemble,Sample 19,Best Service - Advanced Orchestra,,,,,
Bass Drum,Sample 20,,,,,,
Snare,Sample 21,,,,,,
Snare,Sample 22,,,,,,
Trombone Staccato,Sample 23,Best Service - Advanced Orchestra,CHECK,,,,
Trombone Staccato,Sample 24,Best Service - Advanced Orchestra,CHECK,,,,
Trombone Staccato,Sample 25,Best Service - Advanced Orchestra,CHECK,,,,
Trombone Staccato,Sample 26,Best Service - Advanced Orchestra,CHECK,,,,
Trumpet,Sample 27,Best Service - Advanced Orchestra,CD 4 -> Partition B -> 01 TRS LG F,TRS Long F,,,
Trumpet,Sample 28,Best Service - Advanced Orchestra,CD 4 -> Partition B -> 01 TRS LG F,TRS Long F,,,
Trumpet,Sample 29,Best Service - Advanced Orchestra,CD 4 -> Partition B -> 01 TRS LG F,TRS Long F,,,
Trombone Staccato,Sample 30,Best Service - Advanced Orchestra,CHECK,,,,
Trombone Staccato,Sample 31,Best Service - Advanced Orchestra,CHECK,,,,
Trombone Staccato,Sample 32,Best Service - Advanced Orchestra,CHECK,,,,
