Instrument,Source,Path/Bank,Preset,Notes,Demo
"Research by: NEWER VGM Sound Sources sheet, Agedstrings_0560, Subtrot, PSIFox ",,,,,
,,,,,
"NOTE: This section is a work-in-progress. As a result, things may be incomplete or inaccurate for the time being.",,,,,
,,,,,
"TO DO: Include OST in order w/ number, have consistency with EWQLSO findings, add rest of the OST",,,,,
,,,,,
"Articulations/notes that were sampled are listed with brackets [ ], all samples in this game are converted to mono",,,,,
,,,,,
Section 1 - Original Game Soundtrack,,,,,
,,,,,
1. Demo Movie,,,,,
Cymbals,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Glockenspiel Gliss,DS Soundware - Ultimate Orchestral Percussion,Orchestral Glockenspiel (Fall Creek),Fall Creek Glockenspiel all 4,,
Snare,DS Soundware - Ultimate Orchestral Percussion,Orchestral Snare,Orchestral Snare,,
Timpani,DS Soundware - Ultimate Orchestral Percussion,Med Hard Timpani,Med Hard Timpani,,
Triangle,DS Soundware - Ultimate Orchestral Percussion,Orchestral Triangles,Orchestral Triangles,,
Wind Chime,DS Soundware - Ultimate Orchestral Percussion,Exotic Percussion,Exotic Percussion,C4,
Harp,EastWest - Symphonic Orchestra,Strings -> HARP -> S HARP,Harp Pluck,,
Oboe Ensemble,EastWest - Symphonic Orchestra,Woodwinds -> 3 Oboes -> 5 Keysw,3OB KS Master,,
Tuba,EastWest - Symphonic Orchestra,Brass -> Solo Tuba -> 5 Keysw,STU KS Master,TO DO: Replace with Kompakt path,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,S 6FH KEYSWITCH C0-D0,,
Glockenspiel,EastWest - Symphonic Orchestra,Orchestral Percussion ,Glockenspiel,,
Anvil,EastWest - Symphonic Orchestra,Orchestral Percussion ,Anvil Low,,
Trumpet,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Port 1,,
Trumpet,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Stacc 1,,
Trumpet,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps X,,
French Horn Ensemble,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),Layered with C0 and D#1,
Trombone Ensemble,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),,
Col Legno Strings,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Col Legno,Col Legno,,
Sustain Strings,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
Tremolo Strings,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Tremolo,Ensemble Tremolo Ordinaire R,,
Choir,Spectrasonics - Vocal Planet,CD 1 -> Partition B -> 3 KIDS CHOIR,KIDS CHOIR,,
Beeping SFX,UNKNOWN,,,,
Wind SFX,UNKNOWN,,,,
2. Final Fantasy ~FFXII Version~,,,,,
Cymbals,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Timpani,DS Soundware - Ultimate Orchestral Percussion,Med Hard Timpani,Med Hard Timpani,,
Wind Chime,DS Soundware - Ultimate Orchestral Percussion,,,,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,Stage Mic,
Flute,EastWest - Symphonic Orchestra ,Woodwinds -> Solo Flutes -> 5 Keysw,SFL KS Master,Stage Mic,
Oboe Ensemble,EastWest - Symphonic Orchestra,Woodwinds -> 3 Oboes -> 5 Keysw,3OB KS Master,Stage Mic,
Tubular Bells,Roland - SR-JV80-02 Orchestral,XP-X,216 TubulaBells1,Might be EastWest instead,
Sustain Strings,Sonic Implants - Symphonic String Collection,07 Ensemble I -> Ensemble Legato,Ensemble Legato,,
Trumpet,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Port 1,,
Trumpet,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Stacc 1,,
Trumpet,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps X,,
French Horn Ensemble,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),Layered with C0 and D#1,
Trombone Ensemble,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),,
3. Opening Movie (Theme of FINAL FANTASY XII),,,,,
Snares,"Live Recording (Midori Takada, Tomoko Kusakari, Marie Oishi)",,-,,
Trumpet Ensemble,Live Recording (Kazuya Honma Group),-,-,,
Trombone Ensemble,Live Recording (Osamu Matsumoto Group),-,-,,
French Horn Ensemble,Live Recording (Hiroyuki Minami Group),-,-,,
Tuba,Live Recording (Kiyoshi Sato),-,-,,
Flute Ensemble,"Live Recording (Takashi Asahi, Yoshio Kizu)",-,-,,
Oboe Ensemble,"Live Recording (Takashi Asahi, Yoshio Kizu)",-,-,,
Clarinet Ensemble,"Live Recording (Tadashi Hoshino, Satoshi Kobayashi)",-,-,,
Bassoon,Live Recording (Josuke Ohata),-,-,,
String Ensemble,Live Recording (Masatsugu Shinozaki Group),-,-,,
Harp,Live Recording (Tomoyuki Asakawa),-,-,,
Triangle,UNKNOWN,,,,
Timpani,UNKNOWN,,,,
Soft Choir,Spectrasonics - Vocal Planet,CD 1 -> Partition B -> 3 KIDS CHOIR,KIDS CHOIR,,
Field Drum,UNKNOWN,,,Might be live,
Cymbals,Live Recording ,,,TO DO: List specifically who,
Hard Choir (Female),EastWest - Voices of the Apocalypse,Women's Choir V.2,WC ah MOD C1-C#1,,
Hard Choir (Male),EastWest - Voices of the Apocalypse,Men's Choir V.2,MC ah MOD C1-C#1,,
Xylophone,Roland - SR-JV80-02 Orchestral,XP-X,210 Xylophone 3,Unsure,
Glockenspiel,DS Soundware - Ultimate Orchestral Percussion,Orchestral Glockenspiel (Fall Creek),Fall Creek Glockenspiel all 4,,
4. Infiltration,,,,,
Cymbals,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Glockenpsiel,DS Soundware - Ultimate Orchestral Percussion,Orchestral Glockenspiel (Fall Creek),Fall Creek Glockenspiel all 4,,
Timpani,DS Soundware - Ultimate Orchestral Percussion,Med Hard Timpani,Med Hard Timpani,,
Triangle,DS Soundware - Ultimate Orchestral Percussion,Orchestral Triangles,Orchestral Triangles,,
Wind Chime Glissando,DS Soundware - Ultimate Orchestral Percussion,Exotic Percussion,Exotic Percussion,C4,
Flute,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,,
Harp,Nemesys - Gary Garritan's GigaHarp,GigaHarp,A Melodic Harp 1,,
Shaker,UNKNOWN,,,,
Field Drum,UNKNOWN,,,,
French Horn Ensemble,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),,
Warm Strings,Roland - SR-JV80-02 Orchestral,XP-X,001 Warm Violins,,
Warm Strings Layer,UNKNOWN,,,,
Wind Chime Decrescendo,Roland - SR-JV80-02 Orchestral,XP-X,245 Wind Chimes1,,
Sustain Strings,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
Tremolo Strings,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Tremolo,Ensemble Tremolo Ordinaire R,,
Col Legno Strings,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Col Legno,Ensemble Col Legno,,
String Staccato,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,
Slapsticks,UNKNOWN,,,,
5. Boss Battle,,,,,
Cymbals,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Snare,DS Soundware - Ultimate Orchestral Percussion,Orchestral Snare,Orchestral Snare,,
Timpani,DS Soundware - Ultimate Orchestral Percussion,Med Hard Timpani,Med Hard Timpani,,
Field Drum,EastWest - Symphonic Orchestra,Perc -> Drums,Field Ens,,
Trumpet,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Stacc 1,,
Trumpet,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Port 1,,
Trumpet,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps X,,
Harp,Nemesys - Gary Garritan's GigaHarp,GigaHarp,A Melodic Harp 1,,
French Horn Ensemble,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),,
Trombone Ensemble,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),,
Warm Strings,Roland - SR-JV80-02 Orchestral,XP-X,001 Warm Violins,,
Tubular Bells,Roland - SR-JV80-02 Orchestral,XP-X,216 TubulaBells2,,
Staccato Strings,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,
Sustain Strings,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
,,,,,
6. Auditory Hallucination,,,,,
Cymbals,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Timpani,DS Soundware - Ultimate Orchestral Percussion,Med Hard Timpani,Med Hard Timpani,,
Bassoon,EastWest - Symphonic Orchestra,Woodwinds -> Bassoon -> 5 Keysw,BSN KS Master,,
Clarinet Ensemble,EastWest - Symphonic Orchestra,Woodwinds -> 3 Clarinets -> 5 Keysw,3CL KS Master,,
Warm Strings,Roland - SR-JV80-02 Orchestral,,,,
Warm Strings Layer,UNKNOWN,,,,
Piano,Roland - XV-5080,PR-A,002 Bright Piano,,
Sustain Strings,Sonic Implants - Symphonic String Collection,CHECK,CHECK,,
Tremolo Strings,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Tremolo,Ensemble Tremolo Ordinaire R,,
7. Secret Practice,,,,,
Cymbal,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Tambourine,DS Soundware - Ultimate Orchestral Percussion,Orchestral Tambourines,Orchestral Tambourines,,
Timpani,DS Soundware - Ultimate Orchestral Percussion,Med Hard Timpani,Med Hard Timpani,,
Triangle,DS Soundware - Ultimate Orchestral Percussion,Orchestral Triangles,Orchestral Triangles,,
Wind Chime,DS Soundware - Ultimate Orchestral Percussion,Exotic Percussion,Exotic Percussion,C4,
Snare,DS Soundware - Ultimate Orchestral Percussion,Orchestral Snare,Orchestral Snare,,
Oboe Ensemble,EastWest - Symphonic Orchestra,Woodwinds -> 3 Oboes -> 5 Keysw,3OB KS Master,,
Bassoon,EastWest - Symphonic Orchestra,Woodwinds -> Bassoon -> 5 Keysw,BSN KS Master,,
Flute,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,,
Trombone,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),,
Xylophone,Roland - SR-JV80-02 Orchestral,XP-X,210 Xylophone 3,,
Pizzicato Strings,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,
Staccato Strings,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,
Sustain Strings,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
8. A Small Happiness (Unused),,,,,
Flute,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,,
Harp,Nemesys - Gary Garritan's GigaHarp,GigaHarp,A Melodic Harp 1,,
9. Streets of Rabanastre,,,,,
Cymbals,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Glockenspiel,DS Soundware - Ultimate Orchestral Percussion,Orchestral Glockenspiel (Fall Creek),Fall Creek Glockenspiel all 4,,
Tambourine,DS Soundware - Ultimate Orchestral Percussion,Orchestral Tambourines,Orchestral Tambourines,,
Triangle,DS Soundware - Ultimate Orchestral Percussion,Orchestral Triangles,Orchestral Triangles,,
Wind Chime,DS Soundware - Ultimate Orchestral Percussion,Exotic Percussion,Exotic Percussion,,
Clarinet Ensemble,EastWest - Symphonic Orchestra,Woodwinds -> 3 Clarinets -> 5 Keysw,3CL KS Master,,
Bassoon,EastWest - Symphonic Orchestra,Woodwinds -> Bassoon -> 5 Keysw,BSN KS Master,,
Flute,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,,
Oboe,EastWest - Symphonic Orchestra,Woodwinds -> Solo Oboe -> 5 Keysw,SOB KS Master,,
Castanets,EastWest - Symphonic Orchestra,Perc -> Wood,Various Perc,,
Trumpet,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Port 1,,
Trumpet,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps X,,
Trumpet,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Stacc,,
