Instrument,Source,Path/Bank,Preset,Notes,Demo
"Research by: NEWER VGM Sound Sources sheet, PSIFox, ellie53, Aged String, Seshpai, EpicJake038, Shelmet",,,,,
,,,,,
"NOTE: This section is a work-in-progress. As a result, things may be incomplete or inaccurate for the time being.",,,,,
,,,,,
"TO DO: Include OST in order w/ number, have consistency with EWQLSO findings, add rest of the OST",,,,,
,,,,,
There may be more instruments in the tracks that we aren't aware of,,,,,
,,,,,
Section 1 - Final Fantasy XIII,,,,,
,,,,,
1. Prelude to FINAL FANTASY XIII,,,,,
Airy Synth Pad,Native Instruments - Absynth,,,Might be Absynth,
Trumpet Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trumpets -> 5 Keysw,4TP KS Master,Stage Mic,
Trombone Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trombones -> 5 Keysw,4TB KS Master,,
Strings,EastWest - Symphonic Orchestra,,,,
Synth Slapsticks,UNKNOWN,,,,
Harp,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,Might be Absynth,
Cymbals,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
Snare,EastWest - Symphonic Orchestra,Perc -> Drums,Snare Ens Small,,
Snare Ensemble,EastWest - Symphonic Orchestra,Perc -> Drums,3 Small,,
Timpani,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,
Piano,UNKNOWN,,,,
2. FINAL FANTASY XIII - The Promise,,,,,
Piano,UNKNOWN,,,,
Harp,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
Strings,Live Performance,,,TO DO: List which group,
French Horn Ensemble,Live Performance,,,TO DO: List who,
Flute,Live Performance,,,TO DO: List who,
,,,,,
,,,,,
,,,,,
3. The Thirteenth Day,,,,,
Violin Ensemble,EastWest - Symphonic Orchestra,,,,
Viola Ensemble,EastWest - Symphonic Orchestra,,,,
Cello Ensemble,EastWest - Symphonic Orchestra,,,,
Synth Pad,Native Instruments - Absynth,CHECK,CHECK,,
Synth Bass,Native Instruments - Absynth,CHECK,CHECK,,
Synth Arp,Native Instruments - Absynth,CHECK,CHECK,,
Synth FX,UNKNOWN,,,,
Synth Riser,UNKNOWN,,,,
4. Defiers of Fate,,,,,
(Arranged by Mitsuto Suzuki & Ryo Yamazaki),,,,,
(Regular Version),,,,,
Electric Guitar,UNKNOWN,,,Probably Live,
Synth Bass,UNKNOWN,,,,
Airy Synth Pad,UNKNOWN,,,,
Metallic Hit,UNKNOWN,,,This same sample appears in Dirge of Cerberus: Final Fantasy VII,
Synth Riser,UNKNOWN,,,Potentially could come from a Sample CD. Needs to be checked,
Flute,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,,
Timpani,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,
String Ensemble,UNKNOWN,,,Might be live recordings,
Harp,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
Triangle,EastWest - Symphonic Orchestra,Perc -> Metal,Various Metals,,
Gong,EastWest - Symphonic Orchestra,Perc -> CymGong,All Gongs,,
Cymbal,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
Tubular Bells,EastWest - Symphonic Orchestra,Perc -> Metals,Orch chimes,,
Trumpet Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trumpets -> 5 Keysw,4TP KS Master,,
Snares,EastWest - Symphonic Orchestra,Perc -> Drums,Snare Ens Small,,
Glockenspiel,EastWest - Symphonic Orchestra,Perc -> Metals,Glock,,
Trombone Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trombones -> 5 Keysw,4TB KS Master,,
Drum Loop,Spectrasonics - Stylus RMX,RMX Grooves -> 90-Beat Bastard,90-Beat Bastard Darkman,,
Drum Loop layer/Bass,Spectrasonics - Stylus RMX,RMX Grooves -> 90-Beat Bastard,90-Beat Bastard Bash Drms,,
Secondary Drum Loop,UNKNOWN,,,,
White Noise,UNKNOWN,,,,
Synth Pad,UNKNOWN,,,,
Distorted Percussion,UNKNOWN,,,,
(Palamecia Assault Version only),,,,,
Synth Pad,UNKNOWN,,,,
Percussion Transition,UNKNOWN,,,,
Guitar Harmonics,UNKNOWN,,,,
5. Saber's Edge,,,,,
