Instrument,Source,Path/Bank,Preset,Notes,Demo
"Research by: NEWER VGM Sound Sources sheet, Mudstep, PSIFox, ShoHidari, Seshpai, Aged String, Raemish Hakurish, Toshinou",,,,,
Table of Contents,,,,,
,,,,,
JUMP TO:,Before Meteor (1.0),Dawntrail (7.0),,,
"(click the cell, and click the hyperlink",A Realm Reborn (2.0),Bard Instruments,,,
that comes up),Heavensward (3.0),,,,
,Stormblood (4.0),,,,
,Shadowbringers (5.0),,,,
,Endwalker (6.0),,,,
There may be more instruments in the tracks that we aren't aware of,,,,,
,,,,,
Section 1 - Before Meteor (1.0),,,,,
,,,,,
1. Prelude - Remembrance,,,,,(Arranged by Tsutomu Narita)
Harp,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long ,Harp Pluck,,
Orchestral Chimes,EastWest - Symphonic Orchestra,Perc -> Metals,Orch chimes,Close and Stage mics,
Choir,EastWest - Symphonic Choirs,,,Boys Choir?,
Synth Bells,Roland - JV-1080,PR-A,,,
Piano,UNKNOWN,,,,
Synth Pads,UNKNOWN,,,,
Perc FX,UNKNOWN,,,It sometimes rings with the tubular bells,
2. Opening Theme,,,,,(Arranged by Tsutomu Narita)
Trombone Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trombones -> 5 Keysw,4TB KS Master,,
Trumpet Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trumpets -> 5 Keysw,4TP KS Master,,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,
Tuba,EastWest - Symphonic Orchestra,Brass -> Solo Tuba -> 5 Keysw,STU KS Master,,
Bass Ensemble,EastWest - Symphonic Orchestra,Strings -> 9 Double Basses -> 5 Keysw,CBS KS Master,,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,,
Viola Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Violas -> 5 Keysw,VAS KS Master,,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,,
Cymbal,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
Bass Drum,EastWest - Symphonic Orchestra,Perc -> Drums,Bass Drum Concert,,
Snare Ensemble,EastWest - Symphonic Orchestra,Perc -> Drums,Snare Ens Small,,
Timpani,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,
Flute,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,,
Piccolo,EastWest - Symphonic Orchestra,Woodwinds -> Solo Piccolo Flute -> 5 Keysw,PFL KS Master,,
5. On Windy Meadows,,,,,(Arranged by Tsutomu Narita)
Quena,Live Recording (Hideyo Takakuwa),-,-,,
Upright Bass,EastWest - Goliath,Electric Bass and Upright,Upright Bass Vibrato,,
Koto,EastWest - Ra,Far East -> Plucked -> Koto,Koto KS C0-F#0,,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,
Trombone Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trombones -> 5 Keysw,4TB KS Master,,
Cymbal,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
Timpani,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,,
Banjo,UNKNOWN,,,"It really sounds like it should be Ra, but I wasn't able to match it",
Percussion,UNKNOWN,,,,
Flutes,UNKNOWN,,,,
6. Nail of the Heavens,,,,,(Arranged by Tsutomu Narita)
Electric Guitar,Live Recording (Nozomi Furukawa),-,-,,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,,
Bass,UNKNOWN,,,,
Choir,UNKNOWN,,,,
Drumkit,UNKNOWN,,,,
Piano,UNKNOWN,,,,
Synth Bells,UNKNOWN,,,,
Synth Pad,UNKNOWN,,,,
9. Born of the Boughs - The Theme of Gridania,,,,,(Arranged by Tsutomu Narita)
Glockenspiel,EastWest - Symphonic Orchestra,Perc -> Metals,Glock,,
Triangle,EastWest - Symphonic Orchestra,Perc -> Metals,Triangle 2,,
Bell Tree,EastWest - Symphonic Orchestra,Perc -> Metals,Various Metals,,
Guiro,EastWest - Symphonic Orchestra,Perc -> Wood,Guiro RR,,
Woodblocks,EastWest - Symphonic Orchestra,Perc -> Wood,Woodblock Symphony,,
Bass Ensemble,EastWest - Symphonic Orchestra,Strings -> 9 Double Basses -> 5 Keysw,CBS KS Master,Pizzicato,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,,
Alto Flute,EastWest - Symphonic Orchestra,Woodwinds -> Solo Alto Flute -> 5 Keysw,AFL KS Master,,
Bassoon,EastWest - Symphonic Orchestra,Woodwinds -> Solo Bassoon -> 5 Keysw,BSN KS Master,,
English Horn,EastWest - Symphonic Orchestra,Woodwinds -> Solo English Horn -> 5 Keysw,EHN KS Master,,
Flute,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,,
10. Whisper of the Land,,,,,(Arranged by Tsutomu Narita)
Koto,EastWest - Ra,Far East -> Plucked -> Koto,Koto KS C0-F#0,,
Ney Flute,EastWest - Ra,Mid East -> Wind -> Ney Flute,Ney Flute KS C0-A0,,
Vocal Phrases,EastWest - Voices of Passion,Bulgaria,Bulgaria Master,,
11. Emerald Labyrinth,,,,,(Arranged by Tsutomu Narita)
Celesta,EastWest - Symphonic Orchestra,Perc -> Metals,Celesta,Close and Stage mics,
Glockenspiel,EastWest - Symphonic Orchestra,Perc -> Metals,Glock,Close and Stage mics,
Triangle,EastWest - Symphonic Orchestra,Perc -> Metals,Triangle 2,,
Cymbal,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
Bass Ensemble,EastWest - Symphonic Orchestra,Strings -> 9 Double Basses -> 5 Keysw,CBS KS Master,,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,,
Reversing E. Piano/Arp,UNKNOWN,,,,
15. The Twin Faces of Fate - The Theme of Ul'dah,,,,,(Arranged by Tsutomu Narita)
Upright Bass,EastWest - Goliath,Electric Bass and Upright,Upright Bass Vibrato,,
Dulcimer,EastWest - Goliath,Ethnic Pitched,Dulcimer,,
Pan Flute,EastWest - Ra,Americas -> Wind -> Pan Flute,Pan Flute KS C0-D#0,,
Uilleann Pipes,EastWest - Ra,Europe -> Wind -> Uilleann Pipes,Uilleann Pipes KS C0-D#0,,
Sitar,EastWest - Ra,India -> Plucked -> Sitar,Sitar KS C0-G#0,,
Congas,EastWest - Stormdrum 2,Ethnic Drums,Custom Congas,This patch is also included in Goliath,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,"Might also be 11V, but I can't quite tell",
Acoustic Guitar,UNKNOWN,,,,
Muted Electric Guitar,UNKNOWN,,,,
Synth Pad,UNKNOWN,,,,
20. Unspoken,,,,,(Arranged by Tsutomu Narita)
Violin,Live Recording (Koichiro Muroya),-,-,,
Cello,EastWest - Symphonic Orchestra,Strings -> Solo Cello -> 5 Keysw,SVC KS Master,,
Piano,UNKNOWN,,,,
Percussion Loop,UNKNOWN,,,,
26. Behind Closed Doors,,,,,(Arranged by Tsutomu Narita)
Ocarina,EastWest - Goliath,Ethnic Pitched,Ocarina MOD,,
Celesta,EastWest - Symphonic Orchestra,Perc -> Metals,Celesta,Close and Stage mics,
Glockenspiel,EastWest - Symphonic Orchestra,Perc -> Metals,Glock,Close and Stage mics,
41. Daring Dalliances,,,,,(Arranged by Tsutomu Narita)
Synth Bells,Roland - JV-1080,PR-A,072 Fantasia JV,,
Music Box,Roland - JV-1080,PR-A,081 Childlike,,
42. Sacred Bonds,,,,,(Arranged by Tsutomu Narita)
