Instrument,Source,Path/Bank,Preset,Notes,Demo
"Research by: NEWER VGM Sound Sources sheet, Seshpai, Aged String",,,,,
JUMP TO:,Base Game,Monster of The Deep,,,
"(click the cell, and click the hyperlink",Episode Gladious,Royal Edition,,,
that comes up),Episode Prompto,Versus XIII,,,
,Episode Ignis,Unused Datamined Songs,,,
,Episode Ardyn,,,,
,Comrades DLC,,,,
"There may be more instruments in the tracks that we aren't aware of. Episode Ardyn hasn't recieved an official OST release, and only four tracks have been given official names.",,,,,
,,,,,
Section 1 - Final Fantasy XV,,,,,
,,,,,
1. Somnus (Instrumental Version),,,,,
Piano,,,,,
Violin,,,,,
String Ensemble,,,,,
2. Departure,,,(Arranged by Yoko Shimomura & Kaoru Wada),,
,,,,,
3. Broken Down,,,(Arranged by Tetsuya Shibata),,
Harmonica,,,,,
4. Hammerhead,,,(Arranged by Tetsuya Shibata),,
Harmonica,,,,,
Rotary Organ,,,,,
Hi Hat,,,,,
Cymbal Crash,,,,,
Toms,,,,,
Drum Kick,,,,,
Electric Guitar,,,,,
Acoustic Guitar,,,,,
Tambourine,,,,,
Mandolin,EastWest - Ra,Americas -> Plucked -> Mandolin,Mandolin KS C0-E0,,
Whistle,,,,,
5. Wanderlust,,,(Arranged by Tetsuya Shibata),,
Drum Kit,XLN Audio - Addictive Drums,Kit,Startup,,
6. Encroaching Fear,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
7. Stand Your Ground,,,(Arranged by Tetsuya Shibata),,
Orchestra,Live Recording (Video Game Orchestra),,,,
Electric Guitar,Live Recording (Shota Nakama),,,,
8. Relax and Reflect,,,(Arranged by Mitsuhiro Ohta),,
,,,,,
9. Day's End Fanfare,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
10. Horizon,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
11. Safe Haven,,,(Arranged by Tetsuya Shibata),,
,,,,,
12. Lurking Danger,,,(Arranged by Yoko Shimomura),,
,,,,,
13. Hunt or Be Hunted,,,(Arranged by Tetsuya Shibata),,
,,,,,
14. CINDY,,,(Arranged by Naoki Masumoto),,
,,,,,
15. Urban Chrome,,,(Arranged by Yoko Shimomura & Shota Nakama),,
String Ensemble,EastWest - Symphonic Orchesta,,,,
Electric Piano,Spectrasonics - Keyscape,,,,
Synth Lead,Spectrasonics - Omnisphere,Synth Mono,Happy Gaga Lead,,
Synth Pad,,,,,
Wah Guitar,,,,,
Slap Bass,Spectrasonics - Trillian,,,,
Drumkit,XLN Audio - Addictive Drums,,,,
,,,,,
16. A Quick Pit Stop,,,(Arranged by Mitsuhiro Ohta),,
,,,,,
17. Love Lost,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
18. Galdin Quay,,,(Arranged by Tetsuya Shibata),,
,,,,,
19. ARDYN,,,(Arranged by Tetsuya Shibata),,
String Ensemble,Orchestral Tools - Berlin Strings,,,,
,,,,,
Flute,Orchestral Tools - Berlin Woodwinds,Flutes,02 Flute 1,,
,,,,,
Bassoon,Orchestral Tools - Berlin Woodwinds,Bassoons,01 Bassoon 1,,
,,,,,
,,,,,
,,,,,
,,,,,
20. The Aggressors,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
21. NOX AETERNA,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
22. The Hunters,,,(Arranged by Tetsuya Shibata),,
Picked Bass,Spectrasonics - Trilian,Bass - Electric Picked,Rock P-Bass Pick - Full Range,,
23. What Lies Within,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
24. Daemons,,,(Arranged by Yoko Shimomura & Shota Nakama),,
Percussion Loop,Heavyocity - Damage,01 Rhythmic Suites -> Loop Menus,LPS Epic Organic Full,,
25. Bros on the Road,,,(Arranged by Shota Nakama),,
,,,,,
26. Fantastica!,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
27. The Niflheim Empire,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
28. Veiled in Black,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
29. Valse Di Fantastica,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
30. Crystalline Chill,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
31. What a Hoot,,,(Arranged by Mitsuhiro Ohta),,
,,,,,
32. Blues de Chocobo,,,(Arranged by Mitsuhiro Ohta),,
,,,,,
33. Reel Rumble,,,(Arranged by Tetsuya Shibata),,
,,,,,
34. The Fight is On!,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
35. Lestallum,,,(Arranged by Tetsuya Shibata),,
,,,,,
36. Welcome to the Leville,,,(Arranged by Tetsuya Shibata),,
,,,,,
37. Unsettling Aura,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
38. Don't Panic!,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
39. APOCALYPSIS NOCTIS,,,(Arranged by Yoko Shimomura & Sachiko Miyano),,
,,,,,
40. Cosmogony,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
41. Melancholia,,,(Arranged by Yoko Shimomura & Shota Nakama),,
,,,,,
42. A Premonition,,,(Arranged by Yoko Shimomura & Shota Nakama),,
Violin Ensemble,,,,,
Viola Ensemble,,,,,
Cello Ensemble,,,,,
Bass Ensemble,,,,,
French Horn Ensemble,,,,,
Trombone Ensemble,,,,,
Trumpet Ensemble,,,,,
Choir,,,,,
Cymbals,,,,,
Timpani(?),,,,,
Clicking Percussion,,,,,
,,,,,
Conga Loop,,,,,
43. NOX DIVINA,,,(Arranged by Yoko Shimomura & Kaoru Wada),,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
