Instrument,Source,Path/Bank,Preset,Notes,Demo
"Research by: NEWER VGM Sound Sources sheet, Seshpai, Aged String, onion_mu, Spektron",,,,,
There may be more instruments in the tracks that we aren't aware of,,,,,
,,,,,
Section 1 - Final Fantasy XVI,,,,,
,,,,,
1. Land of Eikons,,,,,(arranged by Masayoshi Soken)
Vocals,Best Service - Era II Vocal Codex,Female Voices -> Celtia,CELTIA Female Solo Voice,,
Cymbals,EastWest - Hollywood Orchestral Percussion,Cymbals -> Sus Cymbal,20in Zildjian wCutouts Sus Cymbal Cres,,
Timpani,EastWest - Hollywood Orchestral Percussion,Drums -> Timpani,Timpani Flt KS,,
Snare,EastWest - Hollywood Orchestral Percussion,Drums,5in x 14in Brass Ludwig Snare,,
Orchestral Chimes,EastWest - Hollywood Orchestral Percussion,Metals,Orchestral Chimes,,
Harp,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long ,Harp Pluck,,
Cello,UNKNOWN,,,Might be live,
Drum Loop,UNKNOWN,,,Matches A Cold Wind from FFXIV,
Piano,UNKNOWN,,,Potentially Ivory or Garritan Personal Orchestra,
2. Away (Overture),,,,,(arranged by Masayoshi Soken & Yoshitaka Suzuki)
,,,,,
3. The Lion and The Hare - The Nysa Defile,,,,,(arranged by Masayoshi Soken)
,,,,,
4. Shattered,,,,,(arranged by TomoLow)
Choir (Male),Performance Samples - Oceania,Instruments,Oceania - Men - Main,,
Choir (Female),Performance Samples - Oceania,Instruments,Oceania - Women - Main,,
Violin Ensemble,EastWest - Hollywood Strings,,,,
Viola Ensemble,EastWest - Hollywood Strings,,,,
Cello Ensemble,EastWest - Hollywood Strings,,,,
Bass Ensemble,EastWest - Hollywood Strings,,,,
Trombone Ensemble,EastWest - Hollywood Brass,,,,
Trumpet Ensemble,EastWest - Hollywood Brass,,,,
Intro Creak,UNKNOWN,,,,
Tubular Bells,UNKNOWN,,,,
Toms,UNKNOWN,,,,
Riser,UNKNOWN,,,,
Solo Violin,UNKNOWN,,,,
Alto Solo,UNKNOWN,,,,
Harmonic synth pad,UNKNOWN,,,,
Synth pad,UNKNOWN,,,,
Cymbals,UNKNOWN,,,,
Church Organ,UNKNOWN,,,,
Synth Riser,UNKNOWN,,,Check Rise & Hit,
5. A Rose Is a Rose,,,,,(arranged by Daiki Ishikawa)
,,,,,
6. Return of the Archduke,,,,,(arranged by Daiki Ishikawa)
,,,,,
7. My Lady,,,,,(arranged by Takafumi Imamura)
,,,,,
8. Into the Mire – Stillwind,,,,,(arranged by Masayoshi Soken)
,,,,,
9. Sixteen Bells,,,,,(arranged by Masayoshi Soken)
Solo Violin,Live Recording (Yuma Ito),,,,
Trombone Ensemble,EastWest - Hollywood Brass,2 Trombones and 1 Bass Trombone -> 07 Keyswitch,3TB KS Sus_Short C#4-G#4,,
French Horn Ensemble,EastWest - Hollywood Brass,6 French Horns -> 07 Keyswitch,6FH KS Sus_Short C0-G#0,,
Snare,EastWest - Hollywood Orchestral Percussion,Drums,5in x 14in Brass Ludwig Snare,,
Violin Ensemble (Shorts),EastWest - Hollywood Strings,1st Violins -> 03 Short Tight -> MOD COMBOS,1st Violins Shorts MOD SPEED,,
Cello Ensemble (Shorts),EastWest - Hollywood Strings,Celli -> 03 Short Tight -> MOD COMBOS,Celli Shorts MOD SPEED,,
Cymbals,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
Timpani,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,Close and Stage mics,
Orchestral Chimes,EastWest - Symphonic Orchestra,Perc -> Metals,Orch chimes,Close and Stage mics,
Triangle,EastWest - Symphonic Orchestra,Perc -> Metals,Triangle,,
Sticks,EastWest - Symphonic Orchestra,Perc -> Wood,All Sticks,Close mics,
Harp,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long ,Harp Pluck,,
String Ensemble (GM),Steinberg - HALion Sonic SE,HS SE Basic Set,[GM 049] String Ensemble 1,,
Piano,UNKNOWN,,,,
10. There His Quarry Lies,,,,,(arranged by Justin Frieden)
Bass Ensemble (Shorts),EastWest - Hollywood Strings,Basses -> 03 Short Tight -> MOD COMBOS,Basses Shorts MOD SPEED,,
