Sample Description,Sample #,Source,Path/Bank,Preset,Notes,Demo,
"Research by: NEWER VGM Sound Sources sheet, Mudstep, Elezeid, PSIFox",,,,,,,
Table of Contents,,,,,,,
,,,,,,,
JUMP TO:,,Tactics,,,,,
"(click the cell, and click the hyperlink",,Vagrant Story,,,,,
that comes up),,Tactics Advance,,,,,
,,XII: Revenant Wings,,,,,
,,Tactics A2,,,,,
"NOTE: This section is a work-in-progress. As a result, things may be incomplete or inaccurate for the time being.",,,,,,,
,,,,,,,
"Articulations/notes that were sampled are listed with brackets [ ], all samples in this game are converted to mono",,,,,,,
,,,,,,,
,,,,,,,
Section 1 - Final Fantasy Tactics,,,,,,,
Sequenced Soundbank,,,,,,,
Wave 1,Sample 0,,,,,,
Wave 2,Sample 1,,,,,,
Wave 3,Sample 2,,,,,,
Wave 4,Sample 3,,,,,,
Wave 5,Sample 4, ,,,,,
Wave 6,Sample 5,,,,,,
Wave 7,Sample 6,,,,,,
Wave 8,Sample 7,,,,,,
Tubular Bell,Sample 8,Roland - SR-JV80-02 Orchestral,XP-X,088 TubulaBells1,,,
Wave 9,Sample 9,,,,,,
Noise SFX???,Sample 10,,,,,,
Noise SFX???,Sample 11,,,,,,
Noise SFX???,Sample 12,,,,,,
Snare Drum,Sample 13,,,,Maybe Advance Orchestra or Proteus/2?,,
Tonal Clang,Sample 14,,,,,,
Crash Hit,Sample 15,,,,,,
Orchestral Cymbal 1,Sample 16,Roland - SR-JV80-02  Orchestral,Waveforms,134 Cymbal Hit,,,
Wind Chime,Sample 17,,,,,,
Glockenspiel,Sample 18,Roland - SR-JV80-02 Orchestral,XP-X,211 Glocken 1,,,
Harp,Sample 19,Roland - SR-JV80-02 Orchestral,XP-X,058 Harp 1,,,
Harp,Sample 20,Roland - SR-JV80-02 Orchestral,XP-X,058 Harp 1,,,
Harp,Sample 21,Roland - SR-JV80-02 Orchestral,XP-X,058 Harp 1,,,
Harp,Sample 22,Roland - SR-JV80-02 Orchestral,XP-X,058 Harp 1,,,
Harp,Sample 23,Roland - SR-JV80-02 Orchestral,XP-X,058 Harp 1,,,
Oboe,Sample 24,Roland - SR-JV80-02 Orchestral,XP-X,094 Oboe 3,,,
Oboe,Sample 25,Roland - SR-JV80-02 Orchestral,XP-X,094 Oboe 3,,,
Pizzicato Strings,Sample 26,Roland - JV-1080,PR-C,047 Bass Pizz,,,
Sleigh Bells,Sample 27,Roland - SR-JV80-02  Orchestral,Waveforms,144 Sleigh Bell,,,
Flute 1,Sample 28,,,,,,
Flute 1,Sample 29,,,,,,
Flute 1,Sample 30,,,,,,
Crash Hit,Sample 31,,,,,,
Hard String Ensemble,Sample 32,Roland - SR-JV80-02 Orchestral,XP-X,043 Vivace Strs,,,
Hard String Ensemble,Sample 33,Roland - SR-JV80-02 Orchestral,XP-X,043 Vivace Strs,,,
Hard String Ensemble,Sample 34,Roland - SR-JV80-02 Orchestral,XP-X,043 Vivace Strs,,,
Hard String Ensemble,Sample 35,Roland - SR-JV80-02 Orchestral,XP-X,043 Vivace Strs,,,
Hard String Ensemble,Sample 36,Roland - SR-JV80-02 Orchestral,XP-X,043 Vivace Strs,,,
Hard String Ensemble,Sample 37,Roland - SR-JV80-02 Orchestral,XP-X,043 Vivace Strs,,,
Clarinet,Sample 38,,,,,,
Clarinet,Sample 39,,,,,,
Clarinet,Sample 40,,,,,,
Clarinet,Sample 41,,,,,,
Trombone,Sample 42,,,,,,
Trombone,Sample 43,,,,,,
Trombone,Sample 44,,,,,,
Orchestral Cymbal 2,Sample 45,Roland - SR-JV80-02  Orchestral,Waveforms,132 Crash Cymbal,,,
Flute 2,Sample 46,,,,,,
Brass Section,Sample 47,Roland - SR-JV80-02  Orchestral,XP-X,160 McArthur Brs,,,
Brass Section,Sample 48,Roland - SR-JV80-02  Orchestral,XP-X,160 McArthur Brs,,,
Brass Section,Sample 49,Roland - SR-JV80-02  Orchestral,XP-X,160 McArthur Brs,,,
Brass Section,Sample 50,Roland - SR-JV80-02  Orchestral,XP-X,160 McArthur Brs,,,
Timpani,Sample 51,Roland - SR-JV80-02  Orchestral,Waveforms,121 Timpani f,Check JV-1080,,
Timpani,Sample 52,Roland - SR-JV80-02  Orchestral,Waveforms,121 Timpani f,Check JV-1080,,
Celesta,Sample 53,,,,,,
Trumpet,Sample 54,,,,,,
Trumpet,Sample 55,,,,,,
Trumpet,Sample 56,,,,,,
Trumpet,Sample 57,,,,,,
Trumpet,Sample 58,,,,,,
Bassoon,Sample 59,,,,,,
Bassoon,Sample 60,,,,,,
Bassoon,Sample 61,,,,,,
Bassoon,Sample 62,,,,,,
Bassoon,Sample 63,,,,,,
Soft String Ensemble,Sample 64,,,,,,
Soft String Ensemble,Sample 65,,,,,,
Soft String Ensemble,Sample 66,,,,,,
Soft String Ensemble,Sample 67,,,,,,
Soft String Ensemble,Sample 68,,,,,,
Noise SFX???,Sample 69,,,,,,
Horn Ensemble,Sample 70,,,,,,
Horn Ensemble,Sample 71,,,,,,
Horn Ensemble,Sample 72,,,,,,
Horn Ensemble,Sample 73,,,,,,
Horn Ensemble,Sample 74,,,,,,
Noise SFX???,Sample 75,,,,,,
Loud Knock,Sample 76,,,,,,
Noise SFX???,Sample 77,,,,,,
Metallic Knock,Sample 78,,,,,,
Babbling Vox,Sample 79,,,,,,
Metallic Key,Sample 80,,,,,,
Wave,Sample 81,,,,,,
Wave,Sample 82,,,,,,
Choir Aahs,Sample 83,,,,,,
Synth Pad,Sample 84,,,,,,
Noise SFX???,Sample 85,,,,,,
Noise SFX???,Sample 86,,,,Might be a Guiro,,
Noise SFX???,Sample 87,,,,Sounds metallic,,
Sine Wave,Sample 88,,,,,,
Synth Pad,Sample 89,,,,,,
Synth Pad,Sample 90,,,,"Also heard on the Proteus 2000 as ""Pad:Classic """,,
Wave,Sample 91,,,,,,
Noise SFX???,Sample 92,,,,,,
Slow Strings,Sample 93,,,,,,
Slow Strings,Sample 94,,,,,,
Solo Trumpet,Sample 95,,,,,,
Solo Trumpet,Sample 96,,,,,,
Solo Trumpet,Sample 97,,,,,,
Solo Trumpet,Sample 98,,,,,,
Streamed Tracks,,,,,,,
Opening,,,,,,,
Piano,,,,,,,
String Ensemble,,Roland - JV-1080,PR-D (GM),049 Strings,,,
Wind Chime,,Roland SR-JV80-02 Orchestral,XP-X,Wind Chimes1,,,
Oboe,,,,,,,
Bassoon,,,,,,,
Cymbal,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Prolouge Movie,,,,,,,
Bagpipes,,Roland - SR-JV80-05 World,XP-X,174 Bagpipes,,,
Oboe,,Roland - SR-JV80-02 Orchestral,XP-X,094 Oboe 3,,,
Brass Section,,Roland - SR-JV80-02 Orchestral,XP-X,160 McArthur Brs,,,
Wind Chime,,Roland - SR-JV80-02 Orchestral,XP-X,245 Wind Chimes1,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Section 2 - Vagrant Story,,,,,,,
,,,,,,,
9. Dullahan,,,,,,,
String Ensemble,05-00,Roland - SR-JV80-02 Orchestral,XP-X,047 Ominous,,,
String Ensemble,2025-05-01 00:00:00,Roland - SR-JV80-02 Orchestral,XP-X,047 Ominous,,,
String Ensemble,2025-05-02 00:00:00,Roland - SR-JV80-02 Orchestral,XP-X,047 Ominous,,,
String Ensemble,2025-05-03 00:00:00,Roland - SR-JV80-02 Orchestral,XP-X,047 Ominous,,,
String Ensemble,2025-05-04 00:00:00,Roland - SR-JV80-02 Orchestral,XP-X,047 Ominous,,,
String Ensemble,2025-05-05 00:00:00,Roland - SR-JV80-02 Orchestral,XP-X,047 Ominous,,,
String Ensemble,2025-05-06 00:00:00,Roland - SR-JV80-02 Orchestral,XP-X,047 Ominous,,,
French Horn,20D-00,Roland - SR-JV80-02 Orchestral,,,,,
French Horn,20D-01,Roland - SR-JV80-02 Orchestral,,,,,
Trombone,20D-02,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tbs,Tbs Port,,,
Trombone,(Cont),Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tbs,Tbs x,,,
Trombone,20D-03,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tbs,Tbs Port,,,
Trombone,(Cont),Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tbs,Tbs x,,,
Trombone,20D-04,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tbs,Tbs Port,,,
Trombone,(Cont),Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tbs,Tbs x,,,
Trumpet,20D-05,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Stacc 1,,,
Trumpet,(Cont),Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Port,,,
Snare,20D-06,,,,,,
Timpani,20D-07,Roland - SR-JV80-02 Orchestral,,,,,
Solo French Horn,20D-08,Roland - SR-JV80-02 Orchestral,XP-X,123 Solo F.Horn1,,,
Solo French Horn,20D-09,Roland - SR-JV80-02 Orchestral,XP-X,123 Solo F.Horn1,,,
Trumpet,20D-10,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps X,,,
Harp,20D-11,Roland - SR-JV80-02 Orchestral,XP-X,058 Harp 1,,,
Harp,20D-12,Roland - SR-JV80-02 Orchestral,XP-X,058 Harp 1,,,
Harp,20D-13,Roland - SR-JV80-02 Orchestral,XP-X,058 Harp 1,,,
Harp,20D-14,Roland - SR-JV80-02 Orchestral,XP-X,058 Harp 1,,,
,,,,,,,
,,,,,,,
,,,,,,,
Section 3 - Final Fantasy Tactics Advance,,,,,,,
,,,,,,,
Tracks heard in-game (Sequenced Soundbank),,,,,,,
,,,,,,,
Original Soundtrack Disc 2 (Streamed arrangements),,,,,,,
1. Main Theme,,,,,,,
,,,,,,,
2. Snow Dancing in the Schoolyard,,,,,,,
Triangle,,,,,,,
Triangle,,,,,,,
Cello Sustain,,Miroslav Vitous - Orchestra String Ensemble,Cellos  ,CES Expressivo,,,
French Horn Ensemble,,,,,,,
French Horn Ensemble,,,,,,,
Flute Ensemble,,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Woodwinds -> Flutes  ,Flutes Port,,,
Flute Ensemble,,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Woodwinds -> Flutes  ,Flutes X,,,
Oboe Ensemble,,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Woodwinds -> Oboes ,Oboe X,,,
Oboe Ensemble,,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Woodwinds -> Oboes ,Oboe Port,,,
,,,,,,,
,,,,,,,
,,,,,,,
3. Companions that Surpassed Their Races,,,,,,,
Trumpet ,,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Port 1,,,
Trumpet ,,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps X,,,
Trumpet ,,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Stacc,,,
Fast String Ensemble,,Roland - SR-JV80-02 Orchestral,XP-X,043 Vivace Strs,,,
Slow String Ensemble,,Roland - SR-JV80-02 Orchestral,XP-X,001 Warm Violins,,,
4. Monster Farm,,,,,,,
,,,,,,,
5. Crystal,,,,,,,
,,,,,,,
6. Unhideable Anxiety,,,,,,,
,,,,,,,
7. In the Amber Valley,,,,,,,
,,,,,,,
8. At The Pub,,,,,,,
,,,,,,,
"9. Ivalice, the Other World",,,,,,,
,,,,,,,
10. Gathering Allies,,,,,,,
,,,,,,,
11. Walking in Ivalice,,,,,,,
,,,,,,,
"12. Teach Me, Montblanc",,,,,,,
,,,,,,,
13. Undefeated Heart,,,,,,,
,,,,,,,
14. Marche,,,,,,,
,,,,,,,
15. Tough Battle,,,,,,,
,,,,,,,
Flute Ensemble,,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Woodwinds -> Flutes  ,Flutes Port,,,
Flute Ensemble,,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Woodwinds -> Flutes  ,Flutes X,,,
,,,,,,,
,,,,,,,
Fast String Ensemble,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
16. Sleep of Defeat,,,,,,,
,,,,,,,
17. Prison,,,,,,,
,,,,,,,
18. Overcoming the Wall,,,,,,,
,,,,,,,
19. Mewt,,,,,,,
,,,,,,,
20. Battle for Hope,,,,,,,
,,,,,,,
21. Law Card,,,,,,,
,,,,,,,
22. Ritz,,,,,,,
,,,,,,,
23. Mysterious Shop,,,,,,,
,,,,,,,
24. The Road We Aim for Together,,,,,,,
,,,,,,,
25. Disorientation,,,,,,,
,,,,,,,
26. Beyond the Wasteland,,,,,,,
,,,,,,,
27. The World Starting to Move,,,,,,,
,,,,,,,
28. Unavoidable Destiny,,,,,,,
,,,,,,,
29. Incarnation,,,,,,,
,,,,,,,
30. Vanishing World,,,,,,,
,,,,,,,
31. The Place We Should Return To,,,,,,,
,,,,,,,
32. Fragments of a Fulfilled Dream,,,,,,,
,,,,,,,
,,,,,,,
Section 4 - Final Fantasy XII: Revenant Wings,,,,,,,
,,,,,,,
SEQ_08 (Giza Plains - Preperation Phase),,,,,,,
