Sample Description,Sample #,Source,Path/Bank,Preset,Notes,Demo
"Research by: NEWER VGM Sound Sources sheet, Onion_mu, Toshinou",,,,,,
,,,,,,
Table of Contents,,,,,,
,,,,,,
JUMP TO:,,Dimensions,,,,
"(click the cell, and click the hyperlink",,Theatrhythm,,,,
that comes up),,Brave Exvius,,,,
,,Mobius,,,,
,,Record Keeper,,,,
,,Misc.,,,,
"NOTE: This section is a work-in-progress. As a result, things may be incomplete or inaccurate for the time being.",,,,,,
,,,,,,
There may be more instruments in the tracks that we aren't aware of.,,,,,,
,,,,,,
,,,,,,
Section 1 - Dimensions series,,,,,,
,,,,,,
Final Fantasy Dimensions,,,,,,
,,,,,,
,,,,,,
Final Fantasy Dimensions II,,,,,,
,,,,,,
,,,,,,
,,,,,,
Section 2 - Theatrhythm series,,,,,,
,,,,,,
Theatrhythm Final Fantasy,,,,,,
The Chaos Shrine - TFF Menu Arrangement - From FF,,,,,,
Violin Ensemble,,Native Instruments - Kontakt Factory Library,,,,
Viola Ensemble,,Native Instruments - Kontakt Factory Library,,,,
Cello Ensemble,,Native Instruments - Kontakt Factory Library,,,,
Bass Ensemble,,Native Instruments - Kontakt Factory Library,,,,
French Horn Ensemble,,Native Instruments - Kontakt Factory Library,Orchestral -> 3 - VSL Brass,French Horn Ensemble [C0 Sustain],Might also be Logic or VSL,
Trumpet ensemble,,Native Instruments - Kontakt Factory Library,Orchestral -> 3 - VSL Brass,Trumpet Ensemble [C0 Sustain],,
Drumkit,,UNKNOWN,,,,
Snare,,Native Instruments - Kontakt Factory Library,Orchestral -> 5 - Orchestral Percussion,Snare Drums,,
Tubular Bells,,UNKNOWN,,,,
Harp,,Native Instruments - Kontakt Factory Library,Orchestral -> 1 - VSL Strings,Harp,Needs confirmation,
Cymbal Crash,,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
Cymbal Sustain,,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
Harpsichord,,Native Instruments - Kontakt Factory Library,Orchestral -> 6 - Keyboard Instruments,Harpsichord,,
,,,,,,
,,,,,,
Theatrhythm Final Fantasy: Curtain Call,,,,,,
,,,,,,
,,,,,,
Theatrhythm Final Fantasy All-Star Carnival,,,,,,
1. Prelude -THEATRHYTHM FFAC MENU Arrange- from FF,,,,,,
,,,,,,
2. Fight With Seymour -THEATRHYTHM FFAC Arrange- from FFX,,,,,,
,,,,,,
3. Matoya's Cave -THEATRHYTHM FFAC Arrange- from FF,,,,,,
,,,,,,
4. Final Fantasy V Main Theme -THEATRHYTHM FFAC Arrange- from FFV,,,,,,
,,,,,,
5. Locke's Theme -THEATRHYTHM FFAC Arrange- from FFVI,,,,,,
,,,,,,
6. J-E-N-O-V-A -THEATRHYTHM FFAC Arrange- from FFVII,,,,,,
,,,,,,
7. Red Wings -THEATRHYTHM FFAC Arrange- from FFIV,,,,,,
,,,,,,
8. TFFCC Special Arrange Medley -THEATRHYTHM FFAC Arrange- from TFFCC,,,,,,
,,,,,,
Unreleased Tracks,,,,,,
Battle at the Big Bridge -THEATRHYTHM FFAC MENU Arrange- from FFV,,,,,,
,,,,,,
Theatrhythm Final Bar Line,,,,,,
Opening ,,,,,,
,,,,,,
Menu Theme (Fina Fantasy) ,,,,,,
,,,,,,
Party Menu (Protect the Espers from FFVI),,,,,,
,,,,,,
Multiplayer Lobby (Gold Saucer from FFVII),,,,,,
,,,,,,
Multiplayer Select (Chocobo Theme),,,,,,
,,,,,,
Multiplayer Win (Return of the Hero from FFXIV,,,,,,
,,,,,,
Game Select (Prelude),,,,,,
Choir,,,,,,
Strings,,,,,,
Bass Drum,,,,,,
Harp,,,,,,
Piano,,,,,,
Synth Percussion,,,,,,
,,,,,,
,,,,,,
Museum (Valse Di Fantastica from FFXV),,,,,,
,,,,,,
CollectaCard Picking (Spreading Your Wings from FFV),,,,,,
,,,,,,
ProfiCards Menu (March of the Dreadnoughts from FFXIII),,,,,,
,,,,,,
ProfiCards Collection (Plains of Eternity from FFXIII-2)					,,,,,,
,,,,,,
Victory (Series Quest),,,,,,
,,,,,,
Victory (Music Select),,,,,,
,,,,,,
Game Anniversary ,,,,,,
,,,,,,
Character's Birthday,,,,,,
,,,,,,
Settings (Prelude),,,,,,
,,,,,,
FFVII Special Arrange Medley -TFBL Arrange- from FFVII,,,,,,
Synth Bell,,,,,,
Synth Lead,,,,,,
Synth Pad,,,,,,
Synth String,,,,,,
Piano,,,,,,
Violin Ensemble,,,,,,
Viola Ensemble,,,,,,
Cello Ensemble,,,,,,
Bass Ensemble,,,,,,
Oboe,,,,,,
Flute,,,,,,
French Horn Ensemble,,,,,,
Harp,,,,,,
Triangle,,,,,,
Snare,,,,,,
Timpani,,,,,,
Percussion Loop,,,,,,
,,,,,,
THEATRHYTHM FINAL BAR LINE Special Battle Arrange Medley,,,,,,
,,,,,,
Credits,,,,,,
,,,,,,
,,,,,,
Section 3 - Brave Exvius series,,,,,,
,,,,,,
Vol. 1,,,,,,
1. Moment of Recall,,,,,,
,,,,,,
2. To the Horizon,,,,,,
,,,,,,
3. Into the Labyrinth,,,,,,
,,,,,,
4. DUEL!!,,,,,,
,,,,,,
5. Victory's Fanfare,,,,,,
,,,,,,
6. Peaceful Village,,,,,,
,,,,,,
7. Not of This World,,,,,,
,,,,,,
8. Rain in Forest,,,,,,
,,,,,,
9. The Ancient Life,,,,,,
,,,,,,
10. The Initiation,,,,,,
,,,,,,
11. Monument Valley,,,,,,
,,,,,,
12. Supreme Mission,,,,,,
,,,,,,
13. Devided We Fall,,,,,,
,,,,,,
14. The Emergency,,,,,,
String Ensemble,,Live Recording (EKS Masters Orchestra),,,,
French Horn Ensemble,,Live Recording (See Note),,,,
Trumpet Ensemble,,Live Recording (See Note),,,,
Trombone Ensemble,,Live Recording (See Note),,,,
Anvil,,EastWest - Symphonic Orchestra,Perc -> Drums,All Anvils,,
Cymbals,,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
Triangle,,EastWest - Symphonic Orchestra,Perc -> Metals,Various Metals,,
Tubular Bells,,EastWest - Symphonic Orchestra,Perc -> Metals,Orch Chimes,,
Percussion Loop,,UNKNOWN,,,,
,,,,,,
,,,,,,
15. Onslaught,,,,,,
,,,,,,
16. The Suspicion,,,,,,
,,,,,,
17. Walkabout,,,,,,
,,,,,,
18. Overcome the Menace,,,,,,
,,,,,,
19. Tree of Tales,,,,,,
,,,,,,
20. Once more Dance?,,,,,,
,,,,,,
21. Prelude,,,,,,
,,,,,,
22. Great Voyage,,,,,,
,,,,,,
23. State of Grave,,,,,,
,,,,,,
24. The Oath,,,,,,
,,,,,,
25. Snowdrop,,,,,,
,,,,,,
26. Join de Vivre,,,,,,
,,,,,,
27. Mirage Palace,,,,,,
,,,,,,
28. Sacred Ground,,,,,,
,,,,,,
29. Amigo de Chocobo,,,,,,
,,,,,,
30. Antiquities,,,,,,
,,,,,,
31. The Imperial Capital,,,,,,
,,,,,,
32. Shadow of Doubt,,,,,,
,,,,,,
33. Mystic Ruins,,,,,,
,,,,,,
34. The Ghostship,,,,,,
,,,,,,
35. Secrets in Her Eyes,,,,,,
,,,,,,
36. Nothing's in Vain,,,,,,
,,,,,,
37. Odyssey,,,,,,
,,,,,,
38. Force and Furious,,,,,,
,,,,,,
39. End is Nigh,,,,,,
,,,,,,
40. Celestial Battle,,,,,,
,,,,,,
41. Triumph of Destiny,,,,,,
,,,,,,
42. Final Fantasy,,,,,,
,,,,,,
Vol. 2,,,,,,
,,,,,,
,,,,,,
Section 4 - Record Keeper,,,,,,
,,,,,,
Vol. 1,,,,,,
1. Mystic Mysidia - Halloween (FFRK Ver. Arrange),,,,,,
