Sample Description,Sample #,Source,Path/Bank,Preset,Notes
Welcome to the Final Fantasy Sound Sources spreadsheet! This spreadsheet aims to provide comprehensive documentation for the sources of sounds used in Final Fantasy games.,,,,,
"We only ask that you do not claim this information as your own. This information is freely available for anyone to share and discuss: 
For crediting, this documentation is managed by the VGM Resources community and the various communities related to it. ",,,,,
"Some of the findings on this sheet derive from the NEWER VGM Sound Sources spreadsheet, linked on this cell.",,,,,
,,,,,
General Spreadsheet Editor Rules,,,,,
,,,,,
1. Only list confirmed sources.,"List all known instruments in the track. Instruments with known sound sources should be verified beyond reasonable doubt, preferably with a demo. If the source is unknown, add ""UNKNOWN"" under the ""Source"" column.",,,,
2. Do not reinterpret patch names.,"Write patch/preset names exactly how they are displayed on the product or patch list in question. Do not abbreviate*, expand, reorder, or attempt to clarify the patch name in any way. Use the notes section if you must append any clarifications.",,,,
3. Handle disputes correctly.,"Place a comment on the sheet if you are challenging a find (particularly those without audio demonstrations), and put important developments in the comment thread. Do not erase the entry until the dispute is resolved.",,,,
Join the discord for discussion here.,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Spreadsheet Editor Rules,,,,,
,,,,,
1. List findings in order of sample number.,List each finding in order of which each sample comes in in the game's soundbank.,,,,
2. List which articulation was sampled.,"Using brackets, list which articulation was sampled for an instrument next to its preset (ex. Trumpet [stac]). ",,,,
"3. For drums, list which key was sampled.","Using brackets, list which key of a drum kit was sampled next to its preset (ex. Power Set 2 [Note D#]). ",,,,
4. Use the C-1-G9 note range.,"Many people use FL Studio, where C0 is the bottom note. If that's the case, simply transpose each key an octave down.",,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
To-Do,,,,,
,,,,,
"- Fix all the inaccuracies in each section (known samples listed as unknown, wrong source listings, etc.)",,,,,
"- Add more sections, any spinoffs that may have been forgotten, etc.)",,,,,
- Add every track from each game's OST & description + their sample ID if sequenced,,,,,
"- By proxy, add every instrument in each game's tracks.",,,,,
- Add each key that was sampled to each finding that doesn't have it,,,,,
- Import information from the main sheet onto here,,,,,
"- Establish an editing guideline for each of the following: SNES (IV-VI), PS1 (VII-IX, Tactics, Chocobo), X + X-2, XI, FFTA, DS (e.g FFTA2, CC:EOT), and streamed (XII+, Dirge of Cerberus, and basically any game after the sixth generation.)",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Editor's Guide to Listings,,,,,
,,,,,
How to List Product-Specific Formats,,,,,
Describe the sound,---,Roland - SC-Series Sound Module,SC-XX Map,000 005 E.Piano 1,See note for SC-Series & SD-Series
Describe the sound,---,Roland  - SD-Series Sound Module,"(GM2, GS, or Native) -> (Set)",037 000 Slap Bass 1,^^^
Describe the sound,---,AKAI Sampler Format - Product Name,Partition X -> (Directory),Patch Name,Sample(s) used from patch
Describe the sound,---,Audio Format - Product Name,Track XX - Track Title -> TS X:XX / Sample XX,Sample Name,
Describe the sound,---,Audio Format - Product Name,"Track XX - Track Title (-> Sample XX, Optional)",Timestamp X:XX,
Describe the sound,---,Sound Ideas - Product Name,XXXX-XX-XX,TITLE,DESCRIPTION
Color coding,,,,,
Instrument w/ known source,---,Source,,,
Instrument w/ unknown source,---,Unknown,,,
Instrument w/ a known source that should be checked,---,CHECK,,,
Instrument w/ source that should be double-checked ,---,Possible source,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"SNES Era (IV-VI, Mystic Quest) editor guidlines",,,,,
1. Provide a description of the sample,,,,,
2. List by Sample ID,Try to list files in order of their in-game index.,,,,
3. Use official English translations,"Square Enix has released the OSTs to all their mainline Final Fantasy games. For FFV (which never saw it or its OST get an official release outside Japan), use their literal translations, as that is what has remained consistent in suplementary material.",,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Playstation Era (VII-IX, plus spinoffs) editor guidlines",,,,,
1. Provide a description of the sample,,,,,
2. List by Sample #,Try to list files in order of their in-game index.,,,,
3. Use official English translations,"This is primarily for the later Playstation games (VIII, IX, and the Chocobo games after Chocobo Racing)",,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Final Fantasy X, X-2, XI editor guidlines",,,,,
"1. List by OST placement, then list sample by Sample #",,,,,
2. Provide a description of the sample,"This is so that keeping track of what needs to be found easier. The best way to get a description of a sound is via the soundfont rips by Exabyte U, albeit its not perfect sometimes.",,,,
3,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Final Fantasy Tactics Advance, Finest Fantasy",,,,,
1. There are two sections,The OST splits it in two discs: Disc 1 is the sequenced music. Disc 2 is the streamed music. The tracks on Disc 2 should be formatted like XII+,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
DS Games editor guidelines,,,,,
1. List sections by .SWAR name.,"List sections by .SWAR (wave archive) name, and include any tracks that use them in parentheses (try to use the OST track names, with some exceptions). List entries by .SWAV number.",,,,
2. List sections in order of their internal ID.,Each .SWAR has an internal ID. You can check these by opening a game's .SDAT file with software like NitroStudio. ,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Streamed music (FFXII+, most spin-offs) editor guidelines",,,,,
1. Use official English translations,"Some OSTs streaming releases (such as XIII) use Japanese instead of the English title. For games without an official OST release (or an incomplete OST release), use literal Japanese translations until an official release.",,,,
2. List ALL instruments heard in the track.,"List all sounds in a track, even if the source is unknown. That way, it makes finding these samples easier.",,,,
3. Seperate sequels from the main game,"For games with direct sequels, those sequels should be listed separately in their own section. Exceptions are made with DLC/Expansions (XIV, XV, etc.). Spin-off series (like Crystal Chronicles, Chocobo, Dissidia, etc.) should be listed after the most recent mainline entry, to which they are then ordered chronologically",,,,
,,,,,
,,,,,
,,,,,
