Instrument,Source,Path/Bank,Preset,Notes,Demo,,,,,
"Research by: NEWER VGM Sound Sources sheet, ",,,,,,,,,,
"NOTE: This section is a work-in-progress. As a result, things may be incomplete or inaccurate for the time being.",,,,,,,,,,
,,,,,,,,,,
There may be more instruments in the tracks that we aren't aware of.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Section 1 - Movies and TV,,,,,,,,,,
,,,,,,,,,,
Final Fantasy: Legends of the Crystals,,,,,,,,,,
,,,,,,,,,,
Final Fantasy: The Spirits Within,,,,,,,,,,
,,,,,,,,,,
Final Fantasy Unlimited,,,,,,,,,,
Music Adventure Vol. 1,,,,,,,,,,
12. Magic Gun Thawing (Kaze - Blade Start - Magic Gun Thawing) ,,,,,,,,,,
String Ensemble,Live Recording (Masatsugu Shinozaki Group),,,,,,,,,
Brass Ensemble,Live Recording (Masahiko Sugasaka Group),,,,,,,,,
Pianoforte,Live Recording (Masato Masuda),,,,,,,,,
Vocal Samples,,,,,,,,,,
Flanger Synth Lead,,,,,,,,,,
Synth Bass,,,,,,,,,,
Orchestral Hit,,,,,,,,,,
Clap,,,,,,,,,,
Synth Toms,,,,,,,,,,
Synth Snare,,,,,,,,,,
Synth Pad,,,,,,,,,,
Electric Guitar,,,,,,,,,,
Laser FX,,,,,,,,,,
Synth FX,,,,,,,,,,
13. Magic Gun Discharge (Kaze - Magic Gun Discharge),,,,,,,,,,
String Ensemble,Live Recording (Masatsugu Shinozaki Group),,,,,,,,,
Brass Ensemble,Live Recording (Masahiko Sugasaka Group),,,,,,,,,
French Horn Ensemble,Live Recording (Hiroshi Matsumoto),,,,,,,,,
Timpani,Live Recording (Midori Takada),,,,,,,,,
Flutes,Live Recording (Takashi Asahi),,,,,,,,,
Oboes,Live Recording (Masakazu Ishibashi),,,,,,,,,
Snare,,,,,,,,,,
Mono Synth Lead,,,,,,,,,,
Synth Riser,,,,,,,,,,
Synth Kick,,,,,,,,,,
Synth Snare,,,,,,,,,,
Synth Arp,,,,,,,,,,
15. Monster Appearance (Monster Encounter A (heavy)) ,,,,,,,,,,
Electric Guitar,,,,,,,,,,
Metallic Hit,,,,,,,,,,
Lead Synth,,,,,,,,,,
Drum Loop,,,,,,,,,,
Synth FX,,,,,,,,,,
17. Enormous Fortress Gadium,,,,,,,,,,
String Ensemble,Live Recording (Masatsugu Shinozaki Group),,,,,,,,,
Percussion,"Live Recording (Midori Takada, Tomoko Kusakari)",,,,,,,,,
Organ,,,,,,,,,,
Synth Bell,,,,,,,,,,
Music Adventure Vol. 2,,,,,,,,,,
Oboe,Roland - SR-JV80-02 Orchestral,XP-X,,,,,,,,
,,,,,,,,,,
Final Fantasy VII: Advent Children,,,,,,,,,,
,,,,,,,,,,
Advent Children Complete,,,,,,,,,,
1. Daybreak - Main Theme of FINAL FANTASY VII Arrange Version ,,,,,,,,,,
String Ensemble,Sonic Implants - Symphonic String Collection,07 Ensemble I -> Ensemble Legato,Ensemble Legato,,,,,,,
Cymbal,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,,,,,,
Electric Piano,UNKNOWN,,,Check KFL,,,,,,
Last Order: Final Fantasy VII,,,,,,,,,,
2. Cremation,,,,,,,,,,
String Ensemble,Sonic Implants - Symphonic String Collection,07 Ensemble I -> Ensemble Legato,Ensemble Legato,,,,,,,
Percussion Loop,UNKNOWN,,,Check Stylus RMX,,,,,,
Kingsglaive Final Fantasy XV,,,,,,,,,,
,,,,,,,,,,
Brotherhood Final Fantasy XV,,,,,,,,,,
,,,,,,,,,,
Final Fantasy XV: Episode Ardyn - Prolouge,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Section 2 - Square Enix albums,,,,,,,,,,
,,,,,,,,,,
The Black Mages albums,,,,,,,,,,
,,,,,,,,,,
The Nanaa Mihigo's albums,,,,,,,,,,
,,,,,,,,,,
The Star Onions albums,,,,,,,,,,
,,,,,,,,,,
The Earthbound Papas albums/performances,,,,,,,,,,
,,,,,,,,,,
The Primals albums,,,,,,,,,,
,,,,,,,,,,
SQ Albums,,,,,,,,,,
,,,,,,,,,,
Chill Out Albums,,,,,,,,,,
,,,,,,,,,,
Dance Albums,,,,,,,,,,
,,,,,,,,,,
Other Albums,,,,,Dance Albums,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Section 3 - Crossovers,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
[Notes],,,,,,,,,,
,,,,,,,,,,
