Sample Description,Sample #,Source,Path/Bank,Preset,Notes,Demo
"Research by: NEWER VGM Sound Sources sheet, Mudstep",,,,,,
There may be more instruments in the tracks that we aren't aware of. ,,,,,,
,,,,,,
"Articulations/notes that were sampled are listed with brackets [ ], all samples in this game are converted to mono",,,,,,
,,,,,,
Section 1 - ,,,,,,
,,,,,,
Prelude,,,,,(Arranged by ),
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
[Notes],,,,,,
[Notice],,,,,,
[Notice],,,,,,
,,,,,,
,,,,,,
,,,,,,
[Notes],,,,,,
,,,,,,
