"Welcome! This is a list of the sources of instruments used in game music. Message me on Discord or comment if you have any criticism/suggestions, or request access if you want to edit the list.",,,,,,,,
"The sources on this page were gathered by G-Boy/NintendoGurkan, Hexagon12/GDhex12, Mathew Valente/TSSF, SynaMax/Max Petrosky, Elite, Chillius, midiman, ephemeralmu, Benjamin, Xane123, MtH, starerik, Blue Falcon, felineki, baggagelizard, punk7890/punk7890-2, Can of Nothing/0minus0, the editors of DEAD VGM Sound Sources, BlueTronic/Jammin' Sam Miller, peronmls/Miles, bocaj517, Nisto, crissxcr0ss, Python Blue, Enclave123, F0nkyNinja, koolaid, Skull/Adel Almas, Vera, Super Spindash, witapepsi, Ghignarda, Spinny, CM30, nford4947, KeiTaRo, drdevilfx, AceKombat, GBP/GarageBandPoke, the editors of The UNDERTALE Music Sample List, gameonion, rebooter23, thisisausername/recordreader, michael01011/michael020022, the editors of NEWER VGM Sound Sources, dutch menneer, XaikuTheMaverickHunter, Gazpacho/calcobrena, PokemonMusic, OzoneOne, Mr. Miles/dumperghost, DatExpandingFuto, amphobius, Patty Rack/PattehRose, ScrewStache, Jack L, Nico_, Sir Ulrich Von Fappenburger™/Linus Olsson, bun, the editor(s) of Patteh's Spreadsheet of Snuff, !bruh!/toastedfoxx, Nuclear/NUKELEDGE, Pinci, AHammockdream, Remi, Waf (Kurzweil K2500)/Waffles, Nesufire, Collision Chaos Radio, d-soup, Aqua (MIDI), Irikachana, WhiteVII, Xerxes, the editors of Pokémon Sound Sources (Detailed), OrangeExecutions, kabulent, Shushy Bushy, codeman38, daypeecone, Mudstep and Milon. The first six listed are the ones who have added findings to and edited this sheet.",,,,,,,,
"Rules: Please give credit if you repost a finding from this sheet. Add the instruments in the games' chronological order. Write the first or the oldest console that the game was released on only. No SFX. If a sample overlaps between multiple sources, write the source that the composers are confirmed to have, and write the oldest source that the sample appears in if the composers aren't confirmed to own any of them. If a sample overlaps between multiple sources that the composers are confirmed to have, and one isn't more likely than the other, write the oldest one.",,,,,,,,
Sample,No.,Source,Date,Game,Date,Console,Music,Composer(s)
A01 - Latin Percussion,2,Ensoniq Mirage DSK-8,1984,Super Mario Bros. 3,1988,NES,"Aboveground BGM, Miss, World 5 Map, Ending",Koji Kondo
B01 - Orchestral Percussion,2,Ensoniq Mirage DSK-8,1984,Super Mario Bros. 3,1988,NES,"Enemy Battle, Fortress BGM, Airship BGM, World Clear Fanfare",Koji Kondo
Fretless,M01 06,Korg M1,1988,F-Zero,1990,SNES,Opening,Yumiko Kanki
E.Piano 1,M01 11,Korg M1,1988,F-Zero,1990,SNES,Mute City,Yumiko Kanki
Slap Bass,M01 46,Korg M1,1988,F-Zero,1990,SNES,"Red Canyon, Ending",Yumiko Kanki & Naoto Ishida
Drums #3,M01 49,Korg M1,1988,F-Zero,1990,SNES,"Big Blue, Mute City",Yumiko Kanki & Naoto Ishida
TubaFlugel,M01 52,Korg M1,1988,F-Zero,1990,SNES,Mute City,Yumiko Kanki
SynthBass2,M01 56,Korg M1,1988,F-Zero,1990,SNES,"Big Blue, Red Canyon",Yumiko Kanki & Naoto Ishida
Stereo Sax,4,E-MU Proteus/1,1989,F-Zero,1990,SNES,"Big Blue, Mute City",Yumiko Kanki & Naoto Ishida
Rock Drums 1,14,E-MU Proteus/1,1989,F-Zero,1990,SNES,"Opening, Big Blue",Yumiko Kanki & Naoto Ishida
Solo Trumpet,36,E-MU Proteus/1,1989,F-Zero,1990,SNES,"Opening, Mute City",Yumiko Kanki
Slap Bass n Brass,73,Roland D-550,1987,Pilotwings,1990,SNES,"Opening, Light Plane, Helicopter",Koji Kondo & Soyo Oka
DRY KICK 1,1,Roland R-8,1989,Pilotwings,1990,SNES,Light Plane,Koji Kondo & Soyo Oka
PICCOLO SNARE 1,19,Roland R-8,1989,Pilotwings,1990,SNES,"Light Plane, Helicopter",Koji Kondo & Soyo Oka
E Piano 2,48,Kawai K1R,1988,Pilotwings,1990,SNES,"Light Plane, Flight Club, Hang Glider",Koji Kondo & Soyo Oka
Brass,80,Kawai K1R,1988,Pilotwings,1990,SNES,Light Plane,Koji Kondo & Soyo Oka
Pipe Organ 1,139,Kawai K1R,1988,Pilotwings,1990,SNES,"Opening, Light Plane, Succesfully Rescued",Koji Kondo & Soyo Oka
Grand Piano I,0,Kurzweil Ensemble Grande Mark III,1988,Pilotwings,1990,SNES,Rocketbelt,Koji Kondo & Soyo Oka
Bass Marimba,22,Roland D-550,1987,Super Mario World,1990,SNES,"Title BGM, Undergrond BGM, Map 1 (Yoster Isle), Map 2 (Aboveground), Underwater BGM",Koji Kondo
Slap Bass n Brass,73,Roland D-550,1987,Super Mario World,1990,SNES,Map 3 (Vanilla Dome),Koji Kondo
Acoustic Piano #2 - Honky Tonk 2,None,Roland Sound Library L-CD1,1987,Super Mario World,1990,SNES,Athletic BGM,Koji Kondo
Western Strings #1 - Oud 2,None,Roland Sound Library L-CD1,1987,Super Mario World,1990,SNES,Aboveground BGM,Koji Kondo
Latin Percussion #3 - Steel Drum 1,None,Roland Sound Library L-CD1,1987,Super Mario World,1990,SNES,Aboveground BGM,Koji Kondo
IMPACT SNARE,15,Roland R-8,1989,Super Mario World,1990,SNES,Koopalings BGM,Koji Kondo
REVERB SNARE,18,Roland R-8,1989,Super Mario World,1990,SNES,Map 3 (Vanilla Dome),Koji Kondo
