Type,Brand Name,Product,Notes,Source / Proof
,,,,
Table of Contents,,,,
,,,,
JUMP TO:,Honkai Impact 3rd,,,
(links),Genshin Impact,,,
,Tears of Themis,,,
,Honkai: Star Rail,,,
,Zenless Zone Zero,,,
,Honkai: Nexus Anima,,,
,Petit Planet,,,
,Varsapura,,,
,,,,
Honkai Impact 3rd,,,,
,,,,
Hao,李敬浩 (Li Jinghao),,Tracks Composed:,123
Sample Library,EastWest,Symphonic Orchestra,,
Sample Library,Splice Sounds,Sounds of KSHMR Vol. 3,,
Software,Spectrasonics,Omnisphere,,
Software,Steinberg,Groove Agent SE,,
Software,Toontrack,EZdrummer 2,,
Software,Vengeance Sound,VPS Avenger,,
Software,Xfer Records,Serum,,
Yonghui.C,陈永辉 (Chen Yonghu),,Tracks Composed:,91
DAW,Cockos,REAPER,,Bilibili Video
Software,Xfer Records,Serum 2,,Bilibili Post
Gon,宫奇 (Gong Qi),,Tracks Composed:,55
Bundle,Waves,Waves Ultimate,,the only bundle that has S1 Imager and Abbey Road stuff
DAW,Apple,Logic Pro,,Behind-the-Scenes SP #1: Music / Song of Distant Planet Vol.1
DAW,Avid,Pro Tools,,Bilibili video
Effect,Audio Ease,Altiverb 7,,Song of Distant Planet Vol.1
Effect,FabFilter,Pro-Q 3,,Behind-the-Scenes SP #1: Music / Song of Distant Planet Vol.1
Effect,iZotope,Insight,,
Effect,iZotope,Ozone 9,,
Effect,Overloud,TAPEDESK,,
Effect,Plugin Alliance,Black Box Analog Design HG-2,,
Effect,Plugin Alliance,Shadow Hills Mastering Compressor,,Behind-the-Scenes SP #1: Music
Effect,Plugin Alliance,SPL IRON,,
Effect,Waves,Abbey Road RS124 Compressor,,Song of Distant Planet Vol.1
Effect,Waves,CLA-2A Compressor / Limiter,,Song of Distant Planet Vol.1
Effect,Waves,S1 Imager,,Song of Distant Planet Vol.1
Effect,Waves,WLM Plus,,
Effect,Xfer Records,OTT,,Song of Distant Planet Vol.1
Hardware,Avid,Artist Control,,Song of Distant Planet Vol.2
Hardware,KORG,taktile-49,,Song of Distant Planet Vol.1
Hardware,RME,Fireface UFX,,Song of Distant Planet Vol.1
Sample Library,Boom Library,Cinematic Trailers - Designed,,
Sample Library,Heavyocity,Damage,,
Sample Library,Heavyocity,DM-307,,
Sample Library,Heavyocity,Master Sessions Ensemble Drums,,
Sample Library,Native Instruments,Rise & Hit,,
Software,Spectrasonics,Omnisphere,,
Software,Spectrasonics,Trilian,,
Software,Toontrack,EZdrummer 2,,
Software,u-he,Repro-1,,Song of Distant Planet Vol.2
Software,XLN Audio,Addictive Drums 2,,
Zoe,蔡近翰 (Cai Jinhan),,Tracks Composed:,40
DAW,Apple,Logic Pro,,Behind-the-Scenes SP #1: Music
Hardware,Audio-Technica,ATH-M50x,,Behind the Scenes of the Music of Inazuma (0:32)
Hardware,Genelecs,8030CP,,Behind the Scenes of the Music of Inazuma (0:32)
Hardware,Native Instruments,Komplete Kontrol S88,,Behind the Scenes of the Music of Inazuma (0:32)
Sample Library,Apple,Jam Pack Remix Tools,,
Sample Library,Best Service,Ethno World,,
Sample Library,Heavyocity,Damage,,
Sample Library ,Heavyocity,Evolve R2,,
Sample Library,Toontrack,Rock Solid EZX,,
Sample Library,Vengeance Sound,Effects Vol. 2,,
Software,Apple,Alchemy,,Behind-the-Scenes SP #1: Music
Software,Apple,EXS24,"instrument renamed/remade to ""Sampler"" as of Logic Pro 10.5",Behind-the-Scenes SP #1: Music
Software,Apple,Retro Synth,,
Software,Image-Line,Groove Machine,,
Software,Modartt,Pianoteq 5,,
Software,Native Instruments,Battery 4,,
Software,Spectrasonics,Omnisphere,,
Software,Spectrasonics,Stylus RMX,,
Software,Spectrasonics,Trilian,,
Software,Toontrack,EZdrummer 2,,
Software,Xfer Records,Serum,,
Software,XLN Audio,Addictive Drums 2,,
Silver.J,姜鹏 (Jiang Peng),,Tracks Composed:,32
DAW,Ableton,Live,,Forest Capriccio Online Concert Behind-the-Scenes
Effect,Cableguys,Kickstart 2,,Forest Capriccio Online Concert Behind-the-Scenes
Effect,Eventide,Blackhole,,Forest Capriccio Online Concert Behind-the-Scenes
Effect,iZotope,Ozone 9,,Bilibili Video
Effect,Leapwing Audio,DynOne,,Forest Capriccio Online Concert Behind-the-Scenes
Effect,Output,Thermal,,Forest Capriccio Online Concert Behind-the-Scenes
Software,Arturia,Pigments,,Forest Capriccio Online Concert Behind-the-Scenes
Software,Spitfire Audio,LABS,,Bilibili Video
Software,Synapse Audio,DUNE 3,,Bilibili Video
SifuLee,李思宏 (Li Sihong),,Tracks Composed:,28
Sample Library,Best Service,Ethno World,,
Sample Library,Native Instruments,Analog Dreams,,Bilibili Video
Software,Native Instruments,FM8,,Bilibili Video
Software,Native Instruments,Kontakt 6,,Bilibili Video
Software,Native Instruments,Massive,,Bilibili Video
Software,Spectrasonics,Stylus RMX,,
JODODO,郑宇界 (Zheng Yujie),,Tracks Composed:,23
Bundle,Arturia,V Collection 7,,Forum activity
DAW,Steinberg,Cubase,"Uses Cubase 5 and 8 as of December 12th, 2017",Weibo post
DAW,Steinberg,Nuendo 3,,Forum activity
Effect,Antares,Auto-Tune Pro,,Various forum posts
Effect,FabFilter,Pro-Q 2,,Photo (taken from vgmdb.net)
Effect,Overloud,TH-U,,Forum activity
Hardware,iCon Pro Audio,Logicon 5 Air,,Music video
Hardware,KORG,M1,"Only used as a MIDI controller, according to composer",Weibo post
Hardware,KORG,microKORG,,Weibo post
Hardware,Line 6,Pod HD500,,Weibo post
Hardware,Roland,Fantom G,,Weibo post
Sample Library,8Dio,Dubstep,,
Sample Library,Audiobro,LA Scoring Strings,,Forum screenshot
Sample Library,Best Service,Chris Hein - Guitars,,Forum screenshot
Sample Library,Best Service,Ethno World,,
Sample Library,EastWest,Symphonic Orchestra Silver Edition,,Forum activity
Sample Library,Garritan,Stradivari Solo Violin,,Forum activity
Sample Library,Heavyocity,Damage,,Forum activity
Sample Library,Heavyocity,Evolve Mutations,,Forum screenshot
Sample Library,Impact Soundworks,Archtop: Hollowbody Electric Guitar,,Forum activity
Sample Library,Impact Soundworks,Super Audio Cart,,
Sample Library,Native Instruments,Action Strikes,,
Sample Library,Toontrack,Electronic EZX,,Weibo post
Sample Library,Vir2,Acoustic Legends,,Forum screenshot
Sample Library,Vir2,VI.ONE,,
Software,EDIROL,Orchestral,,Forum screenshot
Software,Native Instruments,Kontakt 4,,Forum screenshot
Software,Native Instruments,Kontakt 5,,Weibo post
Software,Spectrasonics,Omnisphere,,
Software,Spectrasonics,Stylus RMX,,Weibo post
Software,Spectrasonics,Trilian,,Forum screenshot
Software,Spectrasonics,Trilogy,,Weibo post
Software,Steinberg,Groove Agent SE,,
Software,Steinberg,Hypersonic 2,,Forum activity
Software,Synapse Audio,Dune,,
Software,Tascam,Gigastudio 3,,Forum activity
Software,Toontrack,EZdrummer 2,,Weibo post
Software,Toontrack,EZkeys,,Forum screenshot
Software,Xfer Records,Serum,,Forum activity
Software,XLN Audio,Addictive Drums 2,,Forum screenshot
Software,XLN Audio,Addictive Keys,,Forum screenshot
Vinchi,文驰 (Wen Chi),,Tracks Composed:,23
DAW,Steinberg,Cubase,,Song of Distant Planet Vol.1
Hardware,KORG,minilogue xd,,Song of Distant Planet Vol.1
Raven Rossignol,刘佳诺 (Liu Jianuo),,Tracks Composed:,15
,,,,
Fan,林一凡 (Lin Yifan),,Tracks Composed:,9
in Honkai: Star Rail section,,,,
Eyn,尹纯青 (Yin Chunqing),,Tracks Composed:,6
Sample Library,EastWest,Symphonic Orchestra,,
Software,Native Instruments,FM8,,
Software,Native Instruments,Massive,,
Software,reFX,Nexus,,
Software,Spectrasonics,Keyscape,,
Software,Spectrasonics,Omnisphere,,
Software,Spectrasonics,Stylus RMX,,
Software,Spectrasonics,Trilian,,
Cuiwei,崔巍 (Cui Wei),,Tracks Composed:,5
,,,,
Chengyu Cai,蔡成钰 (Cai Chengyu),,Tracks Composed:,2
,,,,
Yijun.J,姜以君 (Yijun Jiang),,Tracks Composed:,2
in Genshin Impact section,,,,
TetraCalyx,,,Tracks Composed:,2
Software,Spectrasonics,Omnisphere,,
TSAR,崔瀚普 (Cui Hanpu),,Tracks Composed:,1
in Honkai: Star Rail section,,,,
,,,,
,,,,
,,,,
,,,,
Genshin Impact,,,,
,,,,
Yu-Peng Chen,陈宇鹏 / 陈致逸 (Chen Yupeng / Chen Zhiyi),,Tracks Composed:,484
DAW,Steinberg,Cubase,,Behind the Scenes of the Music of Sumeru
Effect,Universal Audio,Lexicon 224,,Bilibili Post
Hardware,ADAM Audio,S3X-H,,Behind the Scenes of the Music of Inazuma
Hardware,Apogee,Symphony Mk II,,Behind the Scenes of the Music of Inazuma
Hardware,Arturia,MatrixBrute,,Behind the Scenes of the Music of Inazuma
Hardware,Arturia,PolyBrute,,Behind the Scenes of the Music of Inazuma
Hardware,ASM,Hydrasynth,,Behind the Scenes of the Music of Inazuma
Hardware,Focusrite,ISA 220 Session Pack,,Behind the Scenes of the Music of Inazuma
Hardware,Focusrite,ISA 828,,Behind the Scenes of the Music of Inazuma
Hardware,Kawai,RX-2 Grand Piano,,Bilibili Post
Hardware,Moog,Grandmother,,Behind the Scenes of the Music of Inazuma
Hardware,Moog,SUBsequent 37,,Behind the Scenes of the Music of Inazuma
Sample Library,EastWest,Symphonic Orchestra,,
Sample Library,Best Service,Desert Winds,,
Sample Library,Best Service,Forest Kingdom 3,,
Sample Library,Native Instruments,Noire,,Behind the Scenes of the Music of Sumeru
Sample Library,Vienna Symphonic Library,Harps,"either by itself, or VI Super Package / VI Special Edition 1+3",Behind the Scenes of the Music of Sumeru
Software,Spectrasonics,Stylus RMX,,
Software,Xfer Records,Serum,,
Yijun Jiang,姜以君,,Tracks Composed:,199
Hardware,Positive Grid,Bias Delay Twin,,Bilibili Post
Sample Library,Best Service,ERA II Medieval Legends,,
Sample Library,EastWest,Symphonic Orchestra,,
Sample Library,Vengeance Sound,Essential Clubsounds Vol. 1,,Bilibili Post
Sample Library,Vengeance Sound,Essential Clubsounds Vol. 3,,Bilibili Post
Software,reFX,Nexus,,
Software,Xfer Records,Serum,,Bilibili Post
Qian Ding,丁谦,,Tracks Composed:,133
,,,,
Yang Lee,李洋,,Tracks Composed:,106
,,,,
Xin Zhao,赵鑫,,Tracks Composed:,103
Software,Spectrasonics,Keyscape,,
Dimeng Yuan,苑迪萌,,Tracks Composed:,102
DAW,Avid,Pro Tools,,Behind the Scenes of the Music of Sumeru (2:48)
DAW,Steinberg,Cubase,,Behind the Scenes of the Music of Fontaine (6:04)
Effect,FabFilter,Pro-Q 3,,Behind the Scenes of the Music of Fontaine (0:25)
Hardware,Studiologic,SL88 Studio,,Behind the Scenes of the Music of Fontaine (0:25)
Sample Library,Heavyocity,Damage 2,,Behind the Scenes of the Music of Sumeru (2:58)
Software,Xfer Records,Serum,,Behind the Scenes of the Music of Sumeru (3:01)
Arcangelo Chen,陈子敏 (Chen Zimin),,Tracks Composed:,92
DAW,Image-Line,FL Studio,,Bilibili Video
DAW,Steinberg,Cubase,,Behind the Scenes of the Music of Fontaine (3:47)
Hardware,Arturia,KeyLab 88 Mk2,,Behind the Scenes of the Music of Fontaine (4:15)
Yuxi Wang,王予曦,,Tracks Composed:,82
DAW,Cakewalk,Sonar,,Bilibili Post
Software,Audio Modeling,SWAM Cello,,Bilibili Post
Software,Audio Modeling,SWAM Viola,,Bilibili Post
Software,Audio Modeling,SWAM Violin,,Bilibili Post
Ziyu Che,车子玉,,Tracks Composed:,78
