Company/Manufacturer,Product,Path/Bank,Preset,Notes
,,,,
Table of Contents,,,,
,,,,
JUMP TO:,The Wind and The Star Traveler,Original Soundtrack,2020-06-19 00:00:00,
(links),City of Winds and Idylls,Original Soundtrack,2020-09-28 00:00:00,
,Jade Moon Upon a Sea of Clouds,Original Soundtrack,2020-11-06 00:00:00,
,The Stellar Moments,Trailer/Promotional Music,2021-02-04 00:00:00,
,Vortex of Legends,Original Soundtrack,2021-04-02 00:00:00,
,The Shimmering Voyage,Original Soundtrack,2021-07-19 00:00:00,
,Realm of Tranquil Eternity,Original Soundtrack,2021-09-22 00:00:00,
,The Stellar Moments Vol. 2,Trailer/Promotional Music,2022-01-26 00:00:00,
,Fleeting Colors in Flight,EP/Single,2022-01-31 00:00:00,
,Islands of the Lost and Forgotten,Original Soundtrack,2022-04-13 00:00:00,
,Millelith's Watch,Original Soundtrack,2022-06-22 00:00:00,
,The Shimmering Voyage Vol. 2,Original Soundtrack,2022-08-15 00:00:00,
,Footprints of the Traveler,Trailer/Promotional Music,2022-09-20 00:00:00,
,Forest of Jnana and Vidya,Original Soundtrack,2022-10-20 00:00:00,
,The Stellar Moments Vol. 3,Trailer/Promotional Music,2023-01-10 00:00:00,
,The Unfathomable Sand Dunes,Original Soundtrack,2023-04-18 00:00:00,
,Footprints of the Traveler Vol. 2,Trailer/Promotional Music,2023-06-30 00:00:00,
,The Shimmering Voyage Vol. 3,Original Soundtrack,2023-07-26 00:00:00,
,Fountain of Belleau,Original Soundtrack,2023-10-02 00:00:00,
,La vaguelette,EP/Single,2023-11-13 00:00:00,
,The Stellar Moments Vol. 4,Trailer/Promotional Music,2024-01-17 00:00:00,
,Pelagic Primaevality,Original Soundtrack,2024-02-26 00:00:00,
,Jadeite Redolence,Original Soundtrack,2024-03-27 00:00:00,
,Emberfire,EP/Single,2024-04-18 00:00:00,
,Cantus Aeternus,Original Soundtrack,2024-05-14 00:00:00,
,The Road Not Taken,EP/Single,2024-05-25 00:00:00,
,The Shimmering Voyage Vol. 4,Original Soundtrack,2024-07-31 00:00:00,
,Footprints of the Traveler Vol. 3,Trailer/Promotional Music,2024-08-09 00:00:00,
,Passing Memories,EP/Single,2024-09-28 00:00:00,
,Land of Tleyaoyotl,Original Soundtrack,2024-10-05 00:00:00,
,"Eternal Sun, Eternal Want",Original Soundtrack,2024-12-16 00:00:00,
,Blazing Heart,EP/Single,2025-01-01 00:00:00,
,The Stellar Moments Vol. 5,Trailer/Promotional Music,2025-01-15 00:00:00,
,"Azure Lantern, Jade Inkstone",EP/Single,2025-02-12 00:00:00,
,Radiance Aflame,Original Soundtrack,2025-04-30 00:00:00,
,Star Odyssey,EP/Single,2025-06-13 00:00:00,
,Footprints of the Traveler Vol. 4,Trailer/Promotional Music,2025-07-25 00:00:00,
,The Shimmering Voyage Vol. 5,Original Soundtrack,2024-07-31 00:00:00,
,The Long Way Home,EP/Single,2025-09-28 00:00:00,
,Outside It Is Growing Dark,Original Soundtrack,2024-10-16 00:00:00,
,Unreleased,,,
,,,,
The Wind and The Star Traveler,,,,
,,,,
,,,,"Recording Studio:
- Air Studios (01~07, 09~14)
- Studio 22 (15)"
,,,,
1. Genshin Impact Main Theme,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
EastWest,Symphonic Orchestra,Perc -> CymGong,All Cymbals,(22 Cymbal)
EastWest,Symphonic Orchestra,Perc -> Metals,Orch chimes,
Steinway & Sons,Steinway D-274,,,
2. Dawn Winery Theme,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
Steinway & Sons,Steinway D-274,,,
,,,,
3. A Sweet Smile,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
Live Recording: Vocal,He Lin,,,"from GI wiki, no source"
Steinway & Sons,Steinway D-274,,,
"4. A Storm, A Spire, and A Sanctum (Dvalin's Nest)",,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
Live Recording: Vocal,He Lin,,,"from GI wiki, no source"
Steinway & Sons,Steinway D-274,,,
5. Caelestinum Finale Termini,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
Live Recording: Vocal,He Lin,,,"from GI wiki, no source"
,,,,Endless Echoes clicking
6. Lone Sojourner,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
,,,,uncredited guitar
7. A Day in Mondstadt,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
,,,,
,,,,
8. Dream Aria (Genshin Impact Main Theme Var.),,,,♪ Yu-Peng Chen
Live Recording: Vocal,He Lin,,,"from GI wiki, no source"
,,,,uncredited male vocal
9. Pure Sky,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
Steinway & Sons,Steinway D-274,,,
10. The Edge of the Prairie,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
Live Recording: Violin,Sheng-Han Gao,,,"from GI wiki, no source (also sounds like a viola instead of a violin)"
,,,,
11. A Tale of Two Dragons,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
Live Recording: Vocal,He Lin,,,"from GI wiki, no source"
Steinway & Sons,Steinway D-274,,,
12. Rite of Battle,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
EastWest,Symphonic Orchestra,Perc -> CymGong,22 Cymbal,
Steinway & Sons,Steinway D-274,,,
,,,,
13. Knighthood Excellence,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
Steinway & Sons,Steinway D-274,,,
,,,,
14. Happy Journey,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
,,,,
,,,,
15. The Outlander Who Caught the Wind,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,Budapest Scoring,,,
EastWest,Symphonic Orchestra,Perc -> CymGong,,To be found
EastWest,Symphonic Orchestra,Perc -> CymGong,20 Cymbal,
Steinway & Sons,Steinway D-274,,,
,,,,uncredited choir
,,,,
,,,,
,,,,
,,,,
City of Winds and Idylls,,,,
,,,,
,,,,"Recording Studio: 
- Air Studios (1.01~25 / 2.02, 03, 06, 08~12, 17, 19~24, 26 / 3.01~10)
- Studio 22 (2.14)
- Shanghai Concert Hall (3.11,12)"
,,,,
Disc 1: City of Winds and Idylls,,,,
1. Twilight Serenity (Genshin Impact Main Theme Var.),,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
EastWest,Symphonic Orchestra,Strings -> 11 Violins -> 1 Long,11V Harmonics,
,,,,"potentially ewso harp, celesta/glock mellow"
2. Legend of the Wind,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
Live Recording: Vocal,He Lin,,,uncredited
EastWest,Symphonic Orchestra,Strings -> 11 Violins -> 1 Long,11V Harmonics,
Steinway & Sons,Steinway D-274,,,
3. The City Favored by Wind,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
,,,,
,,,,
4. Bustling Afternoon in Mondstadt,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
,,,,
,,,,
5. Dusk in Mondstadt,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
Steinway & Sons,Steinway D-274,,,
,,,,potentially ewso 10 violas pizz
6. Mondstadt Starlit,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
Steinway & Sons,Steinway D-274,,,
7. Moonlight in Mondstadt,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
EastWest,Symphonic Orchestra,Strings -> 11 Violins -> 1 Long,11V Harmonics,
Steinway & Sons,Steinway D-274,,,
8. Another Day in Mondstadt,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
Steinway & Sons,Steinway D-274,,,
9. Windborne Hymn,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
,,,,
,,,,
10. Knights of Favonius,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
,,,,
11. Angel's Share,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
Steinway & Sons,Steinway D-274,,,
,,,,
12. Silhouette and Silk Steps,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
,,,,potentially ewso vibes
,,,,
13. Perilous Path,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
Steinway & Sons,Steinway D-274,,,
14. Say My Name,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
EastWest,Symphonic Orchestra,Perc -> Metals,Celesta,
EastWest,Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,
"15. Welp, Didn't Expect That",,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
EastWest,Symphonic Orchestra,Perc -> Wood,Castanets,Tune -2
,,,,"potentially ewso triangle, idk rest of percussion"
16. An Interesting Labour,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
"17. Make Haste, Partner",,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
18. A Happy Day,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
EastWest,Symphonic Orchestra,Strings -> 11 Violins -> 1 Long,11V Harmonics,
Steinway & Sons,Steinway D-274,,,
19. Reunion in the Whispering Woods,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
20. Startled,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
EastWest,Symphonic Orchestra,Perc -> CymGong,,
Steinway & Sons,Steinway D-274,,,
21. Meeting Amber,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
EastWest,Symphonic Orchestra,Perc -> CymGong,,
Steinway & Sons,Steinway D-274,,,
22. Storm Befalls,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
EastWest,Symphonic Orchestra,Perc -> CymGong,,
Steinway & Sons,Steinway D-274,,,
23. Slight Distress,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
Steinway & Sons,Steinway D-274,,,
24. Tender Strength,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
Steinway & Sons,Steinway D-274,,,
25. Imminent Triumph,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
EastWest,Symphonic Orchestra,Perc -> CymGong,,
Disc 2: The Horizon of Dandelion,,,,
1. Beckoning (Genshin Impact Main Theme Var.),,,,♪ Yu-Peng Chen
Live Recording: Vocal,He Lin,,,
"2. Hence, Begins the Journey",,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
Steinway & Sons,Steinway D-274,,,
3. Dawn Winery Theme,,,,♪ Yu-Peng Chen
Live Recording: Orchestra,London Philharmonic Orchestra,,,
Steinway & Sons,Steinway D-274,,,
,,,,
"4. Before Dawn, at the Winery",,,,♪ Yu-Peng Chen
Live Recording: Guitar,Yu-Peng Chen,,,
