Company/Manufacturer,Product,Path/Bank,Preset,Notes
,,,,
Table of Contents,,,,
,,,,
JUMP TO:,Impact,Original Soundtrack,2018-01-19 00:00:00,
(links),Onwards,Original Soundtrack,2018-12-21 00:00:00,
,Cyberangel,EP/Single,2019-07-10 00:00:00,
,Dual-Ego,EP/Single,2019-10-12 00:00:00,
,Starfall,EP/Single,2020-02-28 00:00:00,
,A Post-Honkai Odyssey,Original Soundtrack,2020-04-17 00:00:00,
,Review,Trailer/Promotional Music,2020-07-03 00:00:00,
,Cooking with Valkyries II,EP/Single,2020-07-18 00:00:00,
,Rubia,EP/Single,2021-01-29 00:00:00,
,Yesterday,Original Soundtrack + Trailer/Promo Music,2021-02-08 00:00:00,
,Alive,Original Soundtrack,2021-02-09 00:00:00,
,Moon Halo,EP/Single,2021-07-09 00:00:00,
,Honkai Impact 3rd ELF Academy,EP/Single,2021-07-11 00:00:00,
,Oracle,EP/Single,2021-10-05 00:00:00,
,Regression,EP/Single,2022-01-21 00:00:00,
,Paradox,Original Soundtrack + Trailer/Promo Music,2022-02-02 00:00:00,
,A Post-Honkai Odyssey 2,Original Soundtrack,2022-02-17 00:00:00,
,ELYSIUM,Original Soundtrack + Trailer/Promo Music,2022-08-06 00:00:00,
,TruE ,EP/Single,2022-08-13 00:00:00,
,Golden Courtyard: New Year Wishes in Winter,EP/Single,2023-01-21 00:00:00,
,The Day of Transcending Finality,Original Soundtrack + Trailer/Promo Music,2023-03-01 00:00:00,
,Da Capo,EP/Single,2023-03-08 00:00:00,
,At the Fingertip of the Sea,Original Soundtrack + Trailer/Promo Music,2023-07-14 00:00:00,
,Beyond the Stars,Original Soundtrack,2024-02-02 00:00:00,
,No Ceiling,EP/Single,2024-02-19 00:00:00,
,Before Setting Out,EP/Single,2024-02-20 00:00:00,
,Tides of Time Gone By,Original Soundtrack,2024-05-30 00:00:00,
,Dreams and Laments of the Forgotten Stars,Original Soundtrack,2024-12-26 00:00:00,
,Unreleased,,,
,,,,
Impact,,,,
,,,,
,,,,
,,,,
1. Startover,,,,♪ Zoe
Apple,Logic Pro,Arpeggiator -> Synth Basics,Bleep City,
Apple,Logic Pro,Piano,Steinway Grand Piano,
2. 崩壊世界の歌姫 (Honkai World Diva),,,,♪ Zoe
Live Recording: Mika Kobayashi,Vocal,,,
Spectrasonics,Stylus RMX,RMX Grooves -> 90-Madrid,90-Madrid Combo,
Spectrasonics,Stylus RMX,RMX Grooves -> 105-Turrettes,105-Turrettes c,
Toontrack,EZdrummer 2,EZdrummer 2 Modern,Basic,
3. Cometh,,,,♪ Zoe
Toontrack,EZdrummer 2,EZdrummer 2 Modern,Basic,
,,,,
4. Ark,,,,♪ Zoe
Apple,Logic Pro,Arpeggiator -> Synth Basics,Bleep City,
Image-Line,Groove Machine,Grooves,Electro House LS,Synth Parts 1-4 disabled
Xfer Records,Serum,Bass,BA Feed the Mau5 [JL],
5. Another,,,,♪ Zoe
Spectrasonics,Stylus RMX,RMX Grooves -> 68-Small Blocks,68-Small Blocks Combo,
,,,,
6. Lighting,,,,♪ Zoe
Steinberg,Hypersonic 2,,,To be found
,,,,
7. Karame,,,,♪ JODODO
Native Instruments,Action Strikes,Action Strikes - Ensemble,Dark City,
Native Instruments,Action Strikes,Action Strikes - Hits,Orchestral Percussion,
Spectrasonics,Stylus RMX,,,Hi hat loop
Xfer Records,Serum,Leads,LD Dirty Lead [SW],
8. Pas,,,,♪ Zoe
Spectrasonics,Omnisphere,,,Supersaw Lead
Vengeance Sound,Effects Vol. 2,VFX2 Demosong,VFX2 Beat 128BPM,
Vengeance Sound,,,,To be found
9. Rage,,,,"♪ Zoe, JODODO"
,,,,
,,,,Classic 70s Modular Bubblesweeper from Trilian-ish preset
10. Ace,,,,♪ Zoe
Apple,Logic Pro,Arpeggiator -> Synth Basics,Bleep City,
Apple,Logic Pro,Piano,Steinway Grand Piano,
Spectrasonics,Stylus RMX,RMX Grooves -> 130-Obey,130-Obey Combo,
Spectrasonics,Stylus RMX,RMX Grooves -> 135-Horse Fury,135-Horse Fury MetalKanz,
Steinberg,Hypersonic 2,Arpeggios,Be It Classic 3,
Toontrack,EZdrummer 2,Rock Solid EZX,Default Kit,
Xfer Records,Serum,Seq,SQ Sawdust [GS],
,,,,
11. Pre-Pro,,,,♪ Zoe
Native Instruments,Battery 4,Kits -> Drums -> Analog Drum Kit,808 Detailed Kit,
Spectrasonics,Trilian,Bass - Electric,,Maybe?
Steinberg,Hypersonic 2,Arpeggios,Be It Classic 3,
12. Warning,,,,♪ Zoe
Apple,Logic Pro,Arpeggiator -> Synth Basics,Bleep City,
XLN Audio,Addictive Drums 2,,,To confirm
13. Nitro,,,,♪ Zoe
reFX,Nexus,,LD Saw Init,Played at the start
Spectrasonics,Trilian,Bass - Electric,,Slap bass
Steinberg,Hypersonic 2,,,To be found
14. Cross,,,,♪ JODODO
Spectrasonics,Stylus RMX,RMX Grooves -> 80-Space Ranger,80-Space Ranger Echoplate,
Spectrasonics,Stylus RMX,RMX Grooves -> 124-Sea Tide,124-Sea Tide Kick,
Xfer Records,Serum,FX,FX Andromeda2 [KG],
Native Instruments,Massive,,,Comb filtered synth
Native Instruments,Massive,,,Wubs
15. Echo,,,,"♪ Zoe, JODODO"
Heavyocity,Damage,01 Rhythmic Suites -> Loop Menus,LPS Epic Tech Full,C3
Native Instruments,Action Strikes,Action Strikes - Ensemble,Dark City,
ProjectSAM,Symphobia,3 String Section,3 String Ensemble Short Notes,
ProjectSAM,Symphobia,,,More presets
Spectrasonics,Stylus RMX,RMX Grooves -> 160-Find The Exit,160-Find The Exit Combo,
16. Sava,,,,♪ JODODO
,,,,
,,,,
17. Y,,,,♪ Zoe
,,,,
,,,,
18. MallX,,,,♪ Zoe
Modartt,Pianoteq 5,Grand Steinway D,,To be found
Native Instruments,Battery 4,Kits -> Drums -> Analog Drum Kit,808 Detailed Kit,
Native Instruments,Battery 4,Kits -> Drums -> Analog Drum Kit,909 Detailed Kit,
19. Grow,,,,♪ JODODO
Spectrasonics,Metamorphosis S.A.G.E. Xpander,123-129,125-Buttbounce c,
Spectrasonics,Stylus RMX,,,Hi hat loop
Xfer Records,Serum,Bass,BA Ampology [CFA],
Xfer Records,Serum,Bass,BA BSOD Sqr Bass [SD],
Xfer Records,Serum,Leads,LD Heavy Metal [SD],
Xfer Records,Serum,Seq ,SQ Blade [LT],
Xfer Records,Serum,Seq ,SQ Sawdust [GS],
Xfer Records,Serum,,,There's a bass or lead preset to be found in this
,,,,Bell preset shared with NightFall
20. Lift,,,,♪ Zoe
Toontrack,EZdrummer 2,,,
,,,,
21. Evo,,,,♪ JODODO
8Dio,Dubstep,02 Parts -> 8DIO_Dubstep_v1_Parts_BM,BASSES 08,G#3 or A3
8Dio,Dubstep,,,More samples to be found
Synapse Audio,Dune,Arpeggiated,Dance Lead RH,
22. Flyby,,,,♪ Zoe
Spectrasonics,Metamorphosis S.A.G.E. Xpander,095-099,096-Klubb,
Steinberg,Hypersonic 2,Arpeggios,Be It Classic 3,
Toontrack,EZdrummer 2,Rock Solid EZX,Punchy,
,,,,Live guitar?
23. Destiny,,,,♪ Zoe
,,,,
,,,,
24. Mach,,,,♪ JODODO
Spectrasonics,Stylus RMX,RMX Grooves -> 68-Small Blocks,68-Small Blocks Combo,
Spectrasonics,Stylus RMX,RMX Grooves -> 74-Rhinoceros,74-Rhinoceros Combo,
Spectrasonics,Stylus RMX,RMX Grooves -> 135-Squashed,135-Squashed Combo 1,
Xfer Records,Serum,Leads,LD A Bit of Luck [SD],
Xfer Records,Serum,Leads,LD BraveHeart [7S],
Xfer Records,Serum,Seq ,SQ Automator 4 [GS],
Xfer Records,Serum,Seq ,SQ Automator 5 [GS],
Xfer Records,Serum,Seq ,SQ Big Fat Squeezer [FN],
Xfer Records,Serum,Seq ,SQ Diver [GS],"Damn, that is a lot of Serum"
Native Instruments,Massive,,,"To be found, bass uses the HardSync wavetable"
25. Gion,,,,♪ JODODO
Native Instruments,The Grandeur,Snapshots -> The Grandeur,Crisp Pop Grand,
Spectrasonics,Omnisphere,,,pad
Spectrasonics,Retro Funk S.A.G.E. Xpander,102-Chop Wood,102-Chop Wood 1,Low pass filter added
Spectrasonics,Stylus RMX,RMX Grooves -> 52-Alice's Dream ,52-Alice's Dream Illusion 3,
Spectrasonics,Trilian,Trilogy Library -> Bass Instruments,TR-Old School Slap - Full Range,
Spectrasonics,Trilian,Trilogy Library -> Bass Instruments,TR-Old School Slap FX Slides 3,D4
Xfer Records,Serum,Seq ,SQ 2notes [GS],
26. Rebirth,,,,♪ Zoe
,,,,
,,,,
27. Girl Inside,,,,♪ Zoe
Live Recording: Mika Kobayashi,Vocal,,,
Apple,Logic Pro,Arpeggiator -> Synth Basics,Bleep City,
Heavyocity,Damage,02 Percussive Kits -> 04 Hybrid FX Kits,PERC Damage Hits MW,
28. Reburn,,,,♪ Zoe
Live Recording: Chalili,Vocal,,,
Live Recording: Gon,Electric Guitar,,,
ILIO,Skippy's Big Bad Beats S.A.G.E. Xpander,087-LIFE,087-LIFE Full Mix 1,
ILIO,Skippy's Big Bad Beats S.A.G.E. Xpander,090-Hard Hat,090-Hard Hat Full Mix,
Spectrasonics,Trilian,Bass - Electric,Chapman Stick - Sustain,
29. 千年之羽 (Feather of Millennium),,,,♪ Zoe
Live Recording: Mika Kobayashi,Vocal,,,
,,,,
30. Befall,,,,♪ Zoe
Live Recording: 尚雯婕,Vocal,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Onwards,,,,
,,,,
,,,,
,,,,
1. Nightglow,,,,♪ Zoe
Live Recording: Tanya Chua,Vocal,,,
Spectrasonics,Trilian,,,
,,,,
2. Dragon,,,,♪ Gon
,,,,
,,,,
3. Routine,,,,♪ Eyn
Native Instruments,FM8,Transient Attacks -> Piano/Keys,FMifikation,
reFX,Nexus,XP Dance Drums -> Drums Loops,DL Full Drums House 12,"C2, D3"
,,,,
4. Rave,,,,♪ Gon
Live Recording: Gon,Electric Guitar,,,
,,,,
5. Revolt,,,,♪ Eyn
Apple,Logic Pro,Piano,Steinway Grand Piano,"Suspected to be this, might be layered?"
Spectrasonics,Stylus RMX,RMX Grooves -> 90-Madrid,90-Madrid Massive Snares,
6. Raid,,,,♪ Gon
,,,,
,,,,
7. Action,,,,♪ Gon
Live Recording: Gon,Electric Guitar,,,
Spectrasonics,Trilian,,,Resonant synth bass
8. Beloved,,,,♪ Eyn
Spectrasonics,Omnisphere 2,ARP + BPM,Drumming Inside the Piano ,
,,,,
9. Mystify,,,,♪ Eyn
EastWest,Symphonic Orchestra,Perc -> Metals,Glock,
EastWest,Symphonic Orchestra,Perc -> Wood,Steinway B,
Native Instruments,Rise & Hit,,Rise & Hit,Default preset / Antipodes
10. Forbidden,,,,♪ Eyn
EastWest,Symphonic Orchestra,,,To be found
Spectrasonics,Stylus RMX,RMX Grooves -> 143-Mind Bender,143-MindBender Big Drums,
,,,,
11. Clouds,,,,♪ Gon
,,,,
,,,,
12. Link,,,,♪ Zoe
Apple,Logic Pro,Arpeggiator -> Synth Basics,Bleep City,
,,,,
13. Shimmer,,,,♪ Eyn
Native Instruments,Battery 4,,,"To check for drums, also sounds like Massive"
Native Instruments,FM8,Synth Pad,,
Native Instruments,Massive,Massive Factory -> Plucked Strings,Flexural String Harmonics,Reversed for the first half
Native Instruments,Massive,Massive Factory -> Soundscapes,Isflak,
Spectrasonics,Keyscape,Acoustic Pianos,LA Custom C7 - Studio,
14. Moonrise,,,,♪ JODODO
,,,,
,,,,
15. Crush,,,,♪ Zoe
,,,,
