Company/Manufacturer,Product,Path/Bank,Preset,Notes
,,,,
Table of Contents,,,,
,,,,
JUMP TO:,Unreleased,,,
(links),,,,
,,,,
Unreleased Soundtrack,,,,
,,,,
Untitled Track 1 (CBT),,,,
Audio Modeling,SWAM Clarinet,,,
Audio Modeling,SWAM Flute,,,To check
Untitled Track 2 (CBT),,,,
MusicRadar,Cartoon Caper Samples,Percussive FX,Vibraslap02,
Splice Sounds,Sounds of KSHMR Vol. 3,Drums -> Transitions -> Miscellaneous_Transitions,KSHMR_Miscellaneous_Transition_06_Tri...,
Splice Sounds,Sounds of KSHMR Vol. 3,Drums -> Transitions -> Tambourine_Transitions,KSHMR_Tambourine_Transition_03,
Untitled Track 3 (CBT),,,,
UVI,Toy Suite,Acoustic Toy -> 02 Xylo and Metal -> Metallic,Metallic Xylo - Rubber hmr,To check
Xclusive-Audio,Trap Movement Drum Kit,4 Hats & Cymbals,Trap Movement - Cymbal (5),To check
Untitled Track 4 (CBT),,,,
Audio Modeling,SWAM Clarinet,,,
Untitled Track 5 (CBT),,,,
Audio Modeling,SWAM Cello,,,
Audio Modeling,SWAM Clarinet,,,
Untitled Track 6 (CBT),,,,
SnailSoundLabs,Snail's House Sounds Vol. 1,Oneshots -> Snare,SnailSnare (19) ,
Spectrasonics,Keyscape Creative,Keyboards -> Hybrid Pianos,Absorbing Piano Taps,
Squadpack x Simplified,Inspire Crate Vol. 1,01 - Drums & Perc -> Snares,SIC1 - Snare 18,
UVI,Toy Suite,Acoustic Toy -> 02 Xylo and Metal -> Metallic,Metallic Xylo - Wood hmr,
Untitled Track 7 (CBT),,,,
Audio Modeling,SWAM Clarinet,,,
Untitled Track 8 (CBT),,,,
Spectrasonics,Omnisphere,Omnisphere Library -> Human Voices,Jazz Stacked Doo Dah,
Untitled Track 9 (CBT),,,,
Audio Modeling,SWAM Clarinet,,,
Untitled Track 10 (CBT),,,,
Native Instruments,Session Guitarist: Strummed Acoustic,,,
Splice Sounds,Sounds of KSHMR Vol. 3,Drums -> Transitions -> Tambourine_Transitions,KSHMR_Tambourine_Transition_01,
,,,,Think break
Untitled Track 11 (CBT),,,,
Native Instruments,Noire,,,
Untitled Track 12 (CBT),,,,
Audio Modeling,SWAM Bassoon,,,probably
Audio Modeling,SWAM Clarinet,,,
Untitled Track 13 (CBT),,,,
Audio Modeling,SWAM Clarinet,,,
Audio Modeling,SWAM Violin,,,
Splice Sounds,Sounds of KSHMR Vol. 3,Drums -> Transitions -> Tambourine_Transitions,KSHMR_Tambourine_Transition_03,
Untitled Track 14 (CBT),,,,
Splice Sounds,Sounds of KSHMR Vol. 3,Drums -> Transitions -> Tambourine_Transitions,KSHMR_Tambourine_Transition_01,
Untitled Track 15 (CBT),,,,
,,,,
Untitled Track 16 (CBT),,,,
Splice Sounds,Sounds of KSHMR Vol. 3,Drums -> Transitions -> Tambourine_Transitions,KSHMR_Tambourine_Transition_02,
Untitled Track 17 (CBT),,,,
,,,,
Untitled Track 18 (CBT),,,,
,,,,
Untitled Track 19 (CBT),,,,
,,,,
Untitled Track 20 (CBT),,,,
,,,,
Untitled Track 21 (CBT),,,,
Native Instruments,Noire,,,probably
Untitled Track 22 (CBT),,,,
,,,,
Untitled Track 23 (CBT),,,,
,,,,
Untitled Track 24 (CBT),,,,
SnailSoundLabs,Snail's House Sounds Vol. 1,Oneshots -> Perc,Perc (1),
SnailSoundLabs,Snail's House Sounds Vol. 1,Oneshots -> Snare,SnailSnare (23) ,
Splice Sounds,Sounds of KSHMR Vol. 3,Drums -> Transitions -> Tambourine_Transitions,KSHMR_Tambourine_Transition_01,
Untitled Track 25 (CBT),,,,
Native Instruments,Session Guitarist: Strummed Acoustic,,,
Untitled Track 26 (CBT),,,,
,,,,
Untitled Track 27 (CBT),,,,
,,,,
Untitled Track 28 (CBT),,,,
,,,,
Untitled Track 29 (CBT),,,,
,,,,
Untitled Track 30 (CBT),,,,
,,,,
Untitled Track 31 (CBT),,,,
Audio Modeling,SWAM Clarinet,,,
Audio Modeling,SWAM Flute,,,
Audio Modeling,SWAM Trumpet,,,To check
Untitled Track 32 (CBT),,,,
,,,,
,,,,
