Company/Manufacturer,Product,Path/Bank,Preset,Notes
,,,,
Table of Contents,,,,
,,,,
JUMP TO:,Out of Control,Original Soundtrack,2023-03-24 00:00:00,
(links),Interstellar Journey,EP/Single,2023-04-25 00:00:00,
,Take the Journey,EP/Single,2023-04-26 00:00:00,
,Of Snow and Ember,Original Soundtrack,2023-05-02 00:00:00,
,Svah Sanishyu,Original Soundtrack,2023-07-19 00:00:00,
,Experience the Paths Vol.1,Trailer/Promotional Music,2023-10-27 00:00:00,
,Astral Theater Vol. 1,Original Soundtrack,2024-01-12 00:00:00,
,WHITE NIGHT,EP/Single,2024-01-27 00:00:00,
,Experience the Paths Vol.2,Trailer/Promotional Music,2024-04-13 00:00:00,
,INSIDE,EP/Single,2024-05-09 00:00:00,
,The Flapper Sinthome (Part 1),Original Soundtrack,2024-05-30 00:00:00,
,Had I Not Seen the Sun,EP/Single,2024-06-19 00:00:00,
,The Flapper Sinthome (Part 2),Original Soundtrack,2024-06-21 00:00:00,
,Experience the Paths Vol.3,Trailer/Promotional Music,2024-09-27 00:00:00,
,"No Dazzle, No Break",EP/Single,2024-10-22 00:00:00,
,Astral Theater Vol. 2,Original Soundtrack,2024-11-14 00:00:00,
,Nameless Faces,EP/Single,2025-01-02 00:00:00,
,Allegory of the Cave (Part 1),Original Soundtrack,2025-02-15 00:00:00,
,Experience the Paths Vol.4,Trailer/Promotional Music,2025-04-18 00:00:00,
,Allegory of the Cave (Part 2),Original Soundtrack,2025-03-24 00:00:00,
,Allegory of the Cave (Part 3),Original Soundtrack,2025-11-14 00:00:00,
,Let There Be Laughter (Part 1),Original Soundtrack,2026-03-13 00:00:00,
,Unreleased,,,
,,,,
Out of Control,,,,
,,,,
,,,,
,,,,
1. Star Rail,,,,♪ Fan
"BPM: 132,  Key: Dm",,,,
Live Recording: Orchestra,Art of Loong Orchestra,,,
Live Recording: Cello,Xiaolong Chen,,,
Native Instruments,Noire,NOIRE Pure,Basic Pure,
2. Space Walk,,,,♪ Eli.W
"BPM: 80,  Key: Dm",,,,
Live Recording: Electric Guitar,Gon,,,
,,,,
3. The Game Is On,,,,♪ Vinchi
"BPM: 110,  Key: Gm",,,,
,,,,
,,,,
4. fReeStyLE,,,,♪ Vinchi
"BPM: 128,  Key: Gm",,,,
,,,,
,,,,
5. Call of the Stars,,,,♪ Vinchi
"BPM: 140,  Key: Gb",,,,
Splice Sounds,Sounds of KSHMR Vol. 3,Drums -> Transitions -> Shaker_Transitions,KSHMR_Shaker_Transition_15,
Splice Sounds,Sounds of KSHMR Vol. 3,Drums -> Transitions -> Tambourine_Transitions,KSHMR_Tambourine_Transition_02,
,,,,
6. Science Fiction,,,,♪ Eli.W
"BPM: 86,  Key: Dm",,,,
Heavyocity,Damage 2,,,
,,,,software orchestra
7. Drift,,,,♪ Eli.W
"BPM: 90,  Key: Bm",,,,
Modartt,Pianoteq 7,Grand Steinway D,Steinway D Prelude,
Spectrasonics,Trilian,Bass Instruments,Trilian Ac 1 - Full Range All,
8. Crises,,,,♪ Eli.W
"BPM: 134,  Key: Fm",,,,
Live Recording: Orchestra,Art of Loong Orchestra,,,
Arturia,Analog Lab V,,,Synths
Heavyocity,Damage 2,D2 Loop Designer -> 01 All Star Loops (STR),All Star - Manhattan Car Chase,B4
Heavyocity,Damage 2,D2 Loop Designer -> 01 All Star Loops (STR),All Star - Modern Mystery (STR),"D4, E4, A#4"
Heavyocity,Damage 2,D2 Loop Designer -> 03 Hybrid Cinematic (STR),Hybrid Cinematic - Full Breakout Loops 03 (STR),C3
Heavyocity,Damage 2,D2 Loop Designer,,To be found
9. Flashpoint,,,,♪ Eli.W
"BPM: 141,  Key: Gm",,,,
Arturia,Analog Lab V,,,To be found
Heavyocity,Damage 2,D2 Loop Designer,,
Xfer Records,Serum,Leads,LD booty [AF],
10. Deep Within,,,,♪ Eli.W
"BPM: 75,  Key: Gm",,,,
Live Recording: Electric Guitar,Gon,,,
Arturia,Analog Lab V,Analog Lab Factory -> Sequence,Autumn Fireflies 1,
Arturia,Modular V3,Keys,Sample&hld,
Native Instruments,Session Strings 2,Sound,Session Strings,Pizzicato articulation
11. Flow Experience,,,,"♪ Eli.W, Gon"
"BPM: 85,  Key: G#m",,,,
Live Recording: Electric Guitar,Gon,,,
Spectrasonics,Trilian,Bass Instruments,,
,,,,
12. Mystery,,,,♪ Eli.W
"BPM: 110,  Key: Dm",,,,
Heavyocity,Damage 2,D2 Loop Designer -> 03 Hybrid Cinematic (STR),Hybrid Cinematic - Full Breakout Loops 01 (STR),"D#4, E4"
Spectrasonics,Trilian,Bass Instruments,,
,,,,software orchestra
13. Dire Straits,,,,♪ Eli.W
"BPM: 128,  Key: Gm",,,,
Heavyocity,Damage 2,D2 Loop Designer -> 03 Hybrid Cinematic (STR),Hybrid Cinematic - Full Breakout Loops 03 (STR),"C4, G#4"
,,,,software orchestra
,,,,
14. Alternative Rock,,,,♪ Eli.W
"BPM: 128,  Key: Gm",,,,
Live Recording: Electric Guitar,Gon,,,
XLN Audio,Addictive Drums 2,,,Maybe? Snare sounds like it's from the Black Velvet kits
,,,,possibly perc bell from heavyocity evolve
15. Dawn of Disaster,,,,♪ Eli.W
"BPM: 146,  Key: Am -> Gm",,,,
Live Recording: Orchestra,Art of Loong Orchestra,,,
Heavyocity,Damage 2,D2 Loop Designer -> 01 All Star Loops (STR),All Star - Manhattan Car Chase (STR),G4
Modartt,Pianoteq 7,Grand Steinway D,Steinway D Prelude,
16. Salty Moon,,,,♪ Eli.W
"BPM: 122,  Key: D",,,,
Spectrasonics,Trilian,Bass Instruments,,
,,,,
17. Timeline,,,,♪ Fan
"BPM: 56,  Key: F",,,,
Native Instruments,Una Corda,,,Sounds like it
,,,,
18. Take the Journey,,,,♪ Fan
"BPM: 148,  Key: Em",,,,
Live Recording: Vocal,Anthony Lynch,,,
Live Recording: Guitar,Anthony Lynch,,,
,,,,
,,,,
,,,,
,,,,
Of Snow and Ember,,,,
,,,,
,,,,
,,,,
1. Embers,,,,♪ Fan
"BPM: 98,  Time: 3/4,  Key: Cm",,,,
Live Recording: Orchestra,Art of Loong Orchestra,,,
Live Recording: Cello,Xiaolong Chen,,,
Live Recording: Guitar,江诗颖,,,
Live Recording: Vocal,"王皓, 张超俊, 苏美玲, 田佳, Fan",,,
2. Hearthfire,,,,♪ Gon
"BPM: 96,  Time: 3/4,  Key: Cm",,,,
Live Recording: Violin,Daniel HOPE,Giuseppe Guarneri del Gesù,"Cremona, 1742, “Wieniawski”",
Live Recording: Guitar,Gon,,,
Live Recording: Reinterpret,Daniel HOPE's team,,,
Toontrack,EZdrummer 2,EZdrummer 2 Modern,Basic,Used for the kick
3. Streets Abuzz,,,,♪ Fan
"BPM: 120,  Time: 3/4,  Key: Cm",,,,
Live Recording: Orchestra,Art of Loong Orchestra,,,
Live Recording: Cello,Xiaolong Chen,,,
Live Recording: Guitar,江诗颖,,,
Live Recording: Vocal,"王皓, 张超俊, 苏美玲, 田佳, Fan",,,
Live Recording: Vocal,Gon,,,Pitch shifted
Unfiltered Audio,Sandman Pro,,,idk if an effect plugin should be noted but they had this in the video
4. Faded Sun,,,,♪ Fan
"BPM: 104,  Time: 3/4,  Key: Cm",,,,
Live Recording: Orchestra,International Master Philharmonic Orchestra,,,
Heavyocity,Damage,02 Percussive Kits -> 02 Ethnic Drums,PERC Ethnic Ens Percussion,
5. Frosty Trail,,,,♪ Fan
"BPM: 110,  Key: Cm",,,,
Live Recording: Orchestra,Art of Loong Orchestra,,,
Live Recording: Cello,Xiaolong Chen,,,
6. Order,,,,♪ Gon
"BPM: 109,  Key: Cm",,,,
Heavyocity,Damage 2,D2 Ensemble Designer,,
Toontrack,EZdrummer 2,EZdrummer 2 Modern,Basic,
,,,,software orchestra
7. Braving the Cold,,,,♪ Fan
"BPM: 145,  Key: Cm",,,,
Live Recording: Orchestra,Art of Loong Orchestra,,,
Heavyocity,Damage,02 Percussive Kits -> 01 Epic Organic Drums,PERC Studio Armageddon Ens,
,,,,"vocal (solo female voice) not credited; not live, potentially could be found"
8. Warm Sun,,,,♪ Gon
"BPM: 99,  Time: 3/4,  Key: C",,,,
Live Recording: Orchestra,International Master Philharmonic Orchestra,,,
Live Recording: Violin,Ming Liu,,,
9. Sleep Tight,,,,♪ Sean
"BPM: 70,  Time: 3/4,  Key: D",,,,
Native Instruments,Una Corda,,,To check
,,,,software orchestra
,,,,
10. Silent,,,,♪ Fan
"BPM: 119,  Key: Cm",,,,
Live Recording: Guitar,江诗颖,,,
11. Cutting Mistral,,,,♪ Gon
"BPM: 121,  Time: 3/4,  Key: Cm",,,,
Live Recording: Orchestra,Art of Loong Orchestra,,,
Live Recording: Cello,Xiaolong Chen,,,
Live Recording: Guitar,Gon,,,
12. Tempered Cord,,,,♪ Yj.W
"BPM: 122,  Time: 3/4,  Key: Em",,,,
Live Recording: Orchestra,Art of Loong Orchestra,,,
Live Recording: Cello,Xiaolong Chen,,,
Live Recording: Guitar,Ye Fan,,,
Heavyocity,Damage 2,,,To be found
13. Dense Floe,,,,♪ Vinchi
"BPM: 160,  Key: Fm",,,,
,,,,software orchestra
,,,,
14. Traceless Drift,,,,♪ Yj.W
"BPM: 108~,  Time: 3/4,  Key: Cm",,,,
Live Recording: Violin,Yue Zhu,,,
Live Recording: Guitar,Ye Fan,,,
15. Ghost From the Past,,,,♪ Gon
"BPM: 75,  Key: Cm",,,,
Spectrasonics,Omnisphere,Guitars,Double-Tracked 6-Strings a,Has weird delay effect
,,,,
16. Sinking Hoarfrost,,,,♪ Fan
"BPM: 120,  Key: Cm",,,,
Live Recording: Orchestra,International Master Philharmonic Orchestra,,,
Live Recording: Vocal,"王皓, 张超俊, 苏美玲, 田佳, Fan",,,
Heavyocity,Damage,02 Percussive Kits -> 02 Ethnic Drums,PERC Ethnic Ens Percussion,
17. Kindling,,,,♪ Gon
"BPM: 119 / 158.67,  Key: Cm",,,,
Live Recording: Orchestra,Art of Loong Quartet,,,
Live Recording: Guitar,Gon,,,
Spectrasonics,Omnisphere,Guitars,Flamenco Guitar - Mandolin Duo,
Spectrasonics,Omnisphere 2,Spotlight - EDM -> Synth Bass,Swagger Bass 2,High passed
Spectrasonics,Trilian,ARP + BPM,Electric Train Trip 1,Played at 119 BPM
18. Underground,,,,♪ Fan
"BPM: ,  Key: Cm",,,,
Live Recording: Orchestra,Art of Loong Orchestra,,,
Live Recording: Vocal,"王皓, 张超俊, 苏美玲, 田佳, Fan",,,
Heavyocity,Damage,02 Percussive Kits -> 04 Hybrid FX Hits,PERC Low Drum Skin FX,A2
Heavyocity,Damage,02 Percussive Kits -> 02 Ethnic Drums,PERC Ethnic Ens Percussion,
Native Instruments,Rise & Hit,03 - Hybrid Sounds,Hungry Shark,
19. Blaze,,,,♪ TSAR
"BPM: ,  Key: Em",,,,
Live Recording: Orchestra,International Master Philharmonic Orchestra,,,
reFX,FL Slayer,,POWER Dire Straits,Filtered
Splice Sounds,Sounds of KSHMR Vol. 3,FX_Elements -> KSHMR_Industrial_Grime,KSHMR_Industrial_Grime_15_149_E,First kick is only used
20. Conflict Undraped,,,,♪ Gon
"BPM: ,  Key: Am",,,,
Live Recording: Violin,Yue Zhu,,,
Toontrack,EZdrummer 2,EZdrummer 2 Modern,Basic,
,,,,synth bass potentially hive 2
21. Crystal Tears,,,,♪ Fan
"BPM: ,  Key: Cm",,,,
Live Recording: Orchestra,Art of Loong Orchestra,,,
Live Recording: Vocal,"王皓, 张超俊, 苏美玲, 田佳, Fan",,,
22. Lingering Heat,,,,♪ Yj.W
