Company/Manufacturer,Product,Path/Bank,Preset,Notes
,,,,
Table of Contents,,,,
,,,,
JUMP TO:,Loading...,Trailer/Promotional Music,2024-06-28 00:00:00,
(links),Come Alive,EP/Single,2024-06-29 00:00:00,
,BITE!,EP/Single,2024-07-06 00:00:00,
,"As the sugar cube floats, fleeting in time",EP/Single,2024-07-26 00:00:00,
,Crimson Pierces the Twilight,EP/Single,2024-08-13 00:00:00,
,pinKing,EP/Single,2024-09-26 00:00:00,
,Burning Desires,EP/Single,2024-10-18 00:00:00,
,Fearless,EP/Single,2024-11-28 00:00:00,
,Daybreak,EP/Single,2024-12-20 00:00:00,
,Picture Book,EP/Single,2024-12-21 00:00:00,
,Hyper Commission,Original Soundtrack,2024-12-24 00:00:00,
,Hyper Commission: PV,Trailer/Promotional Music,2025-01-07 00:00:00,
,Stars of Lyra+,EP/Single,2025-01-23 00:00:00,
,Stars Align,EP/Single,2025-02-14 00:00:00,
,Shining Promise in the Sky of Dawn,EP/Single,2025-04-01 00:00:00,
,"My Curse, My Fate",EP/Single,2025-05-14 00:00:00,
,Almost,EP/Single,2025-05-31 00:00:00,
,"Through food, we learn the world so wide, to train the heart, the self inside",EP/Single,2025-06-23 00:00:00,
,Wonderland Trickery,EP/Single,2025-07-15 00:00:00,
,FURYON,EP/Single,2025-09-19 00:00:00,
,DAMIDAMI,EP/Single,2025-10-16 00:00:00,
,I Ask,EP/Single,2025-12-18 00:00:00,
,Tiny Giant,EP/Single,2025-12-26 00:00:00,
,A Thousand First Meetings,EP/Single,2025-12-28 00:00:00,
,Hyper Commission 2.0 ,Original Soundtrack,2025-01-05 00:00:00,
,Unreleased,,,
,,,,
Loading...,,,,
,,,,
,,,,
,,,,
19%,,,,♪ Yang Wutao
Future Loops,Scratch Anthology,120 BPM,FL_Scratch_120BPM_A_YES! fast-asscrab,
Future Loops,Scratch Anthology,125 BPM,FL_Scratch_125BPM_scribblTLA-BREAK!,
Spectrasonics,Trilian,Bass Instruments,,
39%,,,,♪ Lei Sheng
Spectrasonics,Trilian,Bass Instruments,,
79%,,,,♪ Zhou Bin
Spectrasonics,Trilian,Bass Instruments,,
99%,,,,♪ Song Peiyan
Spectrasonics,Trilian,Bass Instruments,,
,,,,
,,,,
,,,,
,,,,
Burning Desires,,,,
,,,,
,,,,
,,,,
Burning Desires,,,,♪ Yang Wutao
Live Recording: Mes,Vocal,,,
Disciple Samples,Skybreak - Colorful Dubstep Vol 1,one_shots -> glitch_one_shots ,DS_SCD_glitch_one_shot_strike_a_nerve_silky,
Disciple Samples,Skybreak - Colorful Dubstep Vol 1,one_shots -> glitch_one_shots ,DS_SCD_glitch_one_shot_triplet,One instance pitched up an octave.
Function Loops,Future EDM 2017,Kit_02_(Key_F#)_(128BPM) -> _(WAVs)_Drum_Loops,FL_128BPM_Kick Loop,
Function Loops,Future EDM 2017,Kit_02_(Key_F#)_(128BPM) -> _(WAVs)_Drum_Loops,FL_128BPM_Snare Fill,
NODUSK,Kawaii Bass,Drums -> Fooley & Percussion,Fooley_Spray_Hit_1,
NODUSK,Kawaii Bass,Drums -> Fooley & Percussion,Metall_Hit_1,
Spectrasonics,Trilogy,Bass Instruments,TR-Modern Funk - Full Range,
Xfer Records,Serum,Leads,LD 8bitcycle [AF],
Xfer Records,Serum,Leads,LD booty [AF],"Played in very short notes, notice the pitch fall"
,,,,
,,,,
,,,,
,,,,
Fearless,,,,
,,,,
,,,,
,,,,
Fearless,,,,♪ Zhou Bin
Live Recording: YMIR,Vocal,,,
DABRO Music,Meedtempo Vocals,WAV_LOOPS -> BASS_LOOPS,DBR_MV_95_Cm_Statik_Synth_Bass_Loop,
DABRO Music,Meedtempo Vocals,WAV_LOOPS -> BASS_LOOPS,DBR_MV_95_G#m_GrittyError_Synth_Bass_Loop,This or BouncedDiver. Unsure which one was used.
Ghosthack,Ultimate Midtempo Attack,_Loops -> _Bass_Loops,UMA_Bass_Loop_01_Bm_95BPM,
Ghost Syndicate,Spiders,_Stem_Kits -> _Kit_Formal_(Key_Em)_(95Bpm),GS_SPDRS_95_Kit_Bass_Formal_Em,
Production Master,Midtempo Warfare,_Bass_Loops,MTW_106_Bass_Loop...,Unsure what loop was used.
Production Master,Midtempo Warfare,_Drums_(One-Shots) -> _Kicks ,MTW_Kick_One_Shot_F_Deck,
Production Master,Midtempo Warfare,_Drums_Loops -> _Drum_Fills,MTW_106_Drum_Fill_Pre_Drop_Em,
Splice Sounds,Sounds of KSHMR Vol. 3,FX Elements -> Sweeps and Lazers -> Sweeps Up -> Sweeps Long,KSHMR_Long_Sweep_14_Flange,
XLNTSOUND,Mid-Temps,Drums -> Cymbals -> Crashes,XLNT-Mid Temps - Crash 01,
XLNTSOUND,Mid-Temps,Drums -> Hihats -> Closed Hi Hats,XLNT-Mid Temps - Closed Hihat 14,
XLNTSOUND,Mid-Temps,Drums -> Snares,XLNT-Mid Temps - Pre-Shifted Snare 05,
XLNTSOUND,Mid-Temps,XLNT-Mid Temps Serum Presets,XLNT-BS Ear Fuq,
,,,,
,,,,
,,,,
,,,,
Hyper Commission,,,,
,,,,
,,,,
,,,,
1. 60%的日常  |  60% Daily,,,,♪ Yang Wutao
"BPM: 108,  Key: Gm",,,,
Live Recording: 王宇轩,Bass,,,
Live Recording: 王彬,Guitar,,,
2. 60%的遐想  |  60% Fantasy,,,,♪ Yang Wutao
"BPM: 86,  Key: Gm",,,,
Live Recording: 王彬,Guitar,,,
Best Service,Drums Overkill,KITS # DRUM-KITS -> 09_HIP HOP - RAP  KITS,HIP HOP - RAP KITS 02,"E1, F#1, D#3, F3, G3, B4"
Spectrasonics,Trilian,Bass Instruments -> Bass - Electric Picked,Rock P-Bass Pick - Full Range All,
,,,,Session Horns?
3. 60%的日常·悠闲  |  60% Daily - Leisure,,,,♪ Yang Wutao
"BPM: 110, Key: C",,,,
Live Recording: 王彬,Guitar,,,
Echo Sound Works,Smores,Drums -> Drum One Shots -> Hats -> Crash,ESWSM Crash Cymbal 07,
Echo Sound Works,Smores,Drums -> Drum One Shots -> Kicks,ESWSM Kick 15 - F,-1 semitone
Xfer Records,Serum,Echo Sound Works - Snake Lazers V.1,VO Clean Air,Osc B disabled
4. 60%的遐想·静谧  |  60% Fantasy - Serenity,,,,♪ Yang Wutao
"BPM: 80, Key: D",,,,
Live Recording: 王彬,Guitar,,,
,,,,
5. 60%的日常·自由  |  60% Daily - Freedom,,,,♪ Yang Wutao
"BPM: 98, Key: Cm",,,,
Live Recording: 王彬,Guitar,,,
Best Service,Drums Overkill,KITS # DRUM-KITS -> 08_80 ' S HIP HOP-OLDSCHOOL KITS,80 ' S HIPHOP-OLDSKOOL KITS 2,"D#1, F1, F#1, G1, B1, C2, C#2, F#2, D#3"
Future Loops,Scratch Anthology,100 BPM B,FL_Scratch_100BPM_B_HOLD IT!,-4 semitones
NODUSK,Kawaii Bass,Drums -> Cymbals,FKFB_Crash 2,
6. 60%的遐想·热情  |  60% Fantasy - Passion,,,,♪ Yang Wutao
"BPM: 110, Key: Ab",,,,
Live Recording: 王彬,Guitar,,,
Spectrasonics,Stylus RMX,RMX Grooves -> 77-Desert Fog,77-Desert Fog Combo,
7. Action!,,,,♪ Zhou Bin
"BPM: 85, Key: D",,,,
,,,,
,,,,
8. Still Action!,,,,♪ Zhou Bin
"BPM: 90, Key: Ebm",,,,
e-instruments,Session Horns Pro,Solo Instruments,Trumpet 2,Non Vibrato
,,,,
9. Vacation!,,,,♪ Yang Wutao
"BPM: 102, Key: Gm",,,,
Future Loops,Scratch Anthology,,,
,,,,Session Horns?
10. Still Vacation!,,,,♪ Yang Wutao
"BPM: 120, Key: E",,,,
,,,,to check: NI pianos
,,,,
11. 昨日繁华  |  Yesterday's Prosperity,,,,♪ Yang Wutao
"BPM: 80, Key: Bm",,,,
Best Service,Drums Overkill,SINGLE # CLAPS & SNAPS,SNAPS  REAL,C2
Best Service,Drums Overkill,,,there might be more idk
Spectrasonics,Trilogy,Bass Instruments -> Bass - Electric Picked,TR-Rock Pick - Full Range,
Spectrasonics,Trilogy,Bass Instruments -> Bass - Electric Picked,TR-Rock Pick FX Slides 1,Shorten release
,,,,to check: pianoteq or keyscape
12. 注意头顶  |  Watch Your Head,,,,♪ Yang Wutao
"BPM: 84, Key: Em",,,,
Best Service,Drums Overkill,,,Maybe?
Future Loops,Scratch Anthology,,,
,,,,hey hey hey
13. Limbo,,,,♪ Song Peiyan
"BPM: 106, Key: Em",,,,
Future Loops,Scratch Anthology,,,probably
Splice Sounds,Sounds of KSHMR Vol. 3,Fills -> Acoustic_Fills,KSHMR_Acoustic_Fill_10_110,
Splice Sounds,Sounds of KSHMR Vol. 3,Drums -> Cymbals -> Crashes,KSHMR_Crash_13,
Splice Sounds,Sounds of KSHMR Vol. 3,Drums -> Transitions -> Shaker_Transitions,KSHMR_Shaker_Transition_15,
Splice Sounds,Sounds of KSHMR Vol. 3,Drums -> Transitions -> Tambourine_Transitions,KSHMR_Tambourine_Transition_01,
Splice Sounds,Sounds of KSHMR Vol. 3,Drums -> Transitions -> Tambourine_Transitions,KSHMR_Tambourine_Transition_07,
Test Press,Noisia Sample Pack Vol. 2,loops -> bass_loops,TSP_NOISIA_V2_172_bass_loop_vieze_stabby...,-3 semitones
Xfer Records,Serum,Bass,BA Liquid neuro [GI],
14. 野火  |  Blaze,,,,♪ Song Peiyan
"BPM: 82, Key: Em",,,,
Embertone,Honkytonk Harmonica,,Honkytonk Harmonica,Set Vibrato mode to Real.
Splice Sounds,Sounds of KSHMR Vol. 3,Drums -> Transitions -> Shaker_Transitions,KSHMR_Shaker_Transition_04,
Splice Sounds,Sounds of KSHMR Vol. 3,Drums -> Transitions -> Shaker_Transitions,KSHMR_Shaker_Transition_15,
,,,,
15. 运斤成风  |  Hollow Neutralization,,,,♪ Lei Sheng
"BPM: 109, Key: Am",,,,
,,,,to check: pianoteq
,,,,
16. 争流口岸  |  Racing Tides,,,,♪ Song Peiyan
"BPM: 105, Key: A",,,,
Spectrasonics,Trilian,Bass Instruments,,
,,,,realguitar?
17. 地下律动  |  Underground Beats,,,,♪ Song Peiyan
"BPM: 95, Key: Em",,,,
Ample Sound,Ample Bass P,Presets,Default,
Future Loops,Scratch Anthology,,,probably
,,,,
18. 鼠辈舞台  |  Stage for Rodents,,,,♪ Zhou Bin
"BPM: 90, Key: Dm",,,,
Effect: Cableguys,ShaperBox 3,Rhythmic,Crush Repeater,Liquid disabled
,,,,TR-808 kit
,,,,
19. 虚幻光映  |  Virtual Boundary,,,,♪ Yang Wutao
"BPM: 150, Key: Em",,,,
Disciple Samples,Skybreak - Colorful Dubstep Vol 1,synth_loops -> general_synth_loops,DS_SCD_150_synth_loop_windswept_em,
Singomakers,Future Bass Ultra Pack Vol. 2,SFB2_Future_One_Shots -> SFB2_HiHats,SFB2_HiHat_21,+3 semitones
Singomakers,Future Bass Ultra Pack Vol. 2,SFB2_Future_One_Shots -> SFB2_Kicks,SFB2_Kick_36,+1 semitone
Singomakers,Future Bass Ultra Pack Vol. 2,SFB2_FX -> SFB2_Sweeps_Up,SFB2_Sweep_Up_23,
20. Time to Play,,,,♪ Yang Wutao
"BPM: 81, Key: C Lydian",,,,
Live Recording: 王彬,Guitar,,,
,,,,
"21. 开盒有惊__  |  Surprise Box, for Good or Bad",,,,♪ Yang Wutao
"BPM: 150, Key: Ebm",,,,
Live Recording: 三畿道,Vocal Sampling,,,
Disciple Samples,Barely Alive - Essential Samples Vol. 1,drums -> drum_one_shots -> toms,BRLY_ALVE_tom_dmx,One instance is pitched -3 semitones
