Company/Manufacturer,Product,Path/Bank,Preset,Notes
,,,,
Table of Contents,,,,
,,,,
JUMP TO:,FlyMe2TheMoon:,,2011-09-28 00:00:00,
(links),Unreleased,,,
,Houkai Gakuen / Zombiegal Kawaii:,,2012-12-14 00:00:00,
,Unreleased,,,
,Houkai Gakuen 2 / Guns Girl Z:,,2014-03-28 00:00:00,
,Houkai World Diva,,2014-11-01 00:00:00,
,Unreleased / HoukaiCOLLE / ApocoCOLLE,,,
,,,,
Houkai Gakuen / Zombiegal Kawaii,,,,
,,,,
Unreleased Soundtrack,,,,
,,,,
Main Menu Theme (BGM_SHOP),,,,
Spectrasonics,Stylus RMX,Bonus Spectrasonics -> Bizarre Guitar,099-Oozie wah,
,,,,
BGM_1,,,,
Spectrasonics,Metamorphosis S.A.G.E. Xpander,095-099,097-Black Planet c,
Spectrasonics,Stylus RMX,RMX Grooves -> 70-Datalife,70-Datalife HiHat,
Spectrasonics,Stylus RMX,,,There's another one
BGM_1_BANG,,,,
Spectrasonics,Metamorphosis S.A.G.E. Xpander,095-099,097-Black Planet c,
Spectrasonics,Metamorphosis S.A.G.E. Xpander,130-139,136-FM Triangle,
Spectrasonics,Stylus RMX,RMX Grooves -> 70-Datalife,70-Datalife HiHat,
Spectrasonics,Stylus RMX,RMX Grooves -> 90-Madrid,90-Madrid Combo,
BGM_2,,,,
Sample: HOUKAI Sound LAB,Angel of Sin,,Electric Guitar (TS 0:00),Has slight release
Sample: HOUKAI Sound LAB,Angel of Sin,,Rising Synths,To do: Find origin of these (Hypersonic?)
Spectrasonics,Stylus RMX,RMX Grooves -> 90-LilBoy,90-LilBoy Combo,
Spectrasonics,Stylus RMX,RMX Grooves -> 160-Find The Exit,160-Find The Exit Combo,
Steinberg,Hypersonic 2,Arpeggios,Classic Dance Saws,
Vir2,VI.ONE,Synth - Modern -> Bass [mono],Gamer [M],
BGM_3 ,,,,
Vir2,VI.ONE,Synth - Modern -> Bass [mono],Gamer [M],
,,,,
BGM_SONG_3,,,,
Spectrasonics,Metamorphosis S.A.G.E. Xpander,090-094,093-Squigee,
Spectrasonics,Metamorphosis S.A.G.E. Xpander,090-094,094-Yowza,
,,,,
,,,,
,,,,
,,,,
,,,,
Houkai Gakuen 2 / Guns Girl Z,,,,
,,,,
,,,,
,,,,
Houkai World Diva,,,,
,,,,
,,,,
,,,,
1. Introduction,,,,♪ JODODO
Spectrasonics,Metamorphosis S.A.G.E. Xpander,095-099,097-Black Planet c,
Spectrasonics,Stylus RMX,RMX Grooves -> 70-Datalife,70-Datalife HiHat,
2. Houkai World Diva,,,,"♪ Zoe, JODODO"
Spectrasonics,Metamorphosis S.A.G.E. Xpander,090-094,093-Squigee,
Spectrasonics,Stylus RMX,RMX Grooves -> 70-Datalife,70-Datalife Combo,
Spectrasonics,Stylus RMX,RMX Grooves -> 70-Datalife,70-Datalife HiHat,
Spectrasonics,Stylus RMX,RMX Grooves -> 90-Madrid,90-Madrid Combo,
3. DATE-IV,,,,♪ JODODO
Spectrasonics,Stylus RMX,RMX Grooves -> 70-Datalife,70-Datalife HiHat,
,,,,
4. Lighting,,,,♪ Zoe
,,,,
,,,,
5. Innerlink,,,,♪ TetraCalyx
Spectrasonics,Omnisphere,ARP + Rhythm,Cross Beat Overdriver,
,,,,
6. Magazine,,,,♪ Zoe
Spectrasonics,Stylus RMX,RMX Grooves -> 70-Datalife,70-Datalife Combo,
Spectrasonics,Stylus RMX,RMX Grooves -> 107-Totally Insane,107-Totally Insane a,
7. Black Space,,,,♪ Zoe
Spectrasonics,Stylus RMX,RMX Grooves -> 52-Alice's Dream,52-Alice's Dream Combo,
Spectrasonics,Stylus RMX,RMX Grooves -> 90-Madrid,90-Madrid Combo,
XLN Audio,Addictive Drums 2,Black Velvet - Selections,Arena Pimp,
8. Lonely Bonze,,,,"♪ Zoe, JODODO"
Spectrasonics,Metamorphosis S.A.G.E. Xpander,090-094,093-Squigee,
Spectrasonics,Metamorphosis S.A.G.E. Xpander,090-094,094-Yowza,
9. A.O.S forces,,,,♪ JODODO
Sample: HOUKAI Sound LAB,Angel of Sin,,Electric Guitar (TS 0:00),Has slight release
Sample: HOUKAI Sound LAB,Angel of Sin,,Rising Synths,To do: Find origin of these (Hypersonic?)
Spectrasonics,Stylus RMX,RMX Grooves -> 90-LilBoy,90-LilBoy Combo,
Spectrasonics,Stylus RMX,RMX Grooves -> 160-Find The Exit,160-Find The Exit Combo,
Steinberg,Hypersonic 2,Arpeggios,Classic Dance Saws,
Vir2,VI.ONE,Synth - Modern -> Bass [mono],Gamer [M],
10. BANG!,,,,♪ JODODO
Spectrasonics,Metamorphosis S.A.G.E. Xpander,130-139,136-FM Triangle,
Spectrasonics,Stylus RMX,RMX Grooves -> 70-Datalife,70-Datalife HiHat,
Spectrasonics,Stylus RMX,RMX Grooves -> 90-Madrid,90-Madrid Combo,
11. Musta virta,,,,♪ JODODO
Vir2,VI.ONE,Synth - Modern -> Bass [mono],Gamer [M],"Taken from Absynth 3's ""Hendrix in the Manifold"" preset, this track doesn't use Absynth itself"
,,,,
12. Tiger,,,,♪ Zoe
XLN Audio,Addictive Drums 2,Black Velvet - Selections,BIGGER OH and Room,
,,,,
13. Vital Steps,,,,♪ TetraCalyx
,,,,
,,,,
14. Shopsation,,,,♪ Zoe
Spectrasonics,Stylus RMX,RMX Grooves -> 80-Florian,80-Florian Combo Dry a,
,,,,
15. Angel of Sin,,,,"♪ Zoe, JODODO"
Spectrasonics,Metamorphosis S.A.G.E. Xpander,123-129,126-Groover,
Spectrasonics,Stylus RMX,,,
Toontrack,EZdrummer 2,,,
,,,,
,,,,
,,,,
,,,,
Unreleased Soundtrack / HoukaiCOLLE / ApocoCOLLE,,,,
,,,,
1. Shopsation,,,,
Spectrasonics,Stylus RMX,RMX Grooves -> 80-Florian,80-Florian Combo Dry a,
,,,,
2. Theme,,,,
Spectrasonics,Metamorphosis S.A.G.E. Xpander,095-099,097-Black Planet c,
Spectrasonics,Stylus RMX,RMX Grooves -> 70-Datalife,70-Datalife HiHat,
,,,,
3. Bang,,,,
Spectrasonics,Metamorphosis S.A.G.E. Xpander,095-099,097-Black Planet c,
Spectrasonics,Metamorphosis S.A.G.E. Xpander,130-139,136-FM Triangle,
Spectrasonics,Stylus RMX,RMX Grooves -> 70-Datalife,70-Datalife HiHat,
Spectrasonics,Stylus RMX,RMX Grooves -> 90-Madrid,90-Madrid Combo,
,,,,"To check for strings: LASS, Symphonic Orchestra Silver, Edirol Orchestral"
4. Space and Distance,,,,
Sample: HOUKAI Sound LAB,Angel of Sin,,Electric Guitar (TS 0:00),Has slight release
Sample: HOUKAI Sound LAB,Angel of Sin,,Rising Synths,To do: Find origin of these (Hypersonic?)
Spectrasonics,Stylus RMX,RMX Grooves -> 90-LilBoy,90-LilBoy Combo,
Spectrasonics,Stylus RMX,RMX Grooves -> 160-Find The Exit,160-Find The Exit Combo,
Steinberg,Hypersonic 2,Ultra Synth,Classic Dance Saws,
Vir2,VI.ONE,Synth - Modern -> Bass [mono],Gamer [M],
5. Tangle,,,,
Vir2,VI.ONE,Synth - Modern -> Bass [mono],Gamer [M],
,,,,
6. Prelusion,,,,
Spectrasonics,Omnisphere,ARP + Rhythm,Cross Beat Overdriver,
,,,,
7. Shrine,,,,
,,,,
,,,,
8. 崩壊世界の歌姫,,,,
Spectrasonics,Metamorphosis S.A.G.E. Xpander,090-094,093-Squigee,
Spectrasonics,Stylus RMX,RMX Grooves -> 70-Datalife,70-Datalife Combo,
Spectrasonics,Stylus RMX,RMX Grooves -> 70-Datalife,70-Datalife HiHat,
Spectrasonics,Stylus RMX,RMX Grooves -> 90-Madrid,90-Madrid Combo,
9. 罪の天使,,,,
Spectrasonics,Metamorphosis S.A.G.E. Xpander,123-129,126-Groover,
Spectrasonics,Stylus RMX,,,
Toontrack,EZdrummer 2,,,
10. 独法師,,,,
Spectrasonics,Metamorphosis S.A.G.E. Xpander,090-094,093-Squigee,
Spectrasonics,Metamorphosis S.A.G.E. Xpander,090-094,094-Yowza,
11. Lighting,,,,
,,,,
,,,,
12. Magazine,,,,
Spectrasonics,Stylus RMX,RMX Grooves -> 70-Datalife,70-Datalife Combo,
Spectrasonics,Stylus RMX,RMX Grooves -> 107-Totally Insane,107-Totally Insane a,
13. Blackspace,,,,
Spectrasonics,Omnisphere,Keyboards,Celeste - Ambient,Has modified attack
Spectrasonics,Stylus RMX,RMX Grooves -> 52-Alice's Dream,52-Alice's Dream Combo,
Spectrasonics,Stylus RMX,RMX Grooves -> 90-Madrid,90-Madrid Combo,
XLN Audio,Addictive Drums 2,Black Velvet - Selections,Arena Pimp,
14. Tiger Conceit,,,,
XLN Audio,Addictive Drums 2,Black Velvet - Selections,Arena Pimp,
XLN Audio,Addictive Drums 2,Black Velvet - Selections,BIGGER OH and Room,
15. End of Day,,,,
,,,,
,,,,
16. KONTROLLE,,,,
Spectrasonics,Stylus RMX,Bonus Spectrasonics -> Distorted Reality 090-127,90-Fuzz Pocket,
Spectrasonics,Stylus RMX,Bonus Spectrasonics -> Distorted Reality 090-127,112-Industrapper,
Spectrasonics,Stylus RMX,RMX Grooves -> 68-Small Blocks,68-Small Blocks Combo,
Spectrasonics,Stylus RMX,RMX Grooves -> 107-Totally Insane,107-Totally Insane a,
Spectrasonics,Stylus RMX,,,Kick pattern
17. Laberinto,,,,
Spectrasonics,Stylus RMX,RMX Grooves -> 70-Datalife,70-Datalife HiHat,
,,,,
18. Lift,,,,
,,,,
,,,,
19. Amber,,,,
Apple,Loops,Jam Pack Remix Tools,Hip Hop Bandit Beat 03,
Apple,Sculpture,Blown Instruments,Saturated Air,Object 1 disabled + pitch bent
Steinberg,Hypersonic 2,Arpeggios,Jupiter Arp,
20. Ghost,,,,
Apple,Loops,Jam Pack Remix Tools,Pop Egyptian Sky Beat 02,
Image-Line,Groove Machine,Grooves,Electronics TE,All synth parts disabled
Native Instruments,Battery 4,Kits -> Digital Drum Kit,Fat Step Kit,
Spectrasonics,Omnisphere,Keyboards,Celeste - Ambient,Has modified attack
21. Broken,,,,
,,,,
,,,,
22. 八重桜,,,,
,,,,
,,,,
23. Cross,,,,
Spectrasonics,Stylus RMX,RMX Grooves -> 80-Space Ranger,80-Space Ranger Echoplate,
Spectrasonics,Stylus RMX,RMX Grooves -> 86-Outlaw,86-Outlaw Combo,
Spectrasonics,Stylus RMX,RMX Grooves -> 124-Sea Tide,124-Sea Tide Combo,
Xfer Records,Serum,FX,FX Andromeda2 [KG],
24. Evo,,,,
8Dio,Dubstep,02 Parts -> 8DIO_Dubstep_v1_Parts_BM,BASSES 08,G#3 or A3
8Dio,Dubstep,,,More samples to be found
Synapse Audio,Dune,Arpeggiated,Dance Lead RH,
25. Rusting,,,,
Xfer Records,Serum,Leads,LD Araba [7S],
,,,,
26. Tarot,,,,
Heavyocity,Damage,02 Percussive Kits -> 04 Hybrid FX Kits,PERC Damage Hits MW,
Spectrasonics,Stylus RMX,Classic Stylus -> 170-Offbeat,170-Offbeat a,
Xfer Records,Serum,Leads,LD BraveHeart [7S],
27. Sine,,,,
Synapse Audio,DUNE 2,Factory -> Arp,Freakstylez KS,
Synapse Audio,DUNE 2,Factory -> Synths,Glassey Pluck AZ,
Xfer Records,Serum,Leads,LD Epic Lead [AS],
,,,,
28. Cosine,,,,
8Dio,Dubstep,02 Parts -> 8DIO_Dubstep_v1_Parts_BM,BASSES 01,A2
Synapse Audio,DUNE 2,Factory -> Arp,Freakstylez KS,
Synapse Audio,DUNE 2,Factory -> Synths,Glassey Pluck AZ,
