Company/Manufacturer,Product,Path/Bank,Program,Notes,Examples,Demo
Please remember to give credit when reposting this info out of respect for the people who have found these sources. Click the link to view credits.,,,,,,
,,,,,,
,,,,,,
Table of Contents,,,,,,
,,,,,,
JUMP TO:,Kirby,,,,,
"(click the cell, and click the hyperlink",Super Smash Bros.,,,,,
that comes up),Other HAL Properties,,,,,
,Official Covers/Soundtrack Releases,,,,,
,,,,,,
Section 1 - Kirby,,,,,,
,,,,,,
"For track-by-track information, click here to view the Kirby Sound Sources (Detailed) sheet",,,,,,
Kirby's Adventure ★★★★★,,"(Released: March 23, 1993)",,(Music by: Hirokazu Ando),Jump to top,
Roland,D-20,RHYTHM,P-51: UserPattern,"Kick, Conga, Clave",-Used throughout the soundtrack-,
Roland,TR-707,Internal,Snare Drum 1,From Super Mario Bros. 3,-Used throughout the soundtrack-,
Kirby: Nightmare in Dream Land,,"(Released: October 25, 2002)",,"(Music by: Hirokazu Ando, Jun Ishikawa, Shogo Sakai, Tadashi Ikegami)",,
Novation,Nova,,,Custom patch,SFX (Warp Star),
Roland,JD-990,Waveform,075 Flute Push,0x60c67c,"Vegetable Valley, Dedede Battle, Ending",
Roland,JD-990,Waveform,093 Pan Pipe,"0x61a680, 0x6593dc","Vegetable Valley, Grape Garden, Rainbow Resort, Fountain of Dreams",
Roland,JD-990,Waveform,094 BottleBlow,0x651eb4,"Grape Garden, Forest Stage, Ending",
Roland,JD-990,Waveform,129 Upright BS,0x6458c4,"Main Menu, Ice Cream Island Map, Grape Garden Map, Orange Ocean Map, Rainbow Resort Map",
Roland,JV-1080,Waveform -> INT-A,129 E.Bass,0x60d2e4,-Used throughout the soundtrack-,
Roland,SN-U110-06 Orchestral Winds,,06-035 TIMPANI 2,0x66d67c,Dedede Battle,
Roland,SN-U110-10 Rock Drums,,10-002 ELEC DRUMS,,-Used throughout the soundtrack-,
Roland,SOUND Canvas SC-8850,SC-55 Map,000 078 Shakuhachi,0x664f7c,Samurai Kirby,Link
Roland,SOUND Canvas SC-8850,SC-55 Map,000 115 Steel Drums,0x672450,"Main Title, Ice Cream Island",
Roland,SOUND Canvas SC-8850,SC-55 Map -> Drum Set,049 ORCHESTRA,Crash,Dedede Battle,
Roland,SOUND Canvas SC-8850,SC-88 Map,000 013 Marimba,0x648a94,"Main Title, Ice Cream Island, Stage Clear Dance (Short), Stage Clear Dance (Long), ",Link
Roland,SOUND Canvas SC-8850,SC-88 Map,008 056 Impact Hit,0x65a808,"Forest Stage, Ice Cream Island, Boss Battle, Dedede Battle, Kirby's Air Grind, Kirby's Air Grind Finish,",
Roland,SOUND Canvas SC-8850,SC-88 Map,000 106 Banjo,0x643094,"Forest Stage, Ice Cream Island Map, Orange Ocean, Fountain of Dreams",
Roland,SOUND Canvas SC-8850,SC-88Pro Map,000 022 Accordion Fr,0x6752b8,Forest Stage,
Roland,SOUND Canvas SC-8850,SC-88Pro Map,000 034 Fingered Bs.,0x64bb10,"Green Greens, Forest Stage",
Roland,SOUND Canvas SC-8850,SC-88Pro Map,000 062 Brass 1 ,0x66e660,"Dedede Battle, Kirby's Air Grind",Link
Roland,SOUND Canvas SC-8850,SC-88Pro Map,000 109 Kalimba,0x6418ec,"Orange Ocean, Nightmare Battle (Phase 2)",Link
Roland,SOUND Canvas SC-8850,SC-88Pro Map -> Drum Set,002 STANDARD 2,"Bongos, Hats",Nightmare Battle (Phase 2),
Roland,SOUND Canvas SC-8850,SC-88Pro Map -> Drum Set,051 KICK & SNARE ,,Nightmare Battle (Phase 2),
Roland,SOUND Canvas SC-8850,SC-8850 Map,000 072 Clarinet,0x6549e0,"Field Stages, Dedede Battle",
Roland,U-220,Patch,P-07: Bell [07],0x610258,-Used throughout the soundtrack-,
Roland,U-220,Patch,P-17: Strings [017],0x66a768 - Attack cut off,Dedede Battle,
Roland,U-220,Patch,P-21: Syn.Vox 1 [021],0x617fbc,-Used throughout the soundtrack-,
Roland,U-220,Patch,P-33: Soft Trumpet [033],0x625408,-Used throughout the soundtrack-,
Roland,U-220,Patch,P-41: Fantasia [041],0x613928,-Used throughout the soundtrack-,
Roland,U-220,Rhythm Set,R-1: Standard Set [001],0x6877d4,Yogurt Yard,Link
Roland,U-220,Timbre,T-007: Vib 1 [007],0x647390,Main Title,
Steinberg & mda,JX16,,303 Square Bass,"0x6a1488, 0x6a410c, 0x6a6dbc, 0x6a9c84","Nightmare Battle (Phase 1), SFX (Nightmare Appears)",
Steinberg & mda,JX16,,Noise Band,,,
Ueberschall,Drum 'N' Bass Resonance,Track 12 - Substitute 160 BPM -> TS 0:30,11 Sounds,Congas,Ice Cream Island,
Stuff to Find,,,,,,
?,?,,,Either a synth bass or key,Ice Cream Island,
?,?,,,Meow Synth,,
?,?,,,Angrier Meow Synth,,
?,?,,,Meow Synth 5ths,,
Roland?,?,,,Organ,Yogurt Yard,
?,?,,,Triangle Wave,,
?,?,,,Pulse Wave,,
?,?,,,Saw Bass Wave,,
?,?,,,Saw Wave Blip,,
?,?,,,Shamisen,,
Roland ,D-20 / U-220,,,Spectrum Wave,SFX,
?,?,,,Synth Lead,,
?,?,,,Synth Pad Thing,,
?,?,,,Square Wave,,
Kirby's Dream Course ★★★★★,,"(Released: September 21, 1994)",,(Music by: Hirokazu Ando),,
E-MU Systems,Proteus/1,Bank 1,102 Solo Lead,Part of the SNES SDK,"Kirby's Dream Course, Introduction, Star Card, The First Hole, Space Valley, Iceberg Ocean",
KORG,X3,Multisounds,163 StrEns. V1,,-Used throughout the soundtrack-,
KORG,M1,Waveform,91 Saw Wave + 93 25% Pulse,Part of the SNES SDK,"Star Card, Cloudy Mountain Peaks, Iceberg Ocean, Showdown with Dedede",
KORG,M1,Waveform,99 DWGS Sine,Part of the SNES SDK,"Cloudy Mountain Peaks, Game Over, Continue or Give Up?",
Roland,D-20,Multi Timbral -> A Group,I-A46: Pizzicato,,"Introduction, Castles of Cake, Iceberg Ocean, Game Over",
Roland,D-20,Multi Timbral -> B Group,I-B13: Chorale,,-Used throughout the soundtrack-,
Roland,SN-U110-02 Latin and F.X. Percussions,,02-008 CONGA 1,,-Used throughout the soundtrack-,
Roland,SN-U110-02 Latin and F.X. Percussions,,02-014 TAMBOURINE,,-Used throughout the soundtrack-,
Roland,SN-U110-06 Orchestral Winds,,06-012 CLARINET 1,,"Title Screen, Castles of Cake, Iceberg Ocean, Victory!",
Roland,SN-U110-10 Rock Drums,,10-001 ROCK DRUMS,"Kick Drum (C1), Reverb snare",-Used throughout the soundtrack-,
Roland,SN-U110-11 Sound Effects,,11-010 STREAM,,SFX,
Roland,SN-U110-11 Sound Effects,,11-017 CAR CRASH,,SFX,
Roland,U-220,Patch,P-01: Acoust Piano [001],,-Used throughout the soundtrack-,
Roland,U-220,Patch,P-06: Marimba [006],,-Used throughout the soundtrack-,
Roland,U-220,Patch,P-16: Mad Organ [016],"Octaved, EQ'd and looped into a single-cycle waveform","Learn the Rules, Duel on the Dream Course, Over Water, The Tricky Stuff, Showdown with Dedede",
Roland,U-220,Patch,P-39: Flute [039],"Sampled as fifths, flute multisample order is reversed","Space Valley, The Tricky Stuff, 1-up Fanfare",
Yamaha,DX7,ROM-4 A - ORCHESTRAL & PERCUSSIVE...,12 SYNTH BRASS 1,Part of the SNES SDK,The First Hole,
Yamaha,TX802,Bank B,01 SuperBass,Possibly from the SNES SDK,"Cloudy Mountain Peaks, Scorecard, Dedede is Getting Closer!",
All other documented instruments were ripped from previous HAL titles,,,,,,
Roland,D-20,Multi Timbral -> A Group,I-A32: Harpsi 2,From Alcahest,"The First Hole, Cloudy Mountain Peaks, Green Fields",
