Company/Manufacturer,Product,Path/Bank,Program,Notes,Examples,Demo
Please remember to give credit when reposting this info out of respect for the people who have found these sources. Click the link to view credits.,,,,,,
,,,,,,
,,,,,,
See attatched sheets for updates on the Silent Hill and BEMANI/Konami Rhythm Game series,,,,,,
,,,,,,
Table of Contents,,,,,,
,,,,,,
JUMP TO:,Gradius,,,,,
"(Click the cell, and click the hyperlink",Parodius,,,,,
that comes up.),TwinBee,,,,,
,Ganbare Goemon,,,,,
,Castlevania,,,,,
,Bomberman,,,,,
,Power Pros,,,,,
,International Superstar Soccer,,,,,
,Metal Gear Solid,,,,,
,Yu-Gi-Oh!,,,,,
,Other,,,,,
,,,,,,
Section 1 - Gradius,,,,,,
,,,,,,
Gradius II (Arcade),,"(Released: March 24, 1988)",,,,
AKAI,S950,SL509 Pizz Strings / Eastern Kalimba,PIZZ,PIZZ,-Used throughout the soundtrack-,
KORG,M1R,PROG,43 Angels,,-Used throughout the soundtrack-,
Optical Media International,Universe of Sounds Vol. 1,Full Orchestra ,Chords,Sample 6,,
Yamaha,RX-11,,,"Tom 1, Tom 2, Tom 3",,
Yamaha,RX-11,,,"HH Closed 1, HH Open 1",,
Yamaha,RX-11,,,SD 1 Medium,,
Gradius III,,,,,,
Base Game - Arcade,,"(Released: December 11, 1989)",,,,
AKAI,XR10,PRST-53,HITS,,"Easter Stone, Fire Scramble, Mechanical Base",
E-MU Systems,Emulator II,Disk 14,GONG/TYMPANI/VOICES,,"Prelude to Legend, Easter Stone, Return to the Star, King of Kings, Unused 3",
KORG,M1R,PROG,09 Drums #1,C3 (Kick),-Used throughout the soundtrack-,Link
KORG,M1R,PROG,09 Drums #1,F4 (Closed hi-hat),,
KORG,M1R,PROG,09 Drums #1,C,,Link
Optical Media International,Universe of Sounds Vol. 1,Full Orchestra ,Chords,Sample 6,,
Roland,L-711,Disk 1 -> DRM:Drum HardSet,DRM:Yep Sn1 Set,,Final Shot,
Yamaha,RX5,Internal,Crash,,Crystal Labyrinth,
Yamaha,RX5,Internal,Ride (Cup),,-Used throughout the soundtrack-,
Stuff to Find,,,,,,
AKAI,S612,,,Orchestra Hit,Too many to list,
KORG,M1R,PROG,43 Angels,,-Used throughout the soundtrack-,
SNES,,"(Released: December 21, 1990)",,,,
E-MU Systems,Proteus/1,Bank 0,001 Hall Strings,Part of the SNES SDK,-Used throughout the soundtrack-,
E-MU Systems,Proteus/1,Bank 0,002 InChoirIrie,Part of the SNES SDK,-Used throughout the soundtrack-,
E-MU Systems,Proteus/1,Bank 0,056 Dune,Part of the SNES SDK,-Used throughout the soundtrack-,
E-MU Systems,Proteus/1,Bank 1,099 Reedy Keys,Part of the SNES SDK,,
E-MU Systems,Proteus/1,Bank 1,102 Solo Lead,Part of the SNES SDK,In the Wind,
KORG,DDD-5,Internal,I 06 SNARE 3,,-Used throughout the soundtrack-,
KORG,DDD-5,Internal,I 11 CRASH,,,
KORG,M1,Waveform,91 Saw Wave + 93 25% Pulse,Part of the SNES SDK,-Used throughout the soundtrack-,
Yamaha,DX7,ROM-1 A MASTER GROUP,15 BASS 1,Part of the SNES SDK,-Used throughout the soundtrack-,
Yamaha,DX7,ROM-4 A - ORCHESTRAL & PERCUSSIVE SOUNDS GROUP,12 SYNTH BRASS 1,Part of the SNES SDK,,
Stuff to Find,,,,,,
E-MU Systems,Proteus/1,Instruments,112 Organ Cyc 2,,"Invitation, Aqua Illusion, Lucky Zone, Fire Scramble, Sharp Shoot, Dark Force, Final Shot, Dead End Cell",
KORG,T3,PROG,28 Bellsynth1,,-Used throughout the soundtrack-,
KORG,T3,PROG,67 Softstring,,-Used throughout the soundtrack-,
Salamander 2,,"(Released: January, 1996)",,,,
AKAI,S1000,SL1045 BAROQUE STRINGS,STRING SECT1,,,
AKAI,XR10,PRST-53,HITS,,"All is Vanity, Power of Anger, Giga's Rage, What's Your Name",
E-MU Systems,Proteus/1,Bank 0,003 BigCityBrass,,,
E-MU Systems,Proteus/1,Bank 0,010 Phantazia,,,
E-MU Systems,Proteus/2,Bank 0,050 Timpani,,,
Solar Assault - Gradius,,"(Released: July, 1997)",,,,
,,,,,,
Stuff to Find,,,,,,
e-LAB,X-Static Goldmine 3,,,Drumloop,"Stage 2 'Fierce Blaze', Name Entry",
Roland,SR-JV80-06 Dance,,,Drumloop,Stage 4 BOSS,
Roland,?,,,Metal Hit,Stage 2 'Fierce Blaze',
?,?,,,Drumloop,Stage 5 BOSS,
Gradius Gaiden,,"(Released: August 28, 1997)",,,,
Live Recording: Kyoban Suzuki,Electric Guitar,,,,,
Live Recording: Norikazu,Moai Voice,,,,,
KORG,TRINITY,Programs -> BANK A,A015 Indian Duet,,Internal (Organic Fortress),
KORG,TRINITY,Programs -> BANK A,A064 Dragon's Lair,,Snowfield (Beyond The White Storm) ,
KORG,TRINITY,Programs -> BANK B,B014 Monster Lead,,SIDE STORY,
Roland,JV-1080,PR-A,006 Power Grand,,NAME ENTRY,
Roland,JV-1080,PR-A,071 D-50 Stack,,"Inside Mission, GAME OVER",
Roland,JV-1080,PR-A,073 Jimmee Dee,,Crystal (Into the crystal cage),
Roland,JV-1080,PR-A ,074 Heavenals,,GAME OVER,
Roland,JV-1080,PR-A ,079 Fantasy Vox,,"Cemetary (Requiem For Revengers), Forest (Green Inferno)",
Roland,JV-1080,PR-A ,082 Music Box,,GAME OVER,
Roland,JV-1080,PR-A ,105 Dulcimer,,Snowfield (Beyond The White Storm) ,
Roland,JV-1080,PR-A ,106 East Melody,,Moai (Ruin of Silence,
Roland,JV-1080,PR-B,048 Auto TB-303,,SIDE STORY,
Roland,JV-1080,PR-B,059 Raverborg,,Internal (Organic Fortress),
Roland,JV-1080,PR-B,065 Analog Seq,,"SIDE STORY, SKY 1, Cemetary (Requiem For Revengers), Internal (Organic Fortress)",
Roland,JV-1080,PR-B,067 TeknoSoloVox,,Forest (Green Inferno),
Roland,JV-1080,PR-B,071 Impact,,Boss Rush (Part 1),
Roland,JV-1080,PR-B,073 Tekno Hit 1,,"SIDE STORY, Select, Snowfield (Beyond The White Storm), Speed (Unkown Or Here's The Sorce Of Invaders)",
Roland,JV-1080,PR-B,078 SquareLead 2,,Boss Rush (Part 1),
Roland,JV-1080,PR-B,082 Edye Boost,,Speed (Unkown Or Here's The Sorce Of Invaders),
Roland,JV-1080,PR-B,085 Sawteeth,,"Inside Mission, Name Entry",
Roland,JV-1080,PR-B,093 Analog Lead,,Boss Rush (Part 1),
Roland,JV-1080,PR-C,013 Rugby Horn,,SIDE STORY,
Roland,JV-1080,PR-C,034 LFO Vox,,NAME ENTRY,
Roland,JV-1080,PR-C,039 Bright Str,,GAME OVER,
Roland,SR-JV80-02 Orchestral,XP-X,074 Pizzicato,,SIDE STORY,
Roland,SR-JV80-02 Orchestral,XP-X,022 Marcato Vcs1,,SIDE STORY,
Roland,SR-JV80-04 Vintage Synth,XP-X,203 P5 Sync Rush,,"SIDE STORY, Select, SKY 1",
Roland,SR-JV80-04 Vintage Synth,XP-X,139 VCO Oct Lead,,NAME ENTRY,
Stuff to Find,,,,,,
E-MU Systems,Proteus/1,,,,,
E-MU Systems,Proteus/2,,,,,
E-MU Systems,Proteus/3,,,Sitar,Forest (Green Inferno),
KORG,01/W,,,,,
Roland,SR-JV80-01 Pop,,,,,
Roland,SR-JV80-05 World,,,,,
Alesis,D4,,,,,
Gradius IV: Fukkatsu,,"(Released: February 4, 1999)",,,,
Roland,JV-1080,PR-D (GM),001 Piano 1,,,
Roland,JV-1080,PR-D (GM),056 OrchestraHit,,,
Roland,JV-1080,PR-D (GM),086 Solo Vox,,,
Gradius V,,"(Released: July 22, 2004)",,(Music by: Hitoshi Sakimoto),,
