Company/Manufacturer,Product,Path/Bank,Program,Notes,Examples,Demo
Please remember to give credit when reposting this info out of respect for the people who have found these sources. Click the link to view credits.,,,,,,
,,,,,,
,,,,,,
Table of Contents,,,,,,
,,,,,,
JUMP TO:,F-Zero,,,,,
"(Click the cell, and click the hyperlink",Star Fox,,,,,
that comes up.),Metroid,,,,,
,Animal Crossing,,,,,
,Pikmin,,,,,
,Hamtaro,,,,,
,Rhythm Heaven,,,,,
,Wii/Mii-Series Games,,,,,
,Xenoblade,,,,,
,Splatoon,,,,,
,Other,,,,,
,Console SDKs/BIOS,,,,,
,,,,,,
Section 1 - F-Zero,,,,,,
,,,,,,
F-Zero ★★★,,"(Released: November 21, 1990)",,"(Music by: Yumiko Kanki, Naoto Ishida)",,
E-MU Systems,Proteus/1,Bank 0,004 Stereo Sax,,"Mute City, Big Blue",
E-MU Systems,Proteus/1,Bank 0,014 Rock Drums 1,Part of the SNES SDK,"-Used throughout the soundtrack, drums-",
E-MU Systems,Proteus/1,Bank 0,018 El. Piano,Part of the SNES SDK,"Big Blue, Silence, Select Time, etc.",
E-MU Systems,Proteus/1,Bank 0,018 El. Piano,Part of the SNES SDK,Start Fanfare,
E-MU Systems,Proteus/1,Bank 0,021 Stereo Mutes,Beginning was cut off,SFX,
E-MU Systems,Proteus/1,Bank 0,036 Solo Trumpet,Part of the SNES SDK,"Opening, Mute City",Link
E-MU Systems,Proteus/1,Bank 0,102 Solo Lead,Part of the SNES SDK,White Land I,
KORG,M1,PROG,06 Fretless,Part of the SNES SDK,"Opening Theme, Select Time",
KORG,M1,PROG,09 Drums #1,Part of the SNES SDK,-Used throughout the soundtrack-,
KORG,M1,PROG,09 Drums #1,Very trimmed,"Red Canyon, Death Wind",
KORG,M1,PROG,11 E. Piano 1,Part of the SNES SDK,Mute City,
KORG,M1,PROG,11 E. Piano 1,Part of the SNES SDK,"Big Blue, Silence",
KORG,M1,PROG,17 Organ2,Part of the SNES SDK,"Big Blue, White Land II",
KORG,M1,PROG,46 SlapBass,Very trimmed,"Death Wind, Ending Theme",
KORG,M1,PROG,52 TubaFlugel,Part of the SNES SDK,"Mute City, Sand Ocean",
KORG,M1,PROG,56 SynthBass2,Beginning was cut off,"Red Canyon, Death Wind",
KORG,M1,PROG,61 Clav,Beginning was cut off,Ending Theme,
KORG,M1,PROG,81 Digital 2,Part of the SNES SDK,Port Town,
KORG,M1,Waveform,89 SquareWave,,Opening Theme,
Sound Ideas,Series 1000,1009-01-01,"CONSTRUCTION, PILE DRIVER","RUNNING, CONSTRUCTION","White Land II, SFX",
Sound Ideas,Series 1000,1009-36-01,"CRASH, GLASS",LIGHT BULB OR TUBE OF GLASS EXPLODING,"Death Wind, White Land II, SFX",
Yamaha,TX802,Bank A,03 ReverbBras,Part of the SNES SDK,-Used throughout the soundtrack-,
Yamaha,TX802,Bank B,51 BriteOrgan,Part of the SNES SDK,SFX,
Stuff to Find,,,,,,
? (Ensoniq?),?,,,Synth String,"Fire Field, White Land I, White Land II",
F-Zero X,,"(Released: July 14, 1998)",,"(Music by: Taro Bando, Hajime Wakai)",,
Roland,SOUND Canvas SC-88,SC-88 Map,031 000 Distortion Gt.,,Staff Roll,
KORG,01R/W,Bank A,14 Alan's Run,Amped,-Used throughout the soundtrack-,
KORG,01R/W,Bank A,46 Slap Bass,,Staff Roll,
KORG,"XPC-15 ""GM Voices""",Bank A,81 Saw Wave,Needs light confirmation,"Dream Chaser (Silence), Decide in the Eyes (Big Blue)",
KORG,"XPC-15 ""GM Voices""",Bank A,52 Choir,Needs light confirmation,Crazy Call at Cry (Port Town),
Kurzweil,K2500R,Farm -> ORGANS,007 Perc Organ,,Staff Roll,
Kurzweil,K2500R,Farm -> BASS,071 Dual E Bass,,All Need is 30 Deaths (Death Race),
Stuff to Find,,,,,,
BOSS,DR-660,,,,,
E-MU Systems,? (Proteus 1-3 Modules are likely),,,,,
F-Zero X Expansion Kit,,"(Released: April 21, 2000)",,"(Music by: Taro Bando, Hajime Wakai)",,
KORG,01R/W,Bank B,42 LeadStab 1,,Big Foot,
KORG,01R/W,Bank B,98 MonoLead 2,,Mr. EAD Ending,
Stuff to Find,,,,,,
KORG,01R/W,Bank B,37 Choir,Needs confirmation,Big Foot,
F-ZERO: Maximum Velocity,,"(Released: March 21, 2001)",,"(Music by: Masaru Tajima, Mitsuteru Furukawa, Naoto Ishida)",,
Roland,SOUND Canvas SC-88 Pro,SC-55 Map,032 000 Gt.Harmonix,,,
Roland,SOUND Canvas SC-88 Pro,SC-88 Map,036 000 FretlessBs.,,,
Roland,SOUND Canvas SC-88 Pro,SC-88 Map,037 000 Slap Bass 1,,,
Roland,SOUND Canvas SC-88 Pro,SC-88 Map,121 006 Pick Scrape,,,
Roland,SOUND Canvas SC-88 Pro,Native Map,017 025 D-50 Organ,,,
Roland,SOUND Canvas SC-88 Pro,Native Map,018 000 Organ 2,,,
Roland,SOUND Canvas SC-88 Pro,Native Map,030 002 Overdrive 3,,,
Roland,SOUND Canvas SC-88 Pro,Native Map,030 003 More Drive,,,
Roland,SOUND Canvas SC-88 Pro,Native Map,035 000 Picked Bass,,,
Roland,SOUND Canvas SC-88 Pro,Native Map,039 017 303 Sqr Bs,,,
Roland,SOUND Canvas SC-88 Pro,Native Map,049 000 Strings :,,,
Roland,SOUND Canvas SC-88 Pro,Native Map -> Drum Kit,049 ORCHESTRA,,,
F-ZERO GX,,"(Released: July 25, 2003)",,"(Music by: Hidenori Shoji, Daiki Kasho)",,
AudioNerdz,Delay Lama,,,,"BABA, THE SKULL",
Best Service,Diamond Vocals,Track 51 -> TS Various,fantasy_construction_kit,,BLOOD FALCON,
E-MU Systems,Proteus 2000,Bank 1,122 pad:Infants,,"As you choose ""3rd"" (Main Selector)",
E-MU Systems,Proteus 2000,,,,,
E-MU Systems,Proteus 2000,,,,,
Hollywood Edge,The Premiere Edition 2,"Weapons-Ancient, Hit Flesh",SwordShingLongClan PE245201,,SAMURAI GOROH,Link
IK Multimedia,SampleTank XL,Loop,Ambient-Dub 2 120 bpm,"C2, E2, D3/F4",LILY FLYER,
IK Multimedia,SampleTank XL,Loop,Techno 4 150 bpm,E4,For The Glory -feat. Mutecity's Theme- (Mute City),
Native Instruments,FM7,Factory -> Bank 2 -> 1-32,1 Exciting,,PICO,
Native Instruments,FM7,Factory -> Bank 2 -> 1-32,23 Native Percussion,,DAI SAN GEN,
Roland,SR-JV80-05 World,XP-X,244 Voice Set,"Japanese ""YOOOO""",SAMURAI GOROH,
Sonic Foundry,Methods of Mayhem - Industrial Toolkit,Nasty,Throatline 02B 43-03,,Osc-Sync Carnival (Lightning),
Sonic Foundry,On the Jazz Tip,Flutes,Flute 63-01,,Shotgun Kiss (Casino Palace),
Sonic Foundry,On the Jazz Tip,Saxes,Sax 54-11,,Shotgun Kiss (Casino Palace),
Spectrasonics,Stylus,86-Scortched Earth,86-Scortched Earth,F4,One Ahead System (Cosmo Terminal),
Spectrasonics,Stylus,100-OBliged,100-OBliged a,,BEASTMAN,
Spectrasonics,Stylus,116-Tikaboom a,116-Tikaboom a,,KATE ALEN,
Spectrasonics,Stylus,125-Cooked,125-Cooked a,,Stereo Signal (Point Result),
Spectrasonics,Stylus,131-Lulu,131-Lulu a,,Mr. EAD,
Spectrasonics,Stylus,132-Bristolized,132-Bristolized b,Added High Pass filter,Hurrah for the Champion (Winning Run),
Spectrasonics,Stylus,138-Miami,138-Miami c,,KATE ALEN,
Spectrasonics,Stylus,138-Miami,138-Miami e,,KATE ALEN,
Spectrasonics,Stylus,141-Adrenaline,141-Adrenaline a,,SAMURAI GOROH,
Spectrasonics,Stylus,170-Blowout,170-Blowout a,,SAMURAI GOROH,
