Company/Manufacturer,Product,Path/Bank,Program,Notes,Examples,Demo
Please remember to give credit when reposting this info out of respect for the people who have found these sources. Click the link to view credits.,,,,,"Sheet reformatted by: daypeecone, dumperghost, eph, IrisRose, Mudstep, Tori",
This sheet is for any findings for games that do not fit into the other tabs. Please remember the rules!,,,,,,
,,,,,,
Table of Contents,,,,,,
,,,,,,
JUMP TO:,Activision Blizzard,Kemco,Team 17,,,
"(click the cell, and click the hyperlink",Arc System Works,LEGO Interactive,Team Reptile,,,
that comes up),Arika,Microsoft / Xbox,Team Shanghai Alice,,,
,Artdink,miHoYo / HoYoverse,The Behemoth,,,
,Atari SA / Hasbro Interactive,Monolith Soft,THQ,,,
,Bandai Namco,Natsume,Tomy,,,
,Disney Interactive Studios,Nihon Falcom,Ubisoft,,,
,Electronic Arts (EA),Ocean Software,Valve Software,,,
,Epic Games,Philips Interactive Media,Warner Bros. Interactive Entertainment,,,
,French Bread,PlatinumGames,WayForward,,,
,FromSoftware,Qute,ZeniMax Media,,,
,Game Arts,Rare,Misc. Games,,,
,GAME FREAK,Software Creations,Console & OS / Games Related,,,
,Genius Sonority,Sony,,,,
,Grasshopper Manufacture,Spike Chunsoft,,,,
,Intelligent Systems,Sunsoft,,,,
,Interplay Entertainment,Take-Two Interactive,,,,
,,,,,,
Activision Blizzard/Vivendi Universal/Sierra Entertainment,,,,,,
,,,,,,
Diablo,,"(Released: December 31, 1996)",,(Music by: Matt Uelmen),,
Hollywood Edge,The Premiere Edition 1,"Human Voices & Sounds, Screams",Screams7WomanThree PE134101,,Cathedral,
Hollywood Edge,The Premiere Edition 1,"Baby, Baby",BabyWhinesCriesHuf PE145601,,Catacombs,
Tony Hawk's Pro Skater,,"(Released: September 29, 1999)",,(Music by: Brian Bright),,
Sample: Gladys Knight,Who Is She (And What Is She To You),,Timestamp 0:00,Drums,Menu,
Sample: Black Uhuru,Sponji Reggae,,Timestamp 0:00,Drum Fill,Menu,Hos
Data Becker & Masterbits,"Sound Clips 10,000",CD 3 -> ONESHOTS -> SCRATCHE,3SC40002,,Menu,
EastWest & Chronic Music,L.A. Riot 3,CD 1 -> Track 06 - Dope Piano 91 bpm -> TS 0:52,guitar,,Menu,
EastWest & Chronic Music,L.A. Riot 3,CD 1 -> Track 09 - Inhale 86 bpm -> TS 1:02,guitar,,Menu,
Ninja Tune,Coldcut - Playtime,BASS,18FUNK,,Menu,
Ninja Tune,Coldcut - Playtime,DRUMS,1HUMBOX1,,Menu,
Ninja Tune,Coldcut - Playtime,DRUMS,808SHAK,,Menu,
Sonic Foundry,ACID 1.0 Program Loops,Keyboards -> Organ,Chopper,,Menu,
Sonic Foundry,ACID 1.0 Program Loops,Synthesizers -> Chords & Stabs,Blaster 1,,SFX (Special Trick),
Toy Story 2: Buzz Lightyear to the Rescue,,"(Released: November 17, 1999)",,"(Music by: Andy Blythe, Marten Joustra)",,
Live Recording: Blythe and Joustra,Clarinet,,,,Mini Race,
Best Service,Advanced Orchestra,CD 4 -> Partition F -> 01 FH LG FF,FH LONG FF,,"Title Screen, Andy's House",
Best Service,Advanced Orchestra,CD 4 -> Partition F -> 10 FH GL SOR,FH GLISS SOR,,Al's Space Land,
E-MU Systems,Proteus/2,Bank 0,028 Clarinet,,"Title Screen, Andy's House, Level Results",
E-MU Systems,Proteus/2,Bank 0,050 Timpani,,"Andy's House, Construction Yard",
Roland,JV-1080,PR-D (GM),047 Harp,,Andy's House,
Stuff to Find,,,,,,
EastWest & Masterbits,Peter Siedlaczek's Orchestra,,,Strings,"Andy's House, Al's Space Land",
Yamaha,?,,,Piano,Alleys and Gullies,
Spider-Man (PSX),,"(Released: August 30, 2000)",,"(Music by: Tommy Tallarico, Howard Ulyate)",,
Sounds Good,Methods of Mayhem,Track 13 - Drumb Beats 1 -> Sample 2,BEAT 02A 100 S,,Sewer Entrance / Speed Training 2,
Sounds Good,Methods of Mayhem,Track 32 - Grind Control 2 -> Sample 3,RIFF 13 120 E M,Appears in SF's demo samples,Spider-Man vs. Venom,
Zero-G,Chemical Beats,Track 12 -> Sample 1,FX Loops 1-5 104 bpm,,Training (Survival Mode - Combat Room),
Zero-G,Chemical Beats,Track 59 -> Sample 3,Drum Loops B 1-5 112 bpm,,Target Practice / Underwater Trench,
Zero-G,Jungle Warfare,Track 12 - STRAIGHT LOOPS -> Sample 1,The Break,,Spider-Man vs. Carnage Doctor Octopus,
Tony Hawk's Pro Skater 2,,"(Released: September 19, 2000)",,(Music by: Brian Bright),,
Sounds Good,Bill Laswell's Sample Material,Track 12 -> AmbiGroove 2,Sample 3,,Menu,
The Simpsons Wrestling,,"(Released: March 23, 2001)",,(Music by: Christopher Tyng),,
AMG & Hit Music,Norman Cook - Skip to my Loops,Track 17 - 114-115 BPM -> TS 0:00,Beat with No Name - 114 BPM,,Bowlarama,
AMG & Hit Music,Norman Cook - Skip to my Loops,Track 17 - 114-115 BPM -> TS 0:19,I thought better - 114 BPM,,Bowlarama,
AMG & Hit Music,Norman Cook - Skip to my Loops,Track 17 - 114-115 BPM -> TS 1:06,Stacatto Bounce - 115 BPM,,Bowlarama,
AMG & Hit Music,Norman Cook - Skip to my Loops,Track 50 - Misc. FX -> TS 0:00,Pulse Loop,,Bowlarama,
AMG & Hit Music,Norman Cook - Skip to my Loops,Track 50 - Misc. FX -> TS 0:15,Fake Scratch 1,,Bowlarama,
AMG & Hit Music,Norman Cook - Skip to my Loops,Track 50 - Misc. FX -> TS 0:18,Tape Stop,,Bowlarama,
