Company/Manufacturer,Product,Path/Bank,Program,Notes,Examples,Demo
Welcome to the NEWER VGM Sound Sources spreadsheet! This spreadsheet aims to document the sources of sounds used in various video game soundtracks. You can check out more resources down below.,,,,,,
"We only ask that you do not claim this information as your own. This information is freely available for anyone to share and discuss: 
For crediting, this documentation is managed by the VGM Resources community and the various communities related to it.",,,,,,
,,,,,,
Finder's Treasure Chest,,,,,,
,,,,,,
"Everything you'll need for video game and video game music research. If you are an editor, scroll down to find some guidelines and rules on how to edit the spreadsheet!",,,,,,
,,,,,,
Community VGM Sources / Spreadsheets,,,,,,
G-Boy's VGM Instrument Sources,,G-Boy's Video Game Instrument Sources,,Created by G-Boy,,
VGM Instrument Source Encyclopedia,,AceKombat's VGM Instrument Source documentation,,Created by AceKombat,,
The Rare Sample Project,,Samples used in Rareware games (very outdated),,Created by Tony Grayson,,
Pikmin Sample Origins,,Samples used in Pikmin games,,"Created by Waffles ""Waf""",,
Odyssey Audio Spreadsheet,,"Sounds & Patches used in the original Bungie games (Halo, Myth, Oni, Septerra Core, Marathon)",,"Created by Speedy, Neo Te Aika, Booey, meowsandstuff & AtlyxMusic",,
Rhythm Game Sample Sources,,"Samples used in beatmania, Dance Dance Revolution, Pump It Up, and other rhythm games",,Created by Kabulent,,
Fangame VGM Findings Sheet,,Sounds used in original VGM used in Fangames,,Created by Nuclear,,
Silent Hill Findings Spreadsheet,,Sounds used in the Silent Hill series,,Created by SynaMax,,
Metroid Prime Synth Patch List,,Patches used in the Metroid Prime series,,Created by SynaMax,,
Super Mario Sound Sources (Detailed),,Detailed Super Mario sound sources for all main series titles with individual track listings.,,Created by Makoto & Tori. Maintained by lunarbunten and others,,
Pokémon Sound Sources (Detailed),,"More detailed version of the sound sources used in Pokémon, with specific track listings. (WIP)",,"Created by Mudstep, recordreader, Kurausukun, Tori, and VGM Resources",,
Kirby Sound Sources (Detailed),,A detailed version of the sound sources used in the Kirby series (WIP),,Created by ashy,,
Final Fantasy Sound Sources (Detailed),,"More detailed version of the sound sources used in Final Fantasy, with specific track listings. (WIP)",,"Created by Mudstep, OKayDoKay. Maintained by Mudstep, Aged String, and others.",,
Square Enix Sound Sources (Detailed),,More detailed version of the sound sources used in other Square Enix games. (WIP),,Created by Mudstep,,
Dragon Quest Sound Sources (Detailed),,"More detailed version of the sound sources used in Dragon Quest, with specific track listings. (WIP)",,Created by Mudstep,,
SPLATOON Sample Spreadsheet,,Samples used in the Splatoon series.,,Created by Natah_DN,,
The Toby Fox Sample Sheet,,Samples used in VGM and other pieces by Toby Fox,,Maintained by Jamangar & ashy,,
Touhou + Fanmade Works Sound Sources,,Sounds used in the Touhou series and Touhou Fangames,,"Created by rowwuk, Makoto, Kale Hakaido, Kaioshi K, EikiShiki",,
HOYO-MiX Sound Sources,,Sounds used in games made by miHoYo/HoYoverse,,"Created by rowwuk, headshotsniper, Natah_DN",,
FromSoftware SoulsBorne SoundSources,,Sounds used in Soulsborne/Souls-Like games made by FromSoftware,,"Created by rowwuk, Spektron, AstraProc, bbe4",,
NieR & Drakengard Sound Sources,,Sounds used in NieR and Drakengard games,,"Created by rowwuk, SlyHikari03, Seshpai, AstraProc",,
Persona Sound Resource,,Sound sources for the Persona series.,,Created by Arctic,,
SoundTeMP Sound Sources & Information Compendium,,Sounds used in VGM by the SoundTeMP team and the respective studios of its members ,,Created by Thelostrune,,
Mega Man Series Sources,,Instruments and sound effects used in Mega Man games,,Created by Jack Walker,,
Mega Man 7 sample sources,,Samples used in Mega Man 7,,Created by HaruMKT & MelonadeM,,
ShadowMan 1999 Samples,,Samples used in ShadowMan,,Created by gilamasan,,
Rayman 2 OST Samples and Instruments,,Samples and instruments used in Rayman 2,,Created by Robin & Lorenzo,,
Middens/Gingiva/WTCTRK sources,,Sources of sounds used in the Middens series,,Created by nictophobiia,,
Laura Shigihara Sample List,,Sounds used in the game Plants vs. Zombies,,Created by DeathZman,,
Sonic CD Past Sheet,,Samples used in Sonic CD's PCM sequenced audio tracks,,Created by CollisionChaosRadio,,
Smash Bros. & Other Sheet,,More detailed version of the sound sources used in the Super Smash Bros. series,,Created by a person who wishes to remain anonymous,,
SNES SDK Sources Sheet,,Sources of sounds from the SNES SDK,,"Created by OKayDoKay, CollisionChaosRadio, and MilonLuxy",,
Mother Series Sample Sheet,,Samples used in the MOTHER / EarthBound games.,,Created by TheJosh347,,
THE TOUR DE PIZZA SOUND SHEET,,Samples used in Pizza Tower and Woon,,"Maintained by daypeecone, Hopeful Spread, bruj, and modik",,
Chiptune Brony's VGM Sources,,"Instruments used in video games, Pachinko machines, audiobooks, etc. (WIP)",,Created by ChiptuneBrony,,
Homestuck & Misc Toby Fox Sound Sources,,Sound sources for Homestuck and various other Toby Fox things,,Created by Pascal van den Bos,,
The Legend of Zelda Sample Sheet,,Samples used in the Legend of Zelda series (WIP),,Created by Camac,,
Mario Kart Series Sound Sources,,A more detailed version of the sound sources used in the Mario Kart series. (WIP),,Created by Colou & ArieJuice,,
PSIFox's Shoot 'em up Sound Sources,,Instruments and Samples used In Shmups & Bullet Hell Games (WIP),,Created by PSIFox,,
The Q Entertainment/Enhance Sound Sources ,,Instruments and Samples used In Q Entertainment/Enhance Games (WIP),,Created by PSIFox & C-Monkey,,
Distance Sample Sheet,,"Samples, Instruments and DAWs used in the indie game Distance specifically.",,Created by Lumiflag,,
