Company/Manufacturer,Product,Path/Bank,Program,Notes,Examples,Demo
Please remember to give credit when reposting this info out of respect for the people who have found these sources. Click the link to view credits.,,,,,,
,,,,,,
,,,,,,
Table of Contents,,,,,,
,,,,,,
JUMP TO:,Megami Tensei,,,,,
"(Click the cell, and click the hyperlink",Puyo Puyo,,,,,
that comes up.),Daytona USA,,,,,
,Virtua Series,,,,,
,SEGA Rally,,,,,
,NiGHTS Series,,,,,
,Persona,,,,,
,The House of the Dead,,,,,
,Space Channel 5,,,,,
,Jet Set Radio,,,,,
,Super Monkey Ball,,,,,
,Phantasy Star Online,,,,,
,Yakuza,,,,,
,Trauma Center,,,,,
,Etrian Odyssey,,,,,
,Valkyria Chronicles,,,,,
,Rhythm Thief,,,,,
,Other,,,,,
,,,,,,
Section 1 - Megami Tensei,,,,,,
,,,,,,
Shin Megami Tensei (SFC),,"(Released: October 30, 1992)",,,,
KORG,M1,PROG,01 Piano 16',,Title,
KORG,M1,PROG,08 PanFlute,,"Mansion of the Four Heavenly Kings, Ruins, Epilogue, Ending, Pascal",
KORG,M1,PROG,09 Drums #1,,-Used throughout the soundtrack-,
KORG,M1,PROG,15 Vibes,,"Dream, Neutral, Terminal, Ending",
KORG,M1,PROG,22 SoloSax,,Shop,
KORG,M1,PROG,23 Choir,,-Used throughout the soundtrack-,
KORG,M1,PROG,33 Bottles,,"Home, Kichijoji, Shopping Arcade, Game Over, Epilogue",
KORG,M1,PROG,47 PipeOrgan,,"Mansion of Heresy, Fusion",
KORG,M1,PROG,53 VoiceWave,,Shop,
Roland,SN-U110-07 Electric Guitar,,07-050 DSG F,,"Dream, Battle, Level Up, Ruins, Ending",
Roland,SN-U110-07 Electric Guitar,,07-055 DSG -5TH 2,,"Embassy, Terminal, Battle, Boss Battle, Cathedral",
Stuff to Find,,,,,,
KORG,M1,PROG,76 AnalogBass,,-Used throughout the soundtrack-,
?,?,,,Piano? Maybe guitar?,"Home, Pascal, Embassy, Ruins",
?,?,,,Saw wave-like sample,"Enemy Appearance, Boss, Cathedral",
?,?,,,Piano-like bass,Kichijoji,
?,?,,,Instrument used as muted guitar and then lead,Ginza,
?,?,,,Lead sound,Ginza,
Shin Megami Tensei If... (SFC),,"(Released: October 28, 1994)",,,,
KORG,M1,PROG,08 PanFlute,,"President's Office, Makai Town",
KORG,M1,PROG,15 Vibes,,"Title, Epilogue",
KORG,M1,PROG,22 SoloSax,,Classroom,
KORG,M1,PROG,23 Choir,,-Used throughout the soundtrack-,
KORG,M1,PROG,33 Bottles,,Ending,
KORG,M1,PROG,47 PipeOrgan,,"Fusion, Battle",
KORG,M1,PROG,53 VoiceWave,,Classroom,
Roland,SN-U110-07 Electric Guitar,,07-055 DSG -5TH 2,,-Used throughout the soundtrack-,
Roland,SOUND Canvas SC-55,Capital,031 DistortionGt.,,Staff Roll,
Roland,SOUND Canvas SC-55,Capital,034 Fingered Bs.,,"Important Meeting, Battle, Houshoku Kai, Disco, Shitto Kai",
Roland,SOUND Canvas SC-55,Capital,049 Strings,,"Danger, Devil Appears, Dimensional Portal, Disco, Shitto Kai, Heroine",
Roland,SOUND Canvas SC-55,Capital,055 SynVox,,"Title, Data Load Screen, Important Meeting, Between the Seals, etc.",
Roland,SOUND Canvas SC-55,Capital,057 Trumpet,,Epilogue,
Roland,SOUND Canvas SC-55,Drum Set,001 STANDARD,,-Used throughout the soundtrack-,
Megami Tensei Gaiden: Last Bible III,,"(Released: March 4, 1995)",,,,
Best Service,Classical Choir ,Track 63 - effects -> TS 0:24,whistle,unis. (C),"Brantika, Sodom",
E-MU Systems,Ultra Proteus,Instruments,139 VbHarmonica,,"Memories, Field I, Val Ship, Devil City Usher",
E-MU Systems,Ultra Proteus,Bank 0,100 Banjo,,"Name Entry, Quarrel",
E-MU Systems,Ultra Proteus,Bank 1,091 English Horn,Multiple notes sampled,"Bullton Tower, Red Owl, Megalopolis, North Lake, Underworld Town",
E-MU Systems,Ultra Proteus,Bank 1,113 Accordion,Attack was cut off,"Hometown, Hill",
E-MU Systems,Ultra Proteus,Bank 1,125 Bagpipe,,"Boss Battle 1, Dragon's Fang, Sky Wing, Field Theme 2, Battle 3",
KORG,M1,PROG,23 Choir,,"Opening Title, Memories, Light, Before Battle, Dragon Fang, Sadness, Mochowa, Song of Mina, Battle IV, Battle V, Ending A, Ending B",
Stuff to Find,,,,,,
E-MU Systems,Ultra Proteus,,Piano,To do: find exact patch - Multiple notes sampled,"Harry's Theme, Danger, Sadness, Field Theme 2",
E-MU Systems,Ultra Proteus,,Vibraphone,To do: find exact patch,"Dance, Shark Ship",
E-MU Systems,Ultra Proteus,,Percussive Organ,To do: find exact patch,"Dinner, Megalopolis",
E-MU Systems,Ultra Proteus,,Pizz Basses,To do: find exact patch,"Load Game, Dinner, Pumpkin Pom, Lake II, Devil City Usher",
E-MU Systems,Ultra Proteus,,French Horn,To do: find exact patch,"Flight of Birds, Shark Ship",
E-MU Systems,Ultra Proteus,,Harmon Mute,To do: find exact patch,"Flight of Birds, Dance, Megalopolis",
E-MU Systems,Ultra Proteus,,Sax,To do: find exact patch - Multiple notes sampled,"Yonatan's Theme, Hill, Val Ship, Red Owl",
Roland,R-70,,Drums,"Brush Snare, Low Tom, Ride Cymbal","Hometown, Hill, Underworld Town",
?,?,,Synth Marimba,,"Dragon's Fang, Felest Tower",
?,?,,Leslie Organ,,"Hometown, Dinner, Pumpkin Pom, Quarrel",
?,?,,Six String Guitar,,Name Entry,
?,?,,Steel Guitar,,"Load Game, Hometown",
?,?,,Steel Guitar Pad,,Field Theme 1,
?,?,,Muted Guitar,,"Dragon's Fang, Garfy Service",
?,?,,Strat Guitar,,"Val Ship, Sky Wing",
?,?,,Funk Guitar Chord,,"Yontan's Theme, Garfy Service",
?,?,,Distorted Guitar,,"Boss Battle 1, Felest Tower",
?,?,,Rock Guitar Chord & Chug,,"Battle 3, Battle with Arec",
?,?,,Fingered Bass,,-Used throughout the soundtrack-,
?,?,,Synth Bass,,"Bullton Tower, Underworld Forest, Arec's Revenge, Battle with Arec, Last Battle",
?,?,,Distorted Square Bass,,"Flight of the Birds, Boss Battle 2",
?,?,,Harp,,Mochoa,
?,?,,Octave Strings Section,,Felest Tower,
?,?,,Trumpet,,Field Theme 2,
?,?,,Attack Flute,,"To Underworld, Harry's Theme",
?,?,,Piccolo,,Village,
?,?,,Whistle,,"Brantika, Sodom",
?,?,,Synth Calliope,,Field Theme 2,
?,?,,Music Box Bell,,"Brantika, Bad News, Underworld Forest",
?,?,,Jaw Harp Synths,,"Shark Ship, Battle with Arec",
?,?,,Synth Chord,,Battle with Arec,
?,?,,Hip Hop Percussion,"Kick, Snare","Flight of the Birds, Val Ship, Red Owl, Shark Ship, Garfy Service, Felest Tower",
?,?,,Analog Percussion,"909 Kick, 909 Snare, 808 Snare, 909 Hat, Clave, Tom","Bullton Tower, Sodom, Underworld Forest, Battle with Arec",
Devil Summoner: Soul Hackers,,"(Released: November 13, 1997)",,,,
Apple,Text to Speech,System Voice -> Novelty,Albert,,Opening Music,
Roland,SOUND Canvas SC-88,,,,,
Zero-G,Nostalgia,15 Atmosferics,Snowfall,,"Epilogue 2, Staff Roll",
Shin Megami Tensei (Sony Playstation 1),,"(Released: May 31, 2001)",,,,
Roland,SOUND Canvas SC-88 Pro,Native Map,085 008 P5 Sync Lead,,"Battle! (Normal), Encounter! (Ginza)",
Roland,SOUND Canvas SC-88 Pro,Native Map -> Drum set,017 POWER,,"Battle (Normal), Level Up, Ginza",
KORG,M1,PROG,23 Choir,,"Law, Chaos",
Shin Megami Tensei II (Sony Playstation 1),,"(Released: March 20, 2002)",,,,
