Server Member (Discord ID),Model,Observations,Verified Up-to-date
"Welcome to the Server Equipment section! This section documents who in the VGM & Other Instrument Sources Discord has hardware, and what exact hardware.",,,
"This list catalogs users with hardware who are willing to provide demos. If you wish to be added to this list, please contact a sheet editor with proof of hardware ownership.",,,
"It's understandable if you aren't always available to demo for others, but if you are consistently unavailable, you will be removed.",,,
"Please do not DM these users expecting complete recordings of tracks or deep-sampled patches, as they are time consuming to produce. Limit it to small demos of specific sounds.",,,
,,,
Table of Contents,,,
,,,
JUMP TO:,Company,,
"(click the cell, and click the hyperlink that comes up)",AKAI,,
,Casio,,
,E-MU,,
,Kawai,,
,Korg,,
,Kurzweil,,
,Oberheim,,
,Quasimidi,,
,Roland / Edirol,,
,Sequential,,
,Yamaha,,
,,,
,,,
,,,
,,,
AKAI,,,
,,,
S3000 (series),,,
nuclear_1 (339496500507705346),CD3000,5MB Sample RAM,Yes
,,,
,,,
Alesis,,,
,,,
D4,,,
kabulentnought (155452288423559168),D4,,Yes
thorndust (967992431264030760),D4,,Yes
,,,
Casio,,,
,,,
,,,
Clavia,,,
,,,
Nord Lead 2,,,
kabulentnought (155452288423559168),Nord Rack 2,,Yes
,,,
E-MU,,,
,,,
Morpheus,,,
Chimeratio (100771178586591232),Morpheus,,Yes
kabulentnought (155452288423559168),Morpheus,,Yes
Orbit 9090,,,
kabulentnought (155452288423559168),Orbit 9090 V2,Upgraded EPROM,Yes
Planet Phatt,,,
Nifara (832114148267655209),Planet Phatt,,Yes
Proteus/1 (incl. XR),,,
chilliusvgm (141654193944395776),Proteus/1 XR,,Yes
nuclear_1 (339496500507705346),Proteus/1 XR,,Yes
spacefanatic64 (487820479521095680),Proteus/1,,Yes
xeinafa (630195632237182997),Proteus/1,,Yes
Proteus/2 (incl. XR),,,
imac8 (713446444476137560),Proteus/2,,Yes
spacefanatic64 (487820479521095680),Proteus/2,,Yes
Proteus/3 (incl. XR),,,
spacefanatic64 (487820479521095680),Proteus/3 XR,,Yes
Proteus 2000 (series),,,
highcpu.stin (172182305362804736),Proteus 2000,ROMs: Composer / Protozoa,Yes
kabulentnought (155452288423559168),Proteus 2000,ROMs: Composer / Vintage Pro,Yes
xeinafa (630195632237182997),Proteus 2000,ROMs: Composer,Yes
PSIFox (966479370594185226),Proteus 2000,ROMs: Composer,Yes
Proteus FX,,,
Gigabyte66 (404061672295235584),Proteus FX,,
mikantsumikiwi (145397807220654080),Proteus FX,,Yes
UltraProteus,,,
imac8 (713446444476137560),UltraProteus,Expansion Card: #9214 Dance/Techno,Yes
Vintage Keys,,,
Chimeratio (100771178586591232),Vintage Keys Plus,,Yes
,,,
,,,
GEM,,,
,,,
nuclear_1 (339496500507705346),GEM S2,,Yes
,,,
,,,
Ensoniq,,,
,,,
ESQ1,,,
mocha_aura (451135702227222529),ESQ1,,Yes
SD-1,,,
Chimeratio (100771178586591232),SD-1,,Yes
SQR,,,
mocha_aura (451135702227222529),SQR Plus,,Yes
SQ1,,,
chilliusvgm (141654193944395776),SQ1,,Yes
MR,,,
irikachana (533405504731480064),MR-RACK,,Yes
goatsoup.mp3 (229370508859146250),MR-76,,Yes
,,,
,,,
Kawai,,,
,,,
K4 (series),,,
,,,
K5 (series),,,
Chimeratio (100771178586591232),K5,,Yes
,,,
Korg,,,
,,,
01/W (series),,,
PSIFox (966479370594185226),01/W,Outputs need some repairs,Yes
chilliusvgm (141654193944395776),01/WFD,,Yes
highcpu.stin (172182305362804736),01/WFD,,Yes
Nifara (832114148267655209),01/WFD,"Expansions: XSC-2S ""Orchestral""",Yes
nuclear_1 (339496500507705346),01/WFD,,Yes
spacefanatic64 (487820479521095680),01/W ProX,,Yes
chilliusvgm (141654193944395776),01R/W,,Yes
mocha_aura (451135702227222529),01R/W,"Expansions: XPC-11 ""Sound Alternatives"" XPC-12 ""Wave Shapes"" XPC-13 ""Pop Performance"" XPC-15 ""GM Voices"" XSC-2S ""Orchestral"" XSC-3S ""Piano/Keyboard"" ",Yes
mudstep (363135259291942922),01R/W,,Yes
irikachana (533405504731480064),01R/W,,Yes
thorndust (967992431264030760),03R/W,,Yes
microKORG,,,
slyhikari03 (337018792104296448),microKORG,,Yes
microKORG 2,,,
Nifara (832114148267655209),microKORG 2,,Yes
minilogue,,,
chickbock3 (612682225057660931),minilogue,,Yes
Trinity (series),,,
criticalhealth (183670950997262336),TR-Rack,,No
highcpu.stin (172182305362804736),TR-Rack,,Yes
mikantsumikiwi (145397807220654080),TR-Rack,,Yes
nuclear_1 (339496500507705346),TR-Rack,,Yes
xerxes_j (311970793183641600),TR-Rack,,Yes
PSIFox (966479370594185226),TRINITY plus,w/TRI-SOLO,Yes
thorndust (967992431264030760),TRINITY pro,w/ PBS-TRI,Yes
TRITON (Series),,,
slyhikari03 (337018792104296448),TRITON-RACK,,Yes
WAVESTATION (series),,,
kabulentnought (155452288423559168),WAVESTATION A/D,"Needs new backlight, but has MCR-04 card to save patches",Yes
,,,
Kurzweil,,,
,,,
K1000 (series),,,
imac8 (713446444476137560),1000 GX Guitar Expander,,Yes
K1200 (series),,,
mudstep (363135259291942922),K1200 Pro I,,Yes
K2000 (series),,,
mikantsumikiwi (145397807220654080),K2000J,(Needs repair) 16MB Sample RAM / Expansion ROM: Orchestral,Yes
Chimeratio (100771178586591232),K2000R,v3.87 / 32MB Sample RAM / 760KB P/RAM / Contemporary and Orchestral ROM expansions / Sampler,Yes
imac8 (713446444476137560),K2000R,"SCSI CD Drive / 32MB Sample RAM / Expansion ROMs: Contemporary, Orchestral",Yes
kabulentnought (155452288423559168),K2000S,v3.87J / 64MB Sample RAM / HDC-1 Internal Hard Drive kit / Contemporary and Orchestral ROM expansions / 760KB P/RAM / SCSI2SD / Sampler (built-in) / maybe some chrome trim,Yes
K2500 (series),,,
slyhikari03 (337018792104296448),K2500R,,Yes
MistyRockandRoll (229727179011784705),K2500X,"64MB Sample RAM / Orchestral, Contemporary, and Piano ROMs / SCSI2SD",Yes
,,,
,,,
Oberheim,,,
,,,
,,,
chickbock3 (612682225057660931),Matrix-1000,,Yes
,,,
,,,
Quasimidi,,,
,,,
Quasar,,,
Nifara (832114148267655209),Quasar,"w/ Techno, Rave and Electronic Sounds and Hardcore expansions",Yes
Polymorph,,,
Nifara (832114148267655209),Polymorph,,Yes
Rave-O-Lution 309,,,
Nifara (832114148267655209),Rave-O-Lution 309,,Yes
Sirius,,,
Nifara (832114148267655209),Sirius,"""BPM Knob"" fucks up occasionally Other than that its all good",Yes
The Raven,,,
kabulentnought (155452288423559168),The Raven,w/ RavenMAX card,Yes
,,,
,,,
Roland / Edirol,,,
,,,
D-10 / D-110 / D-20,,,
Tob_ii (570324925248700432),D-110,,Yes
Fantom-X (series),,,
ariejuice (863636814496661504),Fantom-X7,"Firmware Ver 2.02, Audio Track Expansion / SRX-01 Dynamic Drum Kits, SRX-06 Orchestra Expansion, SRX-07 Ultimate Keys, SRX-09 World Collection",Yes
lunarbunten (183440685544767504),Fantom-X8,"Firmware Ver 1.07, 512MB DIMM Sample RAM",Yes
mudstep (363135259291942922),Fantom-X8,"Firmware Ver 2.02, Audio Track Expansion / SRX-06 Orchestra Expansion / SRX-01 Dynamic Drum Kits",Yes
chilliusvgm (141654193944395776),Fantom-XR,Firmware Ver. 2.02,Yes
colou (333710766706524167),Fantom-XR,,Yes
highcpu.stin (172182305362804736),Fantom-XR,"Firmware Ver. 2.00, Sample Tools Expansion",Yes
inopmusic (231107373232685056),Fantom-XR,"Firmware Ver. 2.00, Sample Tools Expansion",Yes
irikachana (533405504731480064),Fantom-XR,"Firmware Ver. 2.00, Sample Tools Expansion",Yes
keppernito (1279363027992580129),Fantom-XR,Firmware Ver. 1.0.0,Yes
PSIFox (966479370594185226),Fantom-XR,Firmware Ver. 2.00,Yes
rowwuk (318826822550814720),Fantom-XR,"Firmware Ver. 2.02, Sample Tools Expansion, SRX-07 Ultimate Keys, SRX-12 Classic EPs, SRX-97 Jon Lord's Rock Organ",Yes
slyhikari03 (337018792104296448),Fantom-XR,Firmware Ver 2.00 ,Yes
xeinafa (630195632237182997),Fantom-XR,"Firmware Ver. 2.00, Sample Tools Expansion, SRX-01 Dynamic Drums",Yes
xerxes_j (311970793183641600),Fantom-XR,,Yes
INTEGRA-7,,,
highcpu.stin (172182305362804736),INTEGRA-7,Sweetwater Exclusive Thumb Drive (has all the AXIAL expansions),Yes
slyhikari03 (337018792104296448),INTEGRA-7,,Yes
FA (Series),,,
Tob_ii (570324925248700432),FA-06,"Firmware 2.03, Can load all Axial EXP Cards. (As of writing, Exp-06 and Exp-07 are loaded.)",Yes
JD-800,,,
mocha_aura (451135702227222529),JD-800,,Yes
JD-990,,,
seil (415262949993873408),JD-990,Hover for more information.,No
JP-8000 / JP-8080,,,
kabulentnought (155452288423559168),JP-8080,,Yes
JV-80 / JV-880 / JV-90 / JV-1000,,,
seil (415262949993873408),JV-80,"Expansion Board: SR-JV80-04 Vintage Synth / PCM Cards: PCM1-01 Piano Selection, PCM1-03 Rock Drums, PCM1-04 Grand Piano, PCM1-08 Country/Folk/Bluegrass",No
chickbock3 (612682225057660931),JV-880,,Yes
nuclear_1 (339496500507705346),JV-90,Expansion Boards: SR-JV ROMulator (Can demo JV-80 patches as the JV-90 has all of the JV-80's original preset A and B banks),Yes
JV-1080 / JV-2080,,,
irikachana (533405504731480064),JV-1010,"Expansion boards: SR-JV80-01 Pop, SR-JV80-02 Orchestral, SR-JV80-06 Dance, SR-JV80-07 Super Sound Set, SR-JV80-09 Session, SR-JV80-10 Bass & Drums",Yes
chilliusvgm (141654193944395776),JV-1080,,Yes
mikantsumikiwi (145397807220654080),JV-1080,"Expansion boards: SR-JV80-01 Pop, SR-JV80-02 Orchestral, SR-JV80-04 Vintage Synth, SR-JV80-05 World",Yes
Tob_ii (570324925248700432),JV-2080,"Expansion Boards: SR-JV80-09 Session, SR-JV80-10 Bass & Drum, SR-JV80-11 Techno Collection, SR-JV80-19 House Collection",Yes
xeinafa (630195632237182997),JV-2080,Expansion boards: SR-JV80-09 Session,Yes
MC-303,,,
kabulentnought (155452288423559168),MC-303,,Yes
nifara (832114148267655209),MC-303,,Yes
R-8 / R-8M/ R-8MKII,,,
imac8 (713446444476137560),R-8M,"Expansion Cards: SN-R8-01 Contemporary Percussion, SN-R8-02 Jazz Brush, SN-R8-03 Sound Effects, SN-R8-05 Jazz, SN-R8-06 Ethnic Percussion, SN-R8-07 Mallet",Yes
S-50 / S-550,,,
imac8 (713446444476137560),S-550,,Yes
S-750 / S-760 / S-770 / SP-700,,,
kabulentnought (155452288423559168),S-760,"32MB Sample RAM, OP-S760-01 Video expansion, etc. (thanks liam!), RaSCSI is busted however",Yes
mudstep (363135259291942922),SP-700,"32MB Sample RAM, BlueSCSI",Yes
SC-88 / SC-88 Pro / SC-880 / SK-88 Pro,,,
mikantsumikiwi (145397807220654080),SC-88 Pro,,Yes
mocha_aura (451135702227222529),SC-88 Pro,,Yes
mudstep (363135259291942922),SC-88 Pro,,Yes
inopmusic (231107373232685056),SK-88 Pro,,Yes
SC-8850 / SC-8820 / SC-D70,,,
ariejuice (863636814496661504),SC-8850,,Yes
colou (333710766706524167),SC-8850,,Yes
highcpu.stin (172182305362804736),SC-8850,,Yes
inopmusic (231107373232685056),SC-8850,,Yes
irikachana (533405504731480064),SC-8850,,Yes
kabulentnought (155452288423559168),SC-8850,,Yes
keppernito (1279363027992580129),SC-8850,,Yes
lunarbunten (183440685544767504),SC-8850,,Yes
mudstep (363135259291942922),SC-8850,,Yes
squeakyfoxx (777546986965696532),SC-8850,,Yes
thorndust (967992431264030760),SC-8850,,Yes
xeinafa (630195632237182997),SC-8850,,Yes
slyhikari03 (337018792104296448),SC-8850,,Yes
Tob_ii (570324925248700432),SC-8850,,Yes
spacefanatic64 (487820479521095680),SC-8850,,Yes
raven.penfold (1060891866737954837),SC-D70,Basically a repackaged SC-8820 with an audio system built-in,Yes
SD-20 / SD-80 / SD-90,,,
irikachana (533405504731480064),SD-80,,Yes
mudstep (363135259291942922),SD-80,,Yes
highcpu.stin (172182305362804736),SD-90,,Yes
inopmusic (231107373232685056),SD-90,,Yes
rowwuk (318826822550814720),SD-90,Firmware Ver. 1.05,Yes
xeinafa (630195632237182997),SD-90,,Yes
SonicCell,,,
keppernito (1279363027992580129),SonicCell,Firmware Ver. 1.20,Yes
U-110 / U-20 / U-220,,,
chilliusvgm (141654193944395776),U-220,"Expansion Cards: SN-U110-02 Latin & F.X. Percussions, SN-U110-11 Sound Effects",Yes
mocha_aura (451135702227222529),U-220,Expansion Cards: (See note),Yes
XV-5080 / XV-5050,,,
ariejuice (863636814496661504),XV-5080,,Yes
PSIFox (966479370594185226),XV-5080,"Expansion Cards: SR-JV80-01 Pop, SR-JV80-02 Orchestral, SR-JV80-05 World, SR-JV80-06 Dance, SR-JV80-09 Session, SR-JV80-11 Techno Collection",Yes
slyhikari03 (337018792104296448),XV-5080,Expantion Cards: SRX-09 World Collection,Yes
thorndust (967992431264030760),XV-5080,"Expansion Cards: SR-JV80-02 Orchestral, SR-JV80-09 Session, SR-JV80-10 Bass & Drums, SRX-05 Supreme Dance, SRX-08 Platinum Trax, SRX-09 World Collection)",Yes
keppernito (1279363027992580129),XV-5080,"Expansion Cards: SR-JV80-19 House, SR-JV80-15 Special FX Collection, SR-JV80-11 Tekno, SR-JV80-06 Dance, SRX-06 Complete Orchestra, SRX-04Symphonique Strings, SRX-01 Dynamic Drum Kits",Yes
,,,
,,,
Sequential,,,
,,,
OB-6,,,
,,,
,,,
Yamaha,,,
,,,
CS1x,,,
kabulentnought (155452288423559168),CS1x,,Yes
DX7 (Mark I),,,
mikantsumikiwi (145397807220654080),DX7,,Yes
kabulentnought (155452288423559168),TX7,,Yes
DX7 (Mark II),,,
chickbock3 (612682225057660931),TX802,,No
EX5,,,
kabulentnought (155452288423559168),EX5R,32MB Sample RAM,Yes
FS1R,,,
Chimeratio (100771178586591232),FS1R,,Yes
kabulentnought (155452288423559168),FS1R,,Yes
MODX (series),,,
criticalhealth (183670950997262336),MODX6,,No
MOTIF / MOTIF-RACK,,,
highcpu.stin (172182305362804736),MOTIF-RACK,,Yes
irikachana (533405504731480064),MOTIF-RACK,,Yes
PSIFox (966479370594185226),MOTIF-RACK,,Yes
MOTIF ES / MOTIF-RACK ES,,,
chilliusvgm (141654193944395776),MOTIF-RACK ES,,Yes
highcpu.stin (172182305362804736),MOTIF-RACK ES,w/ PLG150-VL,Yes
inopmusic (231107373232685056),MOTIF-RACK ES,,Yes
xeinafa (630195632237182997),MOTIF-RACK ES,,Yes
slyhikari03 (337018792104296448),MOTIF-RACK ES,,Yes
MOX (series),,,
ariejuice (863636814496661504),MOXF8,,Yes
MU1000 / 2000 / EX,,,
thorndust (967992431264030760),MU1000,Upgraded to EX firmware,Yes
chilliusvgm (141654193944395776),MU2000,Upgraded to EX firmware / Has PLG150-VL board,Yes
highcpu.stin (172182305362804736),MU2000,Upgraded to EX firmware,Yes
inopmusic (231107373232685056),MU2000,Upgraded to EX firmware,
mudstep (363135259291942922),MU2000,Upgraded to EX firmware,Yes
xeinafa (630195632237182997),MU2000,Upgraded to EX firmware / Has PLG150-DX board,Yes
Tob_ii (570324925248700432),MU2000,Upgraded to EX firmware,Yes
RM1x,,,
nifara (832114148267655209),RM1x,,Yes
TG55,,,
nuclear_1 (339496500507705346),TG55,,Yes
TG100,,,
highcpu.stin (172182305362804736),TG100,,Yes
TX81Z,,,
thorndust (967992431264030760),TX81Z,,Yes
lunarbunten (183440685544767504),TX81Z,,Yes
S30 / S80,,,
chilliusvgm (141654193944395776),S30,,Yes
nikobellic5497 (592890549657403433),S80,,Yes
SY77 / TG77,,,
nuclear_1 (339496500507705346),SY77,,Yes
mocha_aura (451135702227222529),TG77,Expansions: (see note),Yes
V50,,,
xerxes_j (311970793183641600),V50,,No
VL1,,,
kabulentnought (155452288423559168),VL1-m,,Yes
,,,
,,,
,,,
,,,
Notice:,,,
We spend our money and trawl though ancient sounds so you don't have to,,,
